,equity
2021-08-23,1000000.0
2021-08-24,998255.8
2021-08-25,998460.25
2021-08-26,998815.3500000001
2021-08-27,996236.1000000001
2021-08-30,996796.213739322
2021-08-31,1001070.913739322
2021-09-01,1001413.413739322
2021-09-02,1001129.5742418207
2021-09-03,999592.3742418208
2021-09-06,1003932.1742418207
2021-09-07,996145.8797318529
2021-09-08,997590.2297318529
2021-09-09,999033.079731853
2021-09-13,1003099.9541676666
2021-09-14,1010592.0541676666
2021-09-15,1015830.2041676666
2021-09-16,1014408.2541676667
2021-09-17,1015323.3706998788
2021-09-20,1010745.0649081196
2021-09-21,1017153.0649081196
2021-09-22,1012549.8649081197
2021-09-23,1015257.0649081196
2021-09-24,1010239.3900745504
2021-09-27,1010239.3900745504
2021-09-28,1010239.3900745504
2021-09-29,1010239.3900745504
2021-09-30,1010239.3900745504
2021-10-01,1010239.3900745504
2021-10-04,1016948.2900745503
2021-10-05,1027181.1400745504
2021-10-06,1008492.0342007905
2021-10-07,1004113.1587260765
2021-10-08,1004113.1587260765
2021-10-11,1004113.1587260765
2021-10-12,1003879.9587260765
2021-10-13,1010875.9587260765
2021-10-14,1005745.5587260765
2021-10-18,1003879.9587260765
2021-10-19,1001415.2758739857
2021-10-20,1001415.2758739857
2021-10-21,1001415.2758739856
2021-10-22,1002196.3258739857
2021-10-25,1009695.5808500095
2021-10-26,1017766.5808500095
2021-10-27,1021169.5247275898
2021-10-28,1002177.940052942
2021-10-29,1002177.940052942
2021-11-01,999473.9900529421
2021-11-02,1003705.1900529421
2021-11-03,1003062.9900529422
2021-11-04,1013383.790052942
2021-11-08,1032728.590052942
2021-11-09,1037698.6900529421
2021-11-10,1028971.3961777431
2021-11-11,1020353.4282391677
2021-11-12,1021985.2782391678
2021-11-15,1014216.4282391677
2021-11-16,1015778.4282391677
2021-11-17,1017272.4282391677
2021-11-18,1005164.7284011719
2021-11-22,1005164.7284011719
2021-11-23,1005164.7284011719
2021-11-24,1005164.728401172
