,equity
2021-08-23,1000000.0
2021-08-24,998255.8
2021-08-25,998460.25
2021-08-26,999159.15
2021-08-27,998757.3
2021-08-30,1003633.1637393221
2021-08-31,1012461.163739322
2021-09-01,1008095.613739322
2021-09-02,1016867.0242418208
2021-09-03,1018586.2742418208
2021-09-06,1021783.4242418207
2021-09-07,1013883.1797318528
2021-09-08,1012390.829731853
2021-09-09,1014055.3792995106
2021-09-13,1021490.7506024884
2021-09-14,1028213.8506024883
2021-09-15,1038641.2506024882
2021-09-16,1038647.5006024884
2021-09-17,1032415.3530007693
2021-09-20,1044368.8972090101
2021-09-21,1036558.8840728665
2021-09-22,1036558.8840728665
2021-09-23,1036558.8840728665
2021-09-24,1036558.8840728665
2021-09-27,1036558.8840728665
2021-09-28,1036558.8840728665
2021-09-29,1030984.5975960435
2021-09-30,1030984.5975960435
2021-10-01,1030984.5975960435
2021-10-04,1037821.8975960435
2021-10-05,1048724.2975960434
2021-10-06,1026969.169468613
2021-10-07,1020801.5412934618
2021-10-08,1012709.9057965875
2021-10-11,1014618.1057965874
2021-10-12,1016572.6057965874
2021-10-13,1019423.1244891197
2021-10-14,1017730.4244891198
2021-10-18,1018037.6244891197
2021-10-19,1020169.6476705298
2021-10-20,1013906.4565216124
2021-10-21,1013906.4565216124
2021-10-22,1014699.0065216124
2021-10-25,1015838.4937997026
2021-10-26,1023994.6437997026
2021-10-27,1026145.9015147255
2021-10-28,994824.9253623874
2021-10-29,992040.7476557972
2021-11-01,982354.6829659785
2021-11-02,986585.8829659785
2021-11-03,985996.3329659785
2021-11-04,996162.0829659785
2021-11-08,1015218.9329659785
2021-11-09,1020101.6329659785
2021-11-10,1006495.3958124468
2021-11-11,995897.115009303
2021-11-12,997500.915009303
2021-11-15,989087.8150093029
2021-11-16,993261.0150093029
2021-11-17,997074.465009303
2021-11-18,979428.7427651228
2021-11-22,979428.7427651228
2021-11-23,979428.7427651228
2021-11-24,979428.7427651228
2021-11-25,980314.2427651228
