,equity
2026-01-16,1000000.0
2026-01-19,1002980.0
2026-01-20,998161.8337451265
2026-01-21,998161.8337451265
2026-01-22,998161.8337451266
2026-01-23,994754.0678550589
2026-01-27,996003.2660514681
2026-01-28,1020467.2860514681
2026-01-29,1026666.8660514682
2026-01-30,1010012.0964324703
2026-02-01,1004065.8777434014
2026-02-02,1004065.8777434014
2026-02-03,1004065.8777434014
2026-02-04,1001475.8777434014
2026-02-05,996888.6777434014
2026-02-06,998024.1777434014
2026-02-09,994466.0310129807
2026-02-10,1006873.0910129806
2026-02-11,1013509.2110129807
2026-02-12,1011039.7415674214
2026-02-13,1008257.9696185584
2026-02-16,1012061.6696185584
2026-02-17,1009578.8243430163
2026-02-18,1012543.8043430162
2026-02-19,1003472.9432994372
2026-02-20,1008192.1432994371
2026-02-23,1008026.2432994372
2026-02-24,1009230.1432994372
2026-02-25,1011007.1731804756
2026-02-26,1011464.3731804756
2026-02-27,1000479.8715154101
2026-03-02,995218.8715154101
2026-03-04,991386.3715154101
2026-03-05,990948.3715154103
2026-03-06,992068.1395307301
2026-03-09,978944.1705292556
2026-03-10,978944.1705292558
2026-03-11,983771.6705292558
2026-03-12,984058.8705292558
2026-03-13,973700.7793539944
2026-03-16,971966.9141471637
2026-03-17,971966.9141471637
2026-03-18,971966.9141471637
2026-03-19,971966.9141471637
2026-03-20,971966.9141471637
2026-03-23,966614.1322555831
2026-03-24,966614.1322555831
2026-03-25,966614.1322555831
2026-03-27,966614.1322555831
2026-03-30,966614.1322555831
2026-04-01,966614.1322555831
2026-04-02,959177.986457656
2026-04-06,959177.986457656
2026-04-07,959177.986457656
2026-04-08,959177.986457656
2026-04-09,959177.986457656
2026-04-10,959177.986457656
2026-04-13,959177.986457656
2026-04-15,959177.986457656
2026-04-16,959177.986457656
2026-04-17,959177.986457656
2026-04-20,959177.986457656
2026-04-21,959177.986457656
2026-04-22,959177.986457656
2026-04-23,959177.986457656
2026-04-24,956266.986457656
2026-04-27,960785.5164576559
2026-04-28,967783.896457656
2026-04-29,957824.7063888676
2026-04-30,952720.0593594941
2026-05-04,949278.42247985
2026-05-05,952773.8112284237
2026-05-06,958333.2112284236
2026-05-07,971151.7612284237
2026-05-08,957286.1513021234
2026-05-11,951531.5014751138
2026-05-12,944413.797397228
2026-05-13,951822.597397228
2026-05-14,955968.697397228
2026-05-15,932655.3194197337
2026-05-18,935821.8705837206
2026-05-19,939116.5705837206
2026-05-20,939900.7405837206
2026-05-21,935098.9105837205
2026-05-22,940619.4505837206
2026-05-25,938772.9805837205
2026-05-26,958211.6405837205
2026-05-27,956516.8455866701
2026-05-29,948910.5655866701
2026-06-01,944079.9679499504
2026-06-02,946116.8479499503
2026-06-03,944249.7079499504
2026-06-04,940331.0631980349
2026-06-05,939619.0631980349
2026-06-08,920854.9917726562
2026-06-09,927314.1917726563
2026-06-10,915126.2460009712
2026-06-11,912655.6753720383
2026-06-12,912655.6753720383
2026-06-15,912655.6753720383
2026-06-16,912655.6753720383
2026-06-17,912655.6753720383
2026-06-18,912655.6753720383
2026-06-19,912655.6753720383
2026-06-22,912655.6753720383
2026-06-23,912655.6753720383
2026-06-24,912655.6753720383
2026-06-25,914215.3753720382
2026-06-29,912868.9253720383
2026-06-30,921296.5814603508
2026-07-01,931404.0514603507
2026-07-02,933261.2314603508
2026-07-03,935378.6198602095
2026-07-06,939399.5198602095
2026-07-07,931764.7263183668
2026-07-08,921972.6044307166
2026-07-09,924295.5044307166
2026-07-10,923404.1044307166
2026-07-13,923213.9044307166
2026-07-14,914794.7427647181
2026-07-15,915966.0427647182
2026-07-16,920464.4427647182
2026-07-17,920366.8097961475
2026-07-20,927693.9597961475
2026-07-21,936534.9597961475
2026-07-22,928834.6465162293
2026-07-23,926527.1227091704
2026-07-24,920856.7533301103
2026-07-27,924104.1533301104
2026-07-28,921862.6626983427
2026-07-29,938855.3126983427
2026-07-30,940291.9126983427
2026-07-31,939907.579530233
2026-08-03,962178.3950905079
2026-08-04,954108.4687527565
2026-08-05,960870.4687527565
2026-08-06,955538.2148755743
2026-08-07,955078.4148755743
2026-08-10,953743.4148755743
2026-08-11,954472.4148755743
2026-08-12,950590.4824975762
2026-08-13,949943.852497576
2026-08-14,946256.2224975761
2026-08-17,947161.8785429865
2026-08-18,945930.0785429865
