,equity
2026-01-14,1000000.0
2026-01-16,1000000.0
2026-01-19,1002980.0
2026-01-20,998161.8337451265
2026-01-21,998161.8337451265
2026-01-22,998161.8337451266
2026-01-23,997711.1837451265
2026-01-27,998960.3819415357
2026-01-28,1009074.4019415358
2026-01-29,1007494.6819415358
2026-01-30,998725.7816505523
2026-02-01,992779.5629614836
2026-02-02,992779.5629614836
2026-02-03,992779.5629614836
2026-02-04,992779.5629614836
2026-02-05,994453.7629614836
2026-02-06,994263.5129614836
2026-02-09,992513.2129614835
2026-02-10,996660.6629614836
2026-02-11,998487.0629614836
2026-02-12,999780.7629614836
2026-02-13,994029.2087595098
2026-02-16,994029.2087595098
2026-02-17,994029.2087595098
2026-02-18,994029.2087595098
2026-02-19,994029.2087595098
2026-02-20,994029.2087595098
2026-02-23,994029.2087595098
2026-02-24,994029.2087595098
2026-02-25,994029.2087595098
2026-02-26,994029.2087595098
2026-02-27,994029.2087595098
2026-03-02,994029.2087595098
2026-03-04,994029.2087595098
2026-03-05,994029.2087595098
2026-03-06,993693.2087595098
2026-03-09,986322.5608933396
2026-03-10,986322.5608933396
2026-03-11,990599.3608933396
2026-03-12,989816.1608933397
2026-03-13,983404.0141683083
2026-03-16,981670.1489614777
2026-03-17,981670.1489614777
2026-03-18,981670.1489614777
2026-03-19,981670.1489614777
2026-03-20,981670.1489614777
2026-03-23,976265.773991424
2026-03-24,976265.773991424
2026-03-25,976265.773991424
2026-03-27,976265.773991424
2026-03-30,976265.773991424
2026-04-01,976265.773991424
2026-04-02,976265.773991424
2026-04-06,976265.773991424
2026-04-07,976265.773991424
2026-04-08,976265.773991424
2026-04-09,976265.773991424
2026-04-10,976265.773991424
2026-04-13,976265.773991424
2026-04-15,976265.773991424
2026-04-16,976265.773991424
2026-04-17,976265.773991424
2026-04-20,976265.773991424
2026-04-21,976265.773991424
2026-04-22,976265.773991424
2026-04-23,976265.773991424
2026-04-24,976265.773991424
2026-04-27,976265.773991424
2026-04-28,976265.773991424
2026-04-29,976265.773991424
2026-04-30,976265.773991424
2026-05-04,976265.7739914239
2026-05-05,978550.713991424
2026-05-06,977829.153991424
2026-05-07,978748.283991424
2026-05-08,977853.6939914239
2026-05-11,971675.9469189486
2026-05-12,968915.62490057
2026-05-13,968915.62490057
2026-05-14,968915.62490057
2026-05-15,962294.22490057
2026-05-18,965346.3999644333
2026-05-19,968641.0999644332
2026-05-20,969405.9699644332
2026-05-21,964493.8399644332
2026-05-22,970183.7799644333
2026-05-25,968113.6099644332
2026-05-26,978753.2699644333
2026-05-27,975337.6049673826
2026-05-29,973693.2349673826
2026-06-01,973031.5949673826
2026-06-02,975133.2749673827
2026-06-03,973206.7349673826
2026-06-04,969163.424952946
2026-06-05,968412.124952946
2026-06-08,954406.976598653
2026-06-09,954406.976598653
2026-06-10,954406.976598653
2026-06-11,954406.976598653
2026-06-12,954406.976598653
2026-06-15,954406.976598653
2026-06-16,954406.976598653
2026-06-17,954406.976598653
2026-06-18,954406.976598653
2026-06-19,954406.976598653
2026-06-22,954406.976598653
2026-06-23,954406.976598653
2026-06-24,954406.976598653
2026-06-25,954406.976598653
2026-06-29,954406.976598653
2026-06-30,954406.976598653
2026-07-01,954406.976598653
2026-07-02,956440.976598653
2026-07-03,958516.976598653
2026-07-06,955130.776598653
2026-07-07,948465.2441234364
2026-07-08,948465.2441234364
2026-07-09,948465.2441234364
2026-07-10,948465.2441234364
2026-07-13,951974.2441234364
2026-07-14,944882.6688497885
2026-07-15,944546.6688497885
2026-07-16,945442.6688497885
2026-07-17,941002.9003499799
2026-07-20,942575.4003499799
2026-07-21,941963.4003499799
2026-07-22,940577.9003499799
2026-07-23,939710.9003499799
2026-07-24,937803.9968116452
2026-07-27,937803.9968116452
2026-07-28,938363.9968116452
2026-07-29,948605.4968116452
2026-07-30,950931.9968116452
2026-07-31,954918.3532528235
2026-08-03,972027.7532528235
2026-08-04,967534.2154009992
2026-08-05,974406.6154009992
2026-08-06,968987.304317659
2026-08-07,968515.404317659
2026-08-10,967174.404317659
2026-08-11,967902.304317659
2026-08-12,963543.6105612924
2026-08-13,966687.6105612924
2026-08-14,964533.6105612924
2026-08-17,967802.6105612924
2026-08-18,964905.6105612924
