,equity
2026-01-16,1000000.0
2026-01-19,1002980.0
2026-01-20,998161.8337451265
2026-01-21,998161.8337451265
2026-01-22,998161.8337451266
2026-01-23,994754.0678550589
2026-01-27,996003.2660514681
2026-01-28,1020467.2860514681
2026-01-29,1026666.8660514682
2026-01-30,1010012.0964324703
2026-02-01,1004065.8777434014
2026-02-02,1004065.8777434014
2026-02-03,1004065.8777434014
2026-02-04,1001475.8777434014
2026-02-05,996888.6777434014
2026-02-06,998024.1777434014
2026-02-09,994466.0310129807
2026-02-10,1004423.6910129806
2026-02-11,1010927.4110129806
2026-02-12,1013234.3710129808
2026-02-13,1010459.799064118
2026-02-16,1014267.6990641179
2026-02-17,1011750.3773420543
2026-02-18,1014715.3573420543
2026-02-19,1005644.4962984753
2026-02-20,1010371.6962984753
2026-02-23,1010199.7962984752
2026-02-24,1010043.4962984753
2026-02-25,1007292.2261795137
2026-02-26,1009232.0261795137
2026-02-27,1008939.2261795137
2026-03-02,1010769.2261795137
2026-03-04,1006926.2261795137
2026-03-05,1006487.0261795137
2026-03-06,1007676.3467099441
2026-03-09,994347.7085178703
2026-03-10,994347.7085178702
2026-03-11,999283.4085178701
2026-03-12,999563.4085178704
2026-03-13,989019.4226447657
2026-03-16,987285.5574379351
2026-03-17,987285.5574379351
2026-03-18,987285.5574379351
2026-03-19,987285.5574379351
2026-03-20,987285.5574379351
2026-03-23,981855.3859286449
2026-03-24,981855.3859286449
2026-03-25,981855.3859286449
2026-03-27,981855.3859286449
2026-03-30,981855.3859286449
2026-04-01,981855.3859286449
2026-04-02,974304.3728379044
2026-04-06,974304.3728379044
2026-04-07,974304.3728379044
2026-04-08,974304.3728379044
2026-04-09,974304.3728379044
2026-04-10,974304.3728379044
2026-04-13,974304.3728379044
2026-04-15,974304.3728379044
2026-04-16,974304.3728379044
2026-04-17,974304.3728379044
2026-04-20,974304.3728379044
2026-04-21,974304.3728379044
2026-04-22,974304.3728379044
2026-04-23,974304.3728379044
2026-04-24,974304.3728379044
2026-04-27,976770.0328379043
2026-04-28,974116.4928379044
2026-04-29,972986.4492868019
2026-04-30,970018.9292868018
2026-05-04,967564.3710096492
2026-05-05,975892.3310096492
2026-05-06,985391.2910096494
2026-05-07,999146.0610096493
2026-05-08,990171.7010096493
2026-05-11,980339.9418557537
2026-05-12,970377.236257117
2026-05-13,977987.6362571169
2026-05-14,982150.936257117
2026-05-15,958152.2428288155
2026-05-18,961286.3925259706
2026-05-19,964651.1925259707
2026-05-20,965462.9025259707
2026-05-21,960564.1125259707
2026-05-22,966213.2325259707
2026-05-25,964389.0225259706
2026-05-26,984328.6025259707
2026-05-27,982621.8550821743
2026-05-29,974807.1550821743
2026-06-01,969844.2867493759
2026-06-02,971937.3267493759
2026-06-03,970018.7067493759
2026-06-04,965992.0187699421
2026-06-05,965260.268769942
2026-06-08,946008.6787343472
2026-06-09,952626.2787343472
2026-06-10,940136.8123340843
2026-06-11,937603.9584119851
2026-06-12,937603.9584119851
2026-06-15,937603.9584119851
2026-06-16,937603.9584119851
2026-06-17,937603.9584119851
2026-06-18,937603.9584119851
2026-06-19,937603.9584119851
2026-06-22,937603.9584119851
2026-06-23,937603.9584119851
2026-06-24,937603.9584119851
2026-06-25,937603.9584119851
2026-06-29,937603.9584119851
2026-06-30,937603.9584119851
2026-07-01,937603.9584119851
2026-07-02,939604.058411985
2026-07-03,941645.4584119851
2026-07-06,938316.558411985
2026-07-07,931762.5878889245
2026-07-08,931762.5878889245
2026-07-09,931762.5878889244
2026-07-10,931455.3878889245
2026-07-13,933480.6878889245
2026-07-14,928621.2227671645
2026-07-15,929160.6227671645
2026-07-16,929866.2227671645
2026-07-17,924023.9397985939
2026-07-20,928788.4897985938
2026-07-21,932821.489798594
2026-07-22,926746.2479578344
2026-07-23,927674.3979578343
2026-07-24,921900.1285787742
2026-07-27,925209.9285787742
2026-07-28,922881.6118183463
2026-07-29,939878.0618183463
2026-07-30,941304.6618183462
2026-07-31,940929.7286502367
2026-08-03,963226.2442105116
2026-08-04,955142.0178727603
2026-08-05,961904.0178727603
2026-08-06,956571.7639955782
2026-08-07,956111.9639955781
2026-08-10,954776.9639955781
2026-08-11,955505.9639955781
2026-08-12,951624.0316175799
2026-08-13,953197.2316175799
2026-08-14,948854.8316175799
2026-08-17,951668.9316175799
2026-08-18,950437.13161758
