,equity
2021-08-23,1000000.0
2021-08-24,999145.3283171409
2021-08-25,1004240.8283171409
2021-08-26,1005358.8283171409
2021-08-27,1006347.8283171409
2021-08-30,1004348.3283171409
2021-08-31,1003746.3283171409
2021-09-01,1001897.3283171409
2021-09-02,1004477.3283171409
2021-09-03,1005767.3283171409
2021-09-06,1008562.3283171409
2021-09-07,1005509.3283171409
2021-09-08,1004240.8283171409
2021-09-09,1006519.8283171409
2021-09-13,1010088.8283171409
2021-09-14,1009142.8283171409
2021-09-15,1010518.8283171409
2021-09-16,1008110.8283171409
2021-09-17,1007444.3283171409
2021-09-20,1003574.3283171409
2021-09-21,1002520.8283171409
2021-09-22,1002671.3283171409
2021-09-23,1003681.8283171409
2021-09-24,1004197.8283171409
2021-09-27,999102.3283171409
2021-09-28,998844.3283171409
2021-09-29,997038.3283171409
2021-09-30,997941.3283171409
2021-10-01,996156.8283171409
2021-10-04,1001192.6851171409
2021-10-05,1004946.9851171409
2021-10-06,998221.5726171411
2021-10-07,1000302.272617141
2021-10-08,1021007.759617141
2021-10-11,1024884.298617141
2021-10-12,1031135.9986171409
2021-10-13,1032845.0986171409
2021-10-14,1035877.298617141
2021-10-18,1036160.0986171409
2021-10-19,1053092.043265718
2021-10-20,1053582.043265718
2021-10-21,1053092.043265718
2021-10-22,1052357.043265718
2021-10-25,1048195.2359657183
2021-10-26,1049664.0359657183
2021-10-27,1052877.0359657183
2021-10-28,1051408.2359657183
2021-10-29,1058557.7459657183
2021-11-01,1061721.217865718
2021-11-02,1073395.9724572697
2021-11-03,1078378.1924572696
2021-11-04,1080083.3924572696
2021-11-08,1085669.3924572696
2021-11-09,1078076.9800481999
2021-11-10,1078616.6800481998
2021-11-11,1077891.2800482
2021-11-12,1075000.6800481998
2021-11-15,1073101.0800481997
2021-11-16,1075070.4800481999
2021-11-17,1073642.5800481997
2021-11-18,1069207.7800482
2021-11-22,1066308.1957427794
2021-11-23,1074283.9957427795
2021-11-24,1078545.1486590405
2021-11-25,1076663.5486590404
2021-11-26,1062051.7486590403
2021-11-29,1059493.9486590405
2021-11-30,1058153.8406590405
2021-12-01,1064313.8406590405
2021-12-02,1088688.7661590406
2021-12-03,1084196.4161590405
2021-12-06,1080978.0161590406
2021-12-07,1082453.1161590405
2021-12-08,1089158.1161590405
2021-12-09,1088621.7161590406
2021-12-10,1087548.9161590405
2021-12-13,1092893.7199590406
2021-12-14,1100817.0699590407
2021-12-15,1098260.2699590405
2021-12-16,1097630.4699590406
2021-12-17,1094341.8199590407
2021-12-20,1085860.3699590405
2021-12-21,1089309.8699590405
2021-12-22,1102961.1199590405
2021-12-23,1103769.2699590407
2021-12-24,1110184.8699590405
2021-12-27,1122608.3540590405
2021-12-28,1122608.3540590405
2021-12-29,1122608.3540590405
2021-12-30,1122608.3540590405
2021-12-31,1122608.3540590405
2022-01-03,1122608.3540590405
2022-01-04,1122608.3540590405
2022-01-05,1122608.3540590405
2022-01-06,1122608.3540590405
2022-01-07,1122608.3540590405
2022-01-10,1121567.0872590407
2022-01-11,1109295.3872590405
2022-01-12,1115516.8076590407
2022-01-13,1116016.0076590404
2022-01-14,1118689.2155590407
2022-01-17,1117444.8155590405
2022-01-18,1104582.9155590406
2022-01-19,1100325.0155590405
2022-01-20,1103975.4155590406
2022-01-21,1097485.8155590405
2022-01-24,1097485.8155590405
2022-01-25,1097485.8155590405
2022-01-27,1100505.8641090405
2022-01-28,1101060.7141090403
2022-01-31,1108520.3641090405
2022-02-01,1103711.6641090405
2022-02-02,1103465.0641090404
2022-02-03,1101615.5641090404
2022-02-04,1095720.5921090406
2022-02-07,1100386.7421090405
2022-02-08,1093500.7421090405
2022-02-09,1093943.1421090406
2022-02-10,1110285.1770426906
2022-02-11,1105144.9270426906
2022-02-14,1078897.3770426908
2022-02-15,1074699.8770426908
2022-02-16,1079940.1270426908
2022-02-17,1080618.2770426907
2022-02-18,1079015.3770426908
2022-02-21,1075254.7270426906
2022-02-22,1071247.4770426906
2022-02-23,1071247.4770426906
2022-02-24,1069829.5270426907
2022-02-25,1072418.8270426905
2022-02-28,1073281.9270426906
2022-03-02,1090975.4770426906
2022-03-03,1097882.6813926906
2022-03-04,1097882.6813926906
2022-03-07,1097882.6813926906
2022-03-08,1097882.6813926906
2022-03-09,1097882.6813926906
2022-03-10,1097882.6813926906
2022-03-11,1097882.6813926906
2022-03-14,1097882.6813926906
2022-03-15,1097882.6813926906
2022-03-16,1097882.6813926906
2022-03-17,1097882.6813926906
2022-03-21,1097882.6813926906
2022-03-22,1097882.6813926906
2022-03-23,1097882.6813926906
2022-03-24,1097882.6813926906
2022-03-25,1097882.6813926906
2022-03-28,1097882.6813926906
2022-03-29,1097882.6813926906
2022-03-30,1097882.6813926906
2022-03-31,1097882.6813926906
2022-04-01,1097882.6813926906
2022-04-04,1097882.6813926906
2022-04-05,1097882.6813926906
2022-04-06,1097882.6813926906
2022-04-07,1097882.6813926906
2022-04-08,1097882.6813926906
2022-04-11,1097882.6813926906
2022-04-12,1097882.6813926906
2022-04-13,1097882.6813926906
2022-04-18,1097882.6813926906
2022-04-19,1097882.6813926906
2022-04-20,1097882.6813926906
2022-04-21,1097882.6813926906
2022-04-22,1097882.6813926906
2022-04-25,1097882.6813926906
2022-04-26,1103503.0750327408
2022-04-27,1098621.225032741
2022-04-28,1099739.3250327408
2022-04-29,1090950.775032741
2022-05-02,1090169.275032741
2022-05-04,1084501.9596327408
2022-05-05,1076965.559632741
2022-05-06,1082653.2096327408
2022-05-09,1085506.609632741
2022-05-10,1071750.909632741
2022-05-11,1064181.659632741
2022-05-12,1061034.159632741
2022-05-13,1061411.859632741
2022-05-16,1060404.659632741
2022-05-17,1063678.059632741
2022-05-18,1053480.159632741
2022-05-19,1048884.809632741
2022-05-20,1048884.809632741
2022-05-23,1048884.809632741
2022-05-24,1048884.809632741
2022-05-25,1048884.809632741
2022-05-26,1048884.809632741
2022-05-27,1048884.809632741
2022-05-30,1048884.809632741
2022-05-31,1048884.809632741
2022-06-01,1048884.809632741
2022-06-02,1048884.809632741
2022-06-03,1048884.809632741
2022-06-06,1048884.809632741
2022-06-07,1048884.809632741
2022-06-08,1048884.809632741
2022-06-09,1048884.809632741
2022-06-10,1048884.809632741
2022-06-13,1048884.809632741
2022-06-14,1048884.809632741
2022-06-15,1048884.809632741
2022-06-16,1048884.809632741
2022-06-17,1049528.3546327408
2022-06-20,1038405.7046327409
2022-06-21,1038405.7046327409
2022-06-22,1038405.7046327409
2022-06-23,1038405.7046327409
2022-06-24,1038405.7046327409
2022-06-27,1038405.7046327409
2022-06-28,1038405.7046327409
2022-06-29,1038405.7046327409
2022-06-30,1038405.7046327409
2022-07-01,1038405.7046327409
2022-07-04,1038405.7046327409
2022-07-05,1038405.7046327409
2022-07-06,1038405.7046327409
2022-07-07,1038405.7046327409
2022-07-08,1038405.7046327409
2022-07-11,1038405.7046327409
2022-07-12,1038405.7046327409
2022-07-13,1038405.7046327409
2022-07-14,1038405.7046327409
2022-07-15,1038405.7046327409
2022-07-18,1038405.7046327409
2022-07-19,1038405.7046327409
2022-07-20,1038405.7046327409
2022-07-21,1038405.7046327409
2022-07-22,1038405.7046327409
2022-07-25,1038405.7046327409
2022-07-26,1038405.7046327409
2022-07-27,1038405.7046327409
2022-07-28,1038405.7046327409
2022-07-29,1038405.7046327409
2022-08-01,1038405.7046327409
2022-08-02,1038405.7046327409
2022-08-03,1038050.3989535393
2022-08-04,1047325.1489535393
2022-08-05,1056349.3239911445
2022-08-08,1057516.7739911445
2022-08-10,1059142.1739911444
2022-08-11,1060083.8739911446
2022-08-12,1065372.4766115667
2022-08-16,1079459.0766115668
2022-08-17,1077249.2266115667
2022-08-18,1083402.7266115667
2022-08-19,1091150.4187502998
2022-08-22,1088533.8687502998
2022-08-23,1093320.6811842655
2022-08-24,1092828.7339842655
2022-08-25,1099021.7839842655
2022-08-26,1099019.5339842655
2022-08-29,1095477.5339842655
2022-08-30,1117258.4628313936
2022-09-01,1121762.5128313934
2022-09-02,1125488.4255294967
2022-09-05,1128860.1351294965
