,equity
2021-08-23,1000000.0
2021-08-24,1002499.7665891268
2021-08-25,1008306.2665891268
2021-08-26,1009580.2665891268
2021-08-27,1010707.2665891268
2021-08-30,1008428.7665891268
2021-08-31,1007742.7665891268
2021-09-01,1005635.7665891268
2021-09-02,1008575.7665891268
2021-09-03,1010045.7665891268
2021-09-06,1013230.7665891268
2021-09-07,1009751.7665891268
2021-09-08,1008306.2665891268
2021-09-09,1010903.2665891268
2021-09-13,1014970.2665891268
2021-09-14,1013892.2665891268
2021-09-15,1015460.2665891268
2021-09-16,1014312.9593303918
2021-09-17,1014680.9593303918
2021-09-20,1009034.8093303918
2021-09-21,1008387.8093303918
2021-09-22,1009847.4809303918
2021-09-23,1025425.3809303918
2021-09-24,1029997.1527065968
2021-09-27,1035750.8379065968
2021-09-28,1035456.8379065968
2021-09-29,1033398.8379065968
2021-09-30,1034427.8379065968
2021-10-01,1032394.3379065968
2021-10-04,1038072.1003065968
2021-10-05,1042302.0003065969
2021-10-06,1037637.9003065969
2021-10-07,1039760.5003065969
2021-10-08,1061990.4553065968
2021-10-11,1063541.3903065969
2021-10-12,1069096.9903065967
2021-10-13,1068990.7903065968
2021-10-14,1074050.3903065969
2021-10-18,1074013.2903065968
2021-10-19,1089538.7033392163
2021-10-20,1089538.7033392163
2021-10-21,1089538.7033392163
2021-10-22,1089538.7033392163
2021-10-25,1093553.8508392163
2021-10-26,1103435.9610024253
2021-10-27,1102096.266752425
2021-10-28,1079022.766752425
2021-10-29,1093157.1492524252
2021-11-01,1066349.5242524252
2021-11-02,1082773.6287597858
2021-11-03,1094519.4137597857
2021-11-04,1098493.4637597858
2021-11-08,1119595.9042615846
2021-11-09,1129675.490739503
2021-11-10,1125458.290739503
2021-11-11,1128202.1407395029
2021-11-12,1138299.927939503
2021-11-15,1112108.0279395028
2021-11-16,1107580.4763395027
2021-11-17,1103016.2263395027
2021-11-18,1099966.2263395027
2021-11-22,1101203.5002514406
2021-11-23,1106810.8612514406
2021-11-24,1117844.7460656269
2021-11-25,1116326.2423600983
2021-11-26,1086851.1423600984
2021-11-29,1077116.1923600985
2021-11-30,1076919.5888121454
2021-12-01,1086060.7888121454
2021-12-02,1105190.3857121454
2021-12-03,1105855.0857121453
2021-12-06,1103890.9857121452
2021-12-07,1101816.8357121453
2021-12-08,1107067.1357121454
2021-12-09,1103539.2991121453
2021-12-10,1113102.8991121454
2021-12-13,1117284.458912145
2021-12-14,1122423.6089121453
2021-12-15,1117866.1089121453
2021-12-16,1118501.658912145
2021-12-17,1111522.3089121452
2021-12-20,1104021.5089121452
2021-12-21,1102520.1670185109
2021-12-22,1106786.419865739
2021-12-23,1109665.8895657393
2021-12-24,1102689.9395657391
2021-12-27,1118082.4895657392
2021-12-28,1121501.8895657393
2021-12-29,1132177.931024054
2021-12-30,1132514.431024054
2021-12-31,1139961.5310240542
2022-01-03,1130226.0310240542
2022-01-04,1128856.3310240542
2022-01-05,1128262.8310240542
2022-01-06,1123643.5310240542
2022-01-07,1119705.2810240542
2022-01-10,1121744.9142240542
2022-01-11,1107208.6642240542
2022-01-12,1117512.2346240543
2022-01-13,1119533.8846240542
2022-01-14,1127089.1312240541
2022-01-17,1131588.8914240543
2022-01-18,1127162.0414240542
2022-01-19,1128441.2414240541
2022-01-20,1132580.441424054
2022-01-21,1118694.191424054
2022-01-24,1109845.0914240542
2022-01-25,1112837.3414240542
2022-01-27,1099668.1906240543
2022-01-28,1099000.3906240542
2022-01-31,1105159.0406240541
2022-02-01,1102357.2906240541
2022-02-02,1105229.4406240543
2022-02-03,1101819.7406240543
2022-02-04,1094629.1186240544
2022-02-07,1098519.9686240545
2022-02-08,1088205.8186240543
2022-02-09,1087909.6186240544
2022-02-10,1102900.4949112535
2022-02-11,1094699.4949112535
2022-02-14,1065819.6449112534
2022-02-15,1061642.0449112535
2022-02-16,1066878.0449112535
2022-02-17,1067555.6449112534
2022-02-18,1065954.0449112535
2022-02-21,1062196.4449112534
2022-02-22,1058192.4449112534
2022-02-23,1058192.4449112534
2022-02-24,1056775.6449112534
2022-02-25,1059362.8449112533
2022-02-28,1060225.2449112535
2022-03-02,1077904.4449112534
2022-03-03,1084806.0473112534
2022-03-04,1084806.0473112534
2022-03-07,1084806.0473112534
2022-03-08,1084806.0473112534
2022-03-09,1084806.0473112534
2022-03-10,1084806.0473112534
2022-03-11,1084806.0473112534
2022-03-14,1084806.0473112534
2022-03-15,1084806.0473112534
2022-03-16,1084806.0473112534
2022-03-17,1084806.0473112534
2022-03-21,1084806.0473112534
2022-03-22,1084806.0473112534
2022-03-23,1084806.0473112534
2022-03-24,1084806.0473112534
2022-03-25,1084806.0473112534
2022-03-28,1084806.0473112534
2022-03-29,1084806.0473112534
2022-03-30,1084806.0473112534
2022-03-31,1084806.0473112534
2022-04-01,1084806.0473112534
2022-04-04,1084806.0473112534
2022-04-05,1084806.0473112534
2022-04-06,1084806.0473112534
2022-04-07,1084806.0473112534
2022-04-08,1084806.0473112534
2022-04-11,1084806.0473112534
2022-04-12,1084806.0473112534
2022-04-13,1084806.0473112534
2022-04-18,1091558.7873112534
2022-04-19,1089433.7873112534
2022-04-20,1089433.7873112534
2022-04-21,1091257.1236112535
2022-04-22,1086005.7236112533
2022-04-25,1090761.9236112535
2022-04-26,1103230.5724505386
2022-04-27,1102805.6224505384
2022-04-28,1102624.0724505386
2022-04-29,1092935.1224505384
2022-05-02,1088694.0724505386
2022-05-04,1080416.8868505384
2022-05-05,1077386.4368505385
2022-05-06,1071612.4868505385
2022-05-09,1069014.8368505384
2022-05-10,1059392.5368505386
2022-05-11,1042276.0368505386
2022-05-12,1036165.9368505386
2022-05-13,1036542.1368505385
2022-05-16,1035538.9368505386
2022-05-17,1038799.3368505386
2022-05-18,1028641.9368505386
2022-05-19,1024064.8368505386
2022-05-20,1024064.8368505386
