,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1009134.8715317594
2026-01-28,1029366.9395364813
2026-01-29,1032131.8569364812
2026-01-30,1032131.8569364812
2026-02-01,1032131.8569364812
2026-02-02,1032131.8569364812
2026-02-03,1037401.8688364811
2026-02-04,1039110.4428364811
2026-02-05,1040070.4028364812
2026-02-06,1041932.5328364811
2026-02-09,1044429.3528364812
2026-02-10,1056876.6848364812
2026-02-11,1064263.839836481
2026-02-12,1063753.139836481
2026-02-13,1054586.2898364812
2026-02-16,1060171.839836481
2026-02-17,1066513.6826452576
2026-02-18,1076771.7776452575
2026-02-19,1062459.8776452574
2026-02-20,1074667.5776452573
2026-02-23,1082060.0776452576
2026-02-24,1077425.1276452574
2026-02-25,1092389.9116452576
2026-02-26,1092026.7616452575
2026-02-27,1082459.5616452575
2026-03-02,1076106.9896452576
2026-03-04,1075856.6612189282
2026-03-05,1079392.4934528165
2026-03-06,1077644.748974727
2026-03-09,1061923.0489747268
2026-03-10,1079657.666474727
2026-03-11,1090673.966474727
2026-03-12,1086667.966474727
2026-03-13,1072276.3821089955
2026-03-16,1063205.4821089953
2026-03-17,1077474.2531089955
2026-03-18,1071475.9531089955
2026-03-19,1054608.7531089955
2026-03-20,1053432.9531089955
2026-03-23,1041126.9531089956
2026-03-24,1040504.7531089955
2026-03-25,1045640.9531089956
2026-03-27,1045421.3531089955
2026-03-30,1040980.5531089955
2026-04-01,1037479.1531089955
2026-04-02,1029732.1531089955
2026-04-06,1029732.1531089955
2026-04-07,1029732.1531089955
2026-04-08,1029732.1531089955
2026-04-09,1029732.1531089955
2026-04-10,1029732.1531089955
2026-04-13,1029732.1531089955
2026-04-15,1029732.1531089955
2026-04-16,1029732.1531089955
2026-04-17,1029732.1531089955
2026-04-20,1029732.1531089955
2026-04-21,1029732.1531089955
2026-04-22,1029732.1531089955
2026-04-23,1029732.1531089955
2026-04-24,1029732.1531089955
2026-04-27,1029732.1531089955
2026-04-28,1029732.1531089955
2026-04-29,1029732.1531089955
2026-04-30,1029732.1531089955
2026-05-04,1039362.1703089955
2026-05-05,1038938.9703089956
2026-05-06,1042267.3187089956
2026-05-07,1042267.3187089956
2026-05-08,1042267.3187089956
2026-05-11,1042267.3187089956
2026-05-12,1042267.3187089956
2026-05-13,1044955.5798468787
2026-05-14,1056803.2314602234
2026-05-15,1044116.6314602236
2026-05-18,1037748.4814602236
2026-05-19,1041526.7314602236
2026-05-20,1053380.0814602235
2026-05-21,1061743.9314602236
2026-05-22,1065547.8814602238
2026-05-25,1076655.7814602237
2026-05-26,1089952.5314602237
2026-05-27,1100484.3417422897
2026-05-29,1091652.4417422898
2026-06-01,1082807.3417422897
2026-06-02,1084829.8417422897
2026-06-03,1083373.9413628103
2026-06-04,1099140.7756628105
2026-06-05,1093971.9756628105
2026-06-08,1055448.6756628104
2026-06-09,1080175.6756628104
2026-06-10,1062976.7756628105
2026-06-11,1061366.3756628106
2026-06-12,1078512.8756628106
2026-06-15,1082848.1876628106
2026-06-16,1081771.1876628106
2026-06-17,1098224.5911407096
2026-06-18,1100857.0911407096
2026-06-19,1111895.0034632785
2026-06-22,1114499.0034632785
2026-06-23,1119226.4034632784
2026-06-24,1111017.7664955717
2026-06-25,1120547.862015572
2026-06-29,1120752.2722055716
2026-06-30,1119451.2722055716
2026-07-01,1131305.2662419355
2026-07-02,1129447.0662419354
2026-07-03,1115195.8662419354
2026-07-06,1116502.8054419353
2026-07-07,1112063.4054419354
2026-07-08,1109946.6054419354
2026-07-09,1105692.7506992521
2026-07-10,1121329.4791415562
2026-07-13,1125276.1791415564
2026-07-14,1126165.9791415562
2026-07-15,1116427.8791415563
2026-07-16,1105247.1791415561
2026-07-17,1115880.5024415564
2026-07-20,1128567.60206473
2026-07-21,1138366.46936473
2026-07-22,1107788.3593647298
2026-07-23,1094876.3393647298
2026-07-24,1096856.7893647298
2026-07-27,1114295.5003624712
2026-07-28,1121830.184662471
2026-07-29,1122732.684662471
2026-07-30,1124751.0346624712
2026-07-31,1136370.488662471
2026-08-03,1146721.976662471
2026-08-04,1146405.6766624711
2026-08-05,1150805.5359533974
2026-08-06,1151067.1359533973
2026-08-07,1148856.5359533974
2026-08-10,1151174.5359533974
2026-08-11,1141828.6359533973
2026-08-12,1140019.5359533974
2026-08-13,1143565.3147224893
2026-08-14,1139978.3147224893
2026-08-17,1136250.3147224893
2026-08-18,1139639.9147224892
