,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1003518.528
2021-08-31,1008068.528
2021-09-01,1011188.944
2021-09-02,1011188.944
2021-09-03,1011188.944
2021-09-06,1011188.944
2021-09-07,1011188.944
2021-09-08,1014818.8890897742
2021-09-09,1015101.8890897742
2021-09-13,1017038.0417897742
2021-09-14,1018072.6399626427
2021-09-15,1019837.8399626426
2021-09-16,1022227.2835626428
2021-09-17,1020576.5335626428
2021-09-20,1014050.1835626427
2021-09-21,1021155.8335626428
2021-09-22,1028555.5223626427
2021-09-23,1054532.5719626427
2021-09-24,1049886.6525626427
2021-09-27,1054342.9057626426
2021-09-28,1060221.5057626425
2021-09-29,1071231.3057626425
2021-09-30,1074735.7139626425
2021-10-01,1075300.1639626427
2021-10-04,1069148.4110626427
2021-10-05,1063647.9110626427
2021-10-06,1057716.6110626427
2021-10-07,1059990.3110626426
2021-10-08,1060230.1872626427
2021-10-11,1062081.6872626427
2021-10-12,1066625.9092626425
2021-10-13,1070744.4092626427
2021-10-14,1089237.1906626425
2021-10-18,1088597.8906626424
2021-10-19,1083521.8406626424
2021-10-20,1075596.6406626424
2021-10-21,1071516.8535626424
2021-10-22,1054994.7681449682
2021-10-25,1057849.868144968
2021-10-26,1054942.6941027306
2021-10-27,1057951.2426027306
2021-10-28,1034642.4926027308
2021-10-29,1040903.2926027308
2021-11-01,1038343.4426027307
2021-11-02,1041357.3926027308
2021-11-03,1048252.7034027308
2021-11-04,1055138.4534027306
2021-11-08,1074236.2710027306
2021-11-09,1079643.7710027306
2021-11-10,1076804.8210027306
2021-11-11,1079866.0710027306
2021-11-12,1081651.8754027307
2021-11-15,1060847.5754027306
2021-11-16,1056594.8004027307
2021-11-17,1051810.5504027307
2021-11-18,1043824.6504027306
2021-11-22,1024318.1698027307
2021-11-23,1024687.5263027307
2021-11-24,1030854.0754027307
2021-11-25,1036313.5254027307
2021-11-26,1001500.5254027307
2021-11-29,984739.8754027308
2021-11-30,981012.5649027308
2021-12-01,986845.6860027307
2021-12-02,1031697.7455027306
2021-12-03,1029145.2955027306
2021-12-06,1023735.1955027306
2021-12-07,1019484.6455027306
2021-12-08,1026109.8396995772
2021-12-09,1023520.2896995773
2021-12-10,1022457.4396995773
2021-12-13,1022065.3896995772
2021-12-14,1030490.2396995772
2021-12-15,1024499.6896995773
2021-12-16,1028455.6396995772
2021-12-17,1026150.7396995772
2021-12-20,1003430.3396995773
2021-12-21,1011684.7262970791
2021-12-22,1020173.6262970791
2021-12-23,1028822.5262970792
2021-12-24,1026965.2530682997
2021-12-27,1023479.2030682997
2021-12-28,1024718.5701682997
2021-12-29,1026598.6701682998
2021-12-30,1028448.9701682999
2021-12-31,1040574.0389682997
