,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,1000000.0
2021-09-15,1000000.0
2021-09-16,1000000.0
2021-09-17,1000000.0
2021-09-20,1000000.0
2021-09-21,1001237.3910778881
2021-09-22,999392.3910778881
2021-09-23,1000622.3910778881
2021-09-24,1004312.3910778881
2021-09-27,1012285.2178442238
2021-09-28,1012285.2178442238
2021-09-29,1012285.2178442238
2021-09-30,1012285.2178442238
2021-10-01,1012285.2178442238
2021-10-04,1012285.2178442238
2021-10-05,1012285.2178442238
2021-10-06,1012285.2178442238
2021-10-07,1012285.2178442238
2021-10-08,1012285.2178442238
2021-10-11,1012285.2178442238
2021-10-12,1012160.8077442239
2021-10-13,1013034.8077442239
2021-10-14,1017718.3077442239
2021-10-18,1016612.5077442239
2021-10-19,1010876.407744224
2021-10-20,1007999.8077442239
2021-10-21,1004152.9453442239
2021-10-22,997858.2904442239
2021-10-25,1001329.590444224
2021-10-26,1000471.7404442239
2021-10-27,1001577.5404442239
2021-10-28,996946.2904442239
2021-10-29,995487.090444224
2021-11-01,995096.6404442239
2021-11-02,994968.3904442239
2021-11-03,1000032.4407842353
2021-11-04,1004658.5907842353
2021-11-08,1025211.9285142014
2021-11-09,1026636.5285142014
2021-11-10,1029866.6285142014
2021-11-11,1028406.3285142015
2021-11-12,1041243.8785142014
2021-11-15,1033685.1285142014
2021-11-16,1028919.4785142015
2021-11-17,1022069.1785142014
2021-11-18,1022308.5285142014
2021-11-22,1006075.9896142015
2021-11-23,1004451.8396142015
2021-11-24,1004291.6394642015
2021-11-25,1007891.4894642015
2021-11-26,996668.0394642015
2021-11-29,990987.9894642016
2021-11-30,984343.5279642016
2021-12-01,989939.5779642016
2021-12-02,1008293.9844642016
2021-12-03,1005199.0844642015
2021-12-06,999429.7344642016
2021-12-07,1000472.8344642016
2021-12-08,1001762.1736539754
2021-12-09,1002450.9236539754
2021-12-10,1000998.3736539753
2021-12-13,998440.7949739753
2021-12-14,1001050.1749739753
2021-12-15,995121.8049739753
2021-12-16,995088.5201739753
2021-12-17,987152.6701739752
2021-12-20,974516.7701739753
2021-12-21,982691.079955653
2021-12-22,987814.1299556531
2021-12-23,989642.829955653
2021-12-24,987086.0623863321
2021-12-27,984370.112386332
2021-12-28,984577.912386332
2021-12-29,983773.112386332
2021-12-30,981327.3123863321
2021-12-31,984776.212386332
2022-01-03,979694.212386332
2022-01-04,981053.662386332
2022-01-05,981401.362386332
