,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,999456.1611000001
2021-09-14,1000020.4611000001
2021-09-15,999978.6611000001
2021-09-16,1000198.1111000001
2021-09-17,1000208.5611
2021-09-20,997909.2681000001
2021-09-21,1003769.771195901
2021-09-22,1001483.921195901
2021-09-23,1003521.121195901
2021-09-24,1004591.921195901
2021-09-27,1008905.5119081982
2021-09-28,1011659.0619081982
2021-09-29,1013364.1119081982
2021-09-30,1012517.6619081981
2021-10-01,1013071.5119081982
2021-10-04,1007073.2119081982
2021-10-05,1002276.6619081981
2021-10-06,1000489.7119081982
2021-10-07,1000489.7119081982
2021-10-08,997342.5244081982
2021-10-11,997280.0244081982
2021-10-12,997600.0244081982
2021-10-13,997500.0244081982
2021-10-14,995102.5244081982
2021-10-18,995102.5244081982
2021-10-19,995102.5244081982
2021-10-20,995102.5244081982
2021-10-21,995102.5244081982
2021-10-22,995102.5244081982
2021-10-25,995102.5244081982
2021-10-26,995102.5244081982
2021-10-27,995102.5244081982
2021-10-28,995102.5244081982
2021-10-29,995102.5244081982
2021-11-01,995102.5244081982
2021-11-02,1003405.1156621753
2021-11-03,1005991.5156621754
2021-11-04,1007406.7156621753
2021-11-08,1012042.7156621753
2021-11-09,1014999.741900244
2021-11-10,1014999.741900244
2021-11-11,1014999.741900244
2021-11-12,1014076.5534002441
2021-11-15,1014983.8534002441
2021-11-16,1016665.1534002441
2021-11-17,1013857.253400244
2021-11-18,1014695.753400244
2021-11-22,1009733.5534002441
2021-11-23,1004951.9534002441
2021-11-24,1004951.9534002441
2021-11-25,1004951.9534002441
2021-11-26,1004951.9534002441
2021-11-29,1004951.9534002441
2021-11-30,1003679.2859002441
2021-12-01,1009529.2859002441
2021-12-02,1025047.2884002441
2021-12-03,1025047.2884002441
2021-12-06,1025047.2884002441
2021-12-07,1025047.2884002441
2021-12-08,1025047.2884002441
2021-12-09,1025047.2884002441
2021-12-10,1025047.2884002441
2021-12-13,1025047.2884002441
2021-12-14,1025047.2884002441
2021-12-15,1019386.2524002441
2021-12-16,1016638.552400244
2021-12-17,1016638.552400244
2021-12-20,1016638.552400244
2021-12-21,1016098.1389977459
2021-12-22,1015649.3389977459
2021-12-23,1013484.5389977458
2021-12-24,1012019.3389977459
2021-12-27,1010496.9389977459
2021-12-28,1011293.3389977459
2021-12-29,1010985.3389977459
2021-12-30,1011073.3389977459
2021-12-31,1011253.7389977459
2022-01-03,1006567.7389977459
2022-01-04,1006567.7389977459
