,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,999456.1611000001
2021-09-14,1000020.4611000001
2021-09-15,999978.6611000001
2021-09-16,1000198.1111000001
2021-09-17,1000208.5611
2021-09-20,997909.2681000001
2021-09-21,1003769.771195901
2021-09-22,1001483.921195901
2021-09-23,1003521.121195901
2021-09-24,1004591.921195901
2021-09-27,1008905.5119081982
2021-09-28,1011659.0619081982
2021-09-29,1013364.1119081982
2021-09-30,1012517.6619081981
2021-10-01,1013071.5119081982
2021-10-04,1007073.2119081982
2021-10-05,1002276.6619081981
2021-10-06,1000489.7119081982
2021-10-07,1000489.7119081982
2021-10-08,997342.5244081982
2021-10-11,997280.0244081982
2021-10-12,997600.0244081982
2021-10-13,997500.0244081982
2021-10-14,995102.5244081982
2021-10-18,995102.5244081982
2021-10-19,995102.5244081982
2021-10-20,995102.5244081982
2021-10-21,995102.5244081982
2021-10-22,995102.5244081982
2021-10-25,995102.5244081982
2021-10-26,995102.5244081982
2021-10-27,995102.5244081982
2021-10-28,995102.5244081982
2021-10-29,995102.5244081982
2021-11-01,995102.5244081982
2021-11-02,1003405.1156621753
2021-11-03,1005561.9848121754
2021-11-04,1007696.5848121754
2021-11-08,1019935.3348121754
2021-11-09,1023448.2610502441
2021-11-10,1025949.8110502441
2021-11-11,1023284.7610502441
2021-11-12,1029828.4030502441
2021-11-15,1026162.453050244
2021-11-16,1026411.353050244
2021-11-17,1017815.6530502441
2021-11-18,1015714.303050244
2021-11-22,1003475.4030502441
2021-11-23,995312.603050244
2021-11-24,995312.603050244
2021-11-25,995312.603050244
2021-11-26,995312.603050244
2021-11-29,995312.603050244
2021-11-30,994052.988550244
2021-12-01,999842.988550244
2021-12-02,1015201.832050244
2021-12-03,1015201.832050244
2021-12-06,1015201.832050244
2021-12-07,1015201.832050244
2021-12-08,1015201.832050244
2021-12-09,1015201.832050244
2021-12-10,1015201.832050244
2021-12-13,1015201.832050244
2021-12-14,1015201.832050244
2021-12-15,1009584.680050244
2021-12-16,1006858.280050244
2021-12-17,1006858.280050244
2021-12-20,1006858.280050244
2021-12-21,1006324.0077091377
2021-12-22,1005880.3077091378
2021-12-23,1003740.1077091378
2021-12-24,1002291.5577091378
2021-12-27,1000786.4577091378
2021-12-28,1001573.8077091378
2021-12-29,1001269.3077091378
2021-12-30,1001356.3077091378
2021-12-31,1001534.6577091378
2022-01-03,996901.9077091378
2022-01-04,996901.9077091378
2022-01-05,996901.9077091378
