,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,998828.9070421915
2021-09-15,1001326.8570421914
2021-09-16,1003964.8198421914
2021-09-17,1003372.4198421915
2021-09-20,1001640.9698421914
2021-09-21,1004899.1198421915
2021-09-22,1010585.4508921914
2021-09-23,1035142.8831421915
2021-09-24,1030603.4634421914
2021-09-27,1035953.5496421913
2021-09-28,1039988.8996421912
2021-09-29,1047325.8996421912
2021-09-30,1051612.9087421913
2021-10-01,1051612.9087421913
2021-10-04,1051574.8967421912
2021-10-05,1050972.8967421912
2021-10-06,1046930.8967421913
2021-10-07,1049166.8967421912
2021-10-08,1047962.8967421913
2021-10-11,1050886.8967421912
2021-10-12,1053519.3767421911
2021-10-13,1054618.5767421913
2021-10-14,1059550.336742191
2021-10-18,1060066.336742191
2021-10-19,1061012.336742191
2021-10-20,1056196.336742191
2021-10-21,1056196.336742191
2021-10-22,1047185.0469637602
2021-10-25,1050046.44696376
2021-10-26,1044318.1253448388
2021-10-27,1044625.1053448387
2021-10-28,1022441.9553448388
2021-10-29,1024279.9553448388
2021-11-01,1035937.2053448388
2021-11-02,1035046.1553448387
2021-11-03,1037046.2161448388
2021-11-04,1044225.4161448388
2021-11-08,1059114.3337448386
2021-11-09,1061409.2837448386
2021-11-10,1058958.9837448387
2021-11-11,1062286.7837448386
2021-11-12,1063234.6337448386
2021-11-15,1055874.2837448386
2021-11-16,1057158.5087448386
2021-11-17,1052444.7087448386
2021-11-18,1049967.0087448386
2021-11-22,1037382.1587448388
2021-11-23,1041964.2087448388
2021-11-24,1044985.6087448387
2021-11-25,1070247.5047448387
2021-11-26,1055175.4047448386
2021-11-29,1044883.3047448387
2021-11-30,1041016.5517448387
2021-12-01,1047074.5255448387
2021-12-02,1095976.3420448387
2021-12-03,1095757.9420448388
2021-12-06,1096810.6420448388
2021-12-07,1092371.6420448388
2021-12-08,1100116.6204638819
2021-12-09,1099643.2704638818
2021-12-10,1104351.0439670598
2021-12-13,1105680.2939670598
2021-12-14,1113568.0939670599
2021-12-15,1110486.9939670598
2021-12-16,1113857.39396706
2021-12-17,1111182.0439670598
2021-12-20,1091343.5439670598
2021-12-21,1099839.8520734254
2021-12-22,1108507.9020734255
2021-12-23,1117408.9520734255
2021-12-24,1115643.343313118
2021-12-27,1111971.7933131182
2021-12-28,1113261.0293131182
2021-12-29,1115345.329313118
2021-12-30,1117145.829313118
2021-12-31,1129773.7362131178
2022-01-03,1120198.936213118
