,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,998394.7702421914
2021-09-15,1000213.2702421914
2021-09-16,1002330.5330421913
2021-09-17,1000658.6330421914
2021-09-20,997580.9830421914
2021-09-21,1000839.1330421914
2021-09-22,1007240.7615421914
2021-09-23,1036649.6228921914
2021-09-24,1024427.9895921914
2021-09-27,1027605.9159921913
2021-09-28,1031122.0659921913
2021-09-29,1042443.9659921913
2021-09-30,1051039.2737921914
2021-10-01,1049015.1237921915
2021-10-04,1045919.5606921914
2021-10-05,1042617.5606921914
2021-10-06,1035110.4606921914
2021-10-07,1046278.3106921914
2021-10-08,1047832.5646921914
2021-10-11,1047343.4646921913
2021-10-12,1046258.2146921913
2021-10-13,1039998.0146921914
2021-10-14,1053173.8336921914
2021-10-18,1067692.0336921914
2021-10-19,1056738.3336921914
2021-10-20,1044510.0336921914
2021-10-21,1040497.6336921914
2021-10-22,1032814.0886580693
2021-10-25,1035626.2886580692
2021-10-26,1026722.4320378435
2021-10-27,1030535.2710378435
2021-10-28,1008836.8710378436
2021-10-29,1007316.4710378436
2021-11-01,1016661.0710378436
2021-11-02,1015900.6710378436
2021-11-03,1017554.8617378437
2021-11-04,1020327.0617378437
2021-11-08,1030188.4701378436
2021-11-09,1029961.5701378436
2021-11-10,1034692.3701378437
2021-11-11,1041274.2701378437
2021-11-12,1044552.3701378437
2021-11-15,1036597.0701378436
2021-11-16,1037874.8701378437
2021-11-17,1033524.9701378436
2021-11-18,1028530.2701378437
2021-11-22,1008537.0720378436
2021-11-23,1013544.9220378436
2021-11-24,1011518.8517378436
2021-11-25,1013477.2517378436
2021-11-26,991710.1517378436
2021-11-29,987548.8517378437
2021-11-30,983785.2902378438
2021-12-01,989570.4158378438
2021-12-02,1036299.8043378437
2021-12-03,1031188.5043378437
2021-12-06,1028312.9043378436
2021-12-07,1028466.0543378437
2021-12-08,1041403.8543378437
2021-12-09,1038568.0543378437
2021-12-10,1037408.9543378437
2021-12-13,1036936.0043378437
2021-12-14,1056328.5543378438
2021-12-15,1049152.4543378437
2021-12-16,1045393.8043378437
2021-12-17,1037488.5543378437
2021-12-20,1020696.4543378437
2021-12-21,1021357.5998739535
2021-12-22,1035316.6498739535
2021-12-23,1038447.0498739536
2021-12-24,1035511.1998739536
2021-12-27,1040945.6998739536
2021-12-28,1043897.9998739535
2021-12-29,1047388.7498739535
2021-12-30,1048114.5498739536
2021-12-31,1054098.9473739534
