,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,1000000.0
2021-09-15,1000000.0
2021-09-16,1000000.0
2021-09-17,1000000.0
2021-09-20,1000000.0
2021-09-21,1000000.0
2021-09-22,1000780.2823999999
2021-09-23,1008211.6824
2021-09-24,1007736.993
2021-09-27,1017276.5458
2021-09-28,1021222.2457999999
2021-09-29,1028396.2457999999
2021-09-30,1032588.014
2021-10-01,1032588.014
2021-10-04,1032550.6871
2021-10-05,1031959.5371
2021-10-06,1027990.3870999999
2021-10-07,1030186.0870999999
2021-10-08,1029003.7871
2021-10-11,1031875.0870999999
2021-10-12,1031030.5870999999
2021-10-13,1028159.2871
2021-10-14,1028412.6370999999
2021-10-18,1028919.3370999999
2021-10-19,1029848.2871
2021-10-20,1025119.0870999999
2021-10-21,1025119.0870999999
2021-10-22,1025119.0870999999
2021-10-25,1025119.0870999999
2021-10-26,1021392.2220999999
2021-10-27,1027454.83535
2021-10-28,1021852.83535
2021-10-29,1021963.58535
2021-11-01,1014187.1853499999
2021-11-02,1014722.1853499999
2021-11-03,1011329.0404
2021-11-04,1019699.9342
2021-11-08,1028673.2842
2021-11-09,1028055.4842000001
2021-11-10,1031160.5342
2021-11-11,1029412.9842000001
2021-11-12,1040419.2842
2021-11-15,1050300.1527999998
2021-11-16,1051124.6527999998
2021-11-17,1045318.1527999998
2021-11-18,1036944.7027999999
2021-11-22,1026197.6027999999
2021-11-23,1026157.6027999999
2021-11-24,1024340.6027999999
2021-11-25,1022436.1027999999
2021-11-26,1012095.1027999999
2021-11-29,1013918.6027999999
2021-11-30,1015795.7067999999
2021-12-01,1023420.7067999999
2021-12-02,1043764.3947999999
2021-12-03,1042354.3947999999
2021-12-06,1039966.8947999999
2021-12-07,1038359.3947999999
2021-12-08,1041119.3947999999
2021-12-09,1042404.3947999999
2021-12-10,1042389.3947999999
2021-12-13,1044274.3947999999
2021-12-14,1044146.8947999999
2021-12-15,1043534.3947999999
2021-12-16,1046541.8947999999
2021-12-17,1049954.3948
2021-12-20,1044389.3947999999
2021-12-21,1044148.0582133256
2021-12-22,1046416.4582133256
2021-12-23,1046430.3582133256
2021-12-24,1044622.7082133256
2021-12-27,1043163.4082133255
2021-12-28,1043216.0850133257
2021-12-29,1045782.8850133256
2021-12-30,1050277.0850133258
2021-12-31,1058209.2300133256
2022-01-03,1051627.6800133258
2022-01-04,1048769.8800133257
2022-01-05,1048182.4800133257
2022-01-06,1045469.8800133257
