,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,1000000.0
2021-09-15,1000000.0
2021-09-16,1000000.0
2021-09-17,1000000.0
2021-09-20,1000000.0
2021-09-21,1000000.0
2021-09-22,1000780.2823999999
2021-09-23,1008211.6824
2021-09-24,1009014.6824
2021-09-27,1019989.0351999999
2021-09-28,1019989.0351999999
2021-09-29,1019989.0351999999
2021-09-30,1019989.0351999999
2021-10-01,1019989.0351999999
2021-10-04,1019952.1503
2021-10-05,1019368.0003
2021-10-06,1015445.8502999999
2021-10-07,1017615.5502999999
2021-10-08,1016447.2503
2021-10-11,1019284.5502999999
2021-10-12,1018450.0502999999
2021-10-13,1015612.7503
2021-10-14,1015863.1002999999
2021-10-18,1016363.8002999999
2021-10-19,1017281.7503
2021-10-20,1012608.5502999999
2021-10-21,1012608.5502999999
2021-10-22,1012608.5502999999
2021-10-25,1012608.5502999999
2021-10-26,1008956.2225999999
2021-10-27,1011612.0225999999
2021-10-28,1010399.2725999999
2021-10-29,1008811.6725999999
2021-11-01,1011928.0726
2021-11-02,1012452.3725999999
2021-11-03,1010754.5225999999
2021-11-04,1017604.22945
2021-11-08,1016439.82945
2021-11-09,1017779.22945
2021-11-10,1017568.22945
2021-11-11,1018249.37945
2021-11-12,1022415.07945
2021-11-15,1037133.4088999998
2021-11-16,1038245.7088999999
2021-11-17,1038618.1088999999
2021-11-18,1034820.6088999999
2021-11-22,1033375.1088999999
2021-11-23,1035222.4088999998
2021-11-24,1033492.7088999999
2021-11-25,1032441.6588999998
2021-11-26,1028639.2588999998
2021-11-29,1031165.2088999999
2021-11-30,1032957.2578999999
2021-12-01,1040648.1578999999
2021-12-02,1061164.3109
2021-12-03,1059782.5108999999
2021-12-06,1057442.7608999999
2021-12-07,1055867.4108999998
2021-12-08,1058572.2108999998
2021-12-09,1059831.5108999999
2021-12-10,1059816.8109
2021-12-13,1061664.1108999997
2021-12-14,1061539.1608999998
2021-12-15,1060938.9108999998
2021-12-16,1063886.2608999999
2021-12-17,1067230.5108999999
2021-12-20,1061776.8109
2021-12-21,1061522.9832519335
2021-12-22,1063731.6332519336
2021-12-23,1063675.8832519336
2021-12-24,1061857.4332519337
2021-12-27,1060378.5332519335
2021-12-28,1061811.3832519336
2021-12-29,1061516.3332519336
2021-12-30,1065587.1332519336
2021-12-31,1067706.9163519335
2022-01-03,1062807.9163519335
2022-01-04,1062807.9163519335
2022-01-05,1062807.9163519335
2022-01-06,1062807.9163519335
2022-01-07,1062807.9163519335
2022-01-10,1062807.9163519335
2022-01-11,1062807.9163519335
2022-01-12,1062807.9163519335
2022-01-13,1062807.9163519335
2022-01-14,1062807.9163519335
2022-01-17,1062807.9163519335
2022-01-18,1062807.9163519335
2022-01-19,1062807.9163519335
2022-01-20,1062807.9163519335
2022-01-21,1062807.9163519335
2022-01-24,1062807.9163519335
2022-01-25,1062807.9163519335
2022-01-27,1062807.9163519335
2022-01-28,1060702.2897519334
2022-01-31,1067257.7897519334
2022-02-01,1071846.6397519335
2022-02-02,1067257.7897519334
2022-02-03,1065946.6897519336
2022-02-04,1063324.4897519334
2022-02-07,1057424.5397519334
2022-02-08,1052180.1397519335
2022-02-09,1052180.1397519335
2022-02-10,1051580.1007519336
2022-02-11,1051409.1007519336
2022-02-14,1046621.1007519335
2022-02-15,1048331.1007519335
2022-02-16,1037985.3899973468
2022-02-17,1033425.0022473468
2022-02-18,1026489.252247347
2022-02-21,1010204.1522473469
2022-02-22,1006442.1522473469
2022-02-23,1006955.1522473469
2022-02-24,1003535.1522473469
2022-02-25,1003535.1522473469
2022-02-28,1003535.1522473469
2022-03-02,1003535.1522473469
2022-03-03,1003535.1522473469
2022-03-04,1003535.1522473469
2022-03-07,1003535.1522473469
2022-03-08,1003535.1522473469
2022-03-09,1003535.1522473469
2022-03-10,1003535.1522473469
2022-03-11,1003535.1522473469
2022-03-14,1003535.1522473469
2022-03-15,1003535.1522473469
2022-03-16,1003535.1522473469
2022-03-17,1003535.1522473469
2022-03-21,1003535.1522473469
2022-03-22,1003535.1522473469
2022-03-23,1003535.1522473469
2022-03-24,1003535.1522473469
2022-03-25,1003535.1522473469
2022-03-28,1003535.1522473469
2022-03-29,1003535.1522473469
2022-03-30,1003535.1522473469
2022-03-31,1003535.1522473469
2022-04-01,1003535.1522473469
2022-04-04,1003535.1522473469
2022-04-05,1003535.1522473469
2022-04-06,1003535.1522473469
2022-04-07,1003535.1522473469
2022-04-08,1003535.1522473469
2022-04-11,1003535.1522473469
2022-04-12,1003535.1522473469
2022-04-13,1003535.1522473469
2022-04-18,1003535.1522473469
2022-04-19,1003535.1522473469
2022-04-20,1003535.1522473469
2022-04-21,1003535.1522473469
2022-04-22,1003535.1522473469
2022-04-25,1003535.1522473469
2022-04-26,1003535.1522473469
2022-04-27,1003535.1522473469
2022-04-28,1003535.1522473469
2022-04-29,1003535.1522473469
2022-05-02,1003535.1522473469
2022-05-04,1003535.1522473469
2022-05-05,1003535.1522473469
2022-05-06,1003535.1522473469
2022-05-09,1003535.1522473469
2022-05-10,1003535.1522473469
2022-05-11,1003535.1522473469
2022-05-12,1003535.1522473469
2022-05-13,1006554.672247347
2022-05-16,1009004.672247347
2022-05-17,1010054.672247347
2022-05-18,1008794.672247347
2022-05-19,1000954.672247347
2022-05-20,1008794.672247347
2022-05-23,1004314.672247347
2022-05-24,1009914.672247347
2022-05-25,1001374.672247347
2022-05-26,1002704.672247347
2022-05-27,1006274.672247347
2022-05-30,1005924.672247347
2022-05-31,1000114.672247347
2022-06-01,1009914.672247347
2022-06-02,1018356.1122473468
2022-06-03,1018356.1122473468
2022-06-06,1018356.1122473468
2022-06-07,1018356.1122473468
2022-06-08,1018356.1122473468
2022-06-09,1018356.1122473468
2022-06-10,1018356.1122473468
2022-06-13,1018356.1122473468
2022-06-14,1018356.1122473468
2022-06-15,1018356.1122473468
2022-06-16,1018356.1122473468
2022-06-17,1018356.1122473468
2022-06-20,1018356.1122473468
2022-06-21,1018356.1122473468
2022-06-22,1018356.1122473468
2022-06-23,1018356.1122473468
2022-06-24,1018356.1122473468
2022-06-27,1018356.1122473468
2022-06-28,1018356.1122473468
2022-06-29,1018356.1122473468
2022-06-30,1018356.1122473468
2022-07-01,1018356.1122473468
2022-07-04,1018356.1122473468
2022-07-05,1018356.1122473468
2022-07-06,1018356.1122473468
2022-07-07,1018356.1122473468
2022-07-08,1018356.1122473468
2022-07-11,1018356.1122473468
2022-07-12,1018356.1122473468
2022-07-13,1018356.1122473468
2022-07-14,1018356.1122473468
2022-07-15,1018356.1122473468
2022-07-18,1018356.1122473468
2022-07-19,1018356.1122473468
2022-07-20,1018356.1122473468
2022-07-21,1018356.1122473468
2022-07-22,1018356.1122473468
2022-07-25,1018356.1122473468
2022-07-26,1018356.1122473468
2022-07-27,1018356.1122473468
2022-07-28,1018356.1122473468
2022-07-29,1018356.1122473468
2022-08-01,1018356.1122473468
2022-08-02,1018356.1122473468
2022-08-03,1018878.1691473469
2022-08-04,1027631.0691473468
2022-08-05,1035885.9504473468
2022-08-08,1037026.2504473468
2022-08-10,1038613.8504473468
2022-08-11,1039533.6504473469
2022-08-12,1040949.0504473469
2022-08-16,1046320.8504473468
2022-08-17,1048821.9504473468
2022-08-18,1049401.5504473469
2022-08-19,1049934.9504473468
2022-08-22,1047379.2504473468
2022-08-23,1051642.2504473468
2022-08-24,1050236.0226473468
2022-08-25,1055441.3226473469
2022-08-26,1054588.4226473467
2022-08-29,1051797.372647347
2022-08-30,1070910.665147347
2022-09-01,1073830.765147347
2022-09-02,1070061.915147347
2022-09-05,1073134.1151473469
2022-09-06,1074999.265147347
2022-09-07,1071356.0651473468
2022-09-08,1077032.406647347
2022-09-09,1078722.656647347
2022-09-12,1089388.2066473467
2022-09-13,1088729.656647347
2022-09-14,1086424.5066473468
2022-09-15,1096516.4250973468
2022-09-16,1087140.8750973467
2022-09-19,1082835.325097347
2022-09-20,1082992.4332973468
2022-09-21,1077357.1832973468
2022-09-22,1091677.0832973467
2022-09-23,1071175.3332973467
2022-09-26,1046012.9832973469
2022-09-27,1041408.5832973468
2022-09-28,1041289.7832973468
2022-09-29,1036005.8832973469
2022-09-30,1033609.6332973469
2022-10-03,1033609.6332973469
2022-10-04,1033609.6332973469
2022-10-06,1033609.6332973469
2022-10-07,1033609.6332973469
2022-10-10,1033609.6332973469
2022-10-11,1033609.6332973469
2022-10-12,1033609.6332973469
2022-10-13,1033609.6332973469
2022-10-14,1033609.6332973469
2022-10-17,1033609.6332973469
2022-10-18,1033609.6332973469
2022-10-19,1033609.6332973469
2022-10-20,1033609.6332973469
2022-10-21,1033609.6332973469
2022-10-24,1033609.6332973469
2022-10-25,1033609.6332973469
2022-10-27,1033609.6332973469
2022-10-28,1033609.6332973469
2022-10-31,1033609.6332973469
2022-11-01,1033609.6332973469
2022-11-02,1033609.6332973469
2022-11-03,1033609.6332973469
2022-11-04,1033609.6332973469
2022-11-07,1033609.6332973469
2022-11-09,1033609.6332973469
2022-11-10,1033609.6332973469
2022-11-11,1033609.6332973469
2022-11-14,1033609.6332973469
2022-11-15,1033609.6332973469
2022-11-16,1033609.6332973469
2022-11-17,1032213.291497347
2022-11-18,1029402.6914973469
2022-11-21,1030897.291497347
2022-11-22,1034412.8914973469
2022-11-23,1031784.4499973468
2022-11-24,1031933.6999973468
2022-11-25,1029395.7499973469
2022-11-28,1035018.9999973469
2022-11-29,1032303.1499973468
2022-11-30,1036387.3499973469
2022-12-01,1036907.6499973468
2022-12-02,1036321.6999973468
2022-12-05,1036870.5999973469
2022-12-06,1032871.9499973468
2022-12-07,1028797.1499973468
2022-12-08,1031068.1499973468
2022-12-09,1026354.4499973468
2022-12-12,1025707.2999973469
2022-12-13,1028741.0499973469
2022-12-14,1026988.2499973469
2022-12-15,1021510.5499973469
2022-12-16,1020450.3499973469
2022-12-19,1023752.0499973469
2022-12-20,1025012.9499973468
2022-12-21,1017183.2499973469
2022-12-22,1013046.3431459349
2022-12-23,1013046.3431459349
2022-12-26,1013046.3431459349
2022-12-27,1011139.3263459349
2022-12-28,1010988.526345935
2022-12-29,1011742.526345935
2022-12-30,1015738.7263459349
2023-01-02,1021619.9263459349
2023-01-03,1025540.7263459349
2023-01-04,1024334.3263459349
2023-01-05,1026822.526345935
2023-01-06,1026596.3263459349
2023-01-09,1029386.1263459349
2023-01-10,1025766.9263459349
2023-01-11,1023655.7263459349
2023-01-12,1021996.9263459349
2023-01-13,1025239.1263459349
2023-01-16,1026219.3263459349
2023-01-17,1025691.526345935
2023-01-18,1026596.3263459349
2023-01-19,1026370.1263459349
2023-01-20,1027199.526345935
2023-01-23,1027576.526345935
2023-01-24,1025389.9263459349
2023-01-25,1021770.7263459349
2023-01-27,1013702.9263459349
2023-01-30,1014909.3263459349
2023-01-31,1023655.7263459349
2023-02-01,1017171.3263459349
2023-02-02,1017623.7263459349
2023-02-03,1019131.7263459349
