,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,998394.7702421914
2021-09-15,1000213.2702421914
2021-09-16,1002330.5330421913
2021-09-17,1000658.6330421914
2021-09-20,997580.9830421914
2021-09-21,1000839.1330421914
2021-09-22,1007240.7615421914
2021-09-23,1032710.4418421914
2021-09-24,1028077.4279421915
2021-09-27,1032358.9807421914
2021-09-28,1038119.1307421913
2021-09-29,1048907.5307421912
2021-09-30,1052337.5724421914
2021-10-01,1052891.4224421913
2021-10-04,1046855.2651421913
2021-10-05,1041135.2151421914
2021-10-06,1037109.6651421913
2021-10-07,1039336.5651421914
2021-10-08,1039570.7080421913
2021-10-11,1041384.7080421913
2021-10-12,1045839.0500421914
2021-10-13,1049899.1500421914
2021-10-14,1068118.0713421912
2021-10-18,1067467.971342191
2021-10-19,1062372.1213421912
2021-10-20,1054547.721342191
2021-10-21,1050508.3091421912
2021-10-22,1034328.8077958322
2021-10-25,1037139.8077958322
2021-10-26,1031439.0989714793
2021-10-27,1031772.8330714793
2021-10-28,1009857.9830714792
2021-10-29,1011659.1830714793
2021-11-01,1023213.8830714794
2021-11-02,1022341.2330714794
2021-11-03,1024242.1106714794
2021-11-04,1031335.0606714794
2021-11-08,1046018.8278714793
2021-11-09,1047453.4970714793
2021-11-10,1046711.1970714793
2021-11-11,1048800.0470714793
2021-11-12,1052275.9970714794
2021-11-15,1046213.4470714794
2021-11-16,1040989.8470714793
2021-11-17,1036123.8470714793
2021-11-18,1031199.6970714794
2021-11-22,1009765.5943714795
2021-11-23,1017431.4443714794
2021-11-24,1018252.0337714795
2021-11-25,1039711.0079714794
2021-11-26,1024285.6079714794
2021-11-29,1020935.6579714795
2021-11-30,1017194.0619714796
2021-12-01,1023155.1586714797
2021-12-02,1069097.9556714795
2021-12-03,1066573.7056714795
2021-12-06,1061063.8056714793
2021-12-07,1056716.8056714793
2021-12-08,1063447.6261397921
2021-12-09,1060718.726139792
2021-12-10,1059646.6261397921
2021-12-13,1059343.4761397922
2021-12-14,1067865.4761397922
2021-12-15,1061745.1261397921
2021-12-16,1065735.726139792
2021-12-17,1063356.6261397921
2021-12-20,1040413.3261397921
2021-12-21,1048717.239553118
2021-12-22,1057235.739553118
2021-12-23,1065997.6895531178
2021-12-24,1064259.8735585744
2021-12-27,1060719.0735585743
2021-12-28,1066555.7269585743
2021-12-29,1064706.4269585744
2021-12-30,1065153.1269585744
2021-12-31,1073090.6338585743
2022-01-03,1067099.0338585745
2022-01-04,1068980.2838585745
2022-01-05,1069185.6338585743
2022-01-06,1065767.9838585744
2022-01-07,1059209.9393585743
2022-01-10,1061703.6169585744
2022-01-11,1058431.6669585744
2022-01-12,1064320.7669585743
2022-01-13,1076741.9669585745
2022-01-14,1075593.9669585745
2022-01-17,1075137.0669585746
2022-01-18,1067595.8669585744
2022-01-19,1074696.6669585744
2022-01-20,1080663.1062785746
2022-01-21,1065465.5262785745
2022-01-24,1031240.5662785745
2022-01-25,1042353.1162785745
2022-01-27,1050039.5650285746
2022-01-28,1049590.7650285745
2022-01-31,1058936.4150285744
2022-02-01,1054390.2650285745
2022-02-02,1057015.4650285745
2022-02-03,1048545.0650285746
2022-02-04,1039479.8150285744
2022-02-07,1044037.9150285745
2022-02-08,1039007.9650285745
2022-02-09,1048172.7650285745
2022-02-10,1056337.4645285744
2022-02-11,1049442.2145285746
2022-02-14,1030177.2145285744
2022-02-15,1027810.7145285744
2022-02-16,1022723.865471753
2022-02-17,1024891.765471753
2022-02-18,1016348.565471753
2022-02-21,1004524.315471753
2022-02-22,1005323.3654717531
2022-02-23,1003257.7349717531
2022-02-24,977933.734971753
2022-02-25,984938.434971753
2022-02-28,991855.3349717531
2022-03-02,1007759.8869717531
2022-03-03,1013503.7821217531
2022-03-04,1009586.182121753
2022-03-07,1004394.182121753
2022-03-08,1004394.182121753
2022-03-09,1004394.182121753
2022-03-10,1004394.182121753
2022-03-11,1004394.182121753
2022-03-14,1004394.182121753
2022-03-15,1004394.182121753
2022-03-16,1004394.182121753
2022-03-17,1001047.2827569295
2022-03-21,999965.4027569296
2022-03-22,1001176.4027569296
2022-03-23,1006366.4027569296
2022-03-24,1007986.4405113996
2022-03-25,1006807.4592850837
2022-03-28,1013490.8592850837
2022-03-29,1016830.4029640316
2022-03-30,1016830.4029640316
2022-03-31,1016830.4029640316
2022-04-01,1016830.4029640316
2022-04-04,1018556.0509640316
2022-04-05,1022047.6362640315
2022-04-06,1023542.5362640315
2022-04-07,1025067.1362640315
2022-04-08,1020097.3362640316
2022-04-11,1022849.5362640315
2022-04-12,1023196.0362640315
2022-04-13,1022930.4260140315
2022-04-18,1036273.8642140316
2022-04-19,1034869.6352140314
2022-04-20,1033851.7352140315
2022-04-21,1035704.2352140315
2022-04-22,1033588.4852140315
2022-04-25,1022127.5487140315
2022-04-26,1042223.7414640315
2022-04-27,1051472.2132140314
2022-04-28,1049000.2632140315
2022-04-29,1032639.1132140316
2022-05-02,1031504.2132140315
2022-05-04,1029967.4221640315
2022-05-05,1028923.7721640316
2022-05-06,1023785.5721640316
2022-05-09,1026263.3721640316
2022-05-10,1020336.3221640316
2022-05-11,1013147.1721640315
2022-05-12,1010157.1721640315
2022-05-13,1013554.9033640317
2022-05-16,1015063.8533640316
2022-05-17,1019230.2033640316
2022-05-18,1008274.5033640317
2022-05-19,996018.7033640316
2022-05-20,1003909.1033640316
2022-05-23,999400.3033640316
2022-05-24,1005036.3033640316
2022-05-25,996441.4033640316
2022-05-26,997779.9533640316
2022-05-27,1000088.5337640316
2022-05-30,998952.2750140317
2022-05-31,999952.3750140315
2022-06-01,1015180.0250140316
2022-06-02,1026737.5314140314
2022-06-03,1021627.0314140314
2022-06-06,1021992.4814140314
2022-06-07,1025834.7814140314
2022-06-08,1019610.9314140314
2022-06-09,1023643.7314140314
2022-06-10,1023972.2814140314
2022-06-13,1013381.7384140315
2022-06-14,1018261.1384140314
2022-06-15,1025545.1384140314
2022-06-16,1020343.1384140314
2022-06-17,1016252.9384140314
2022-06-20,991923.3384140314
2022-06-21,991923.3384140314
2022-06-22,991923.3384140314
2022-06-23,991923.3384140314
2022-06-24,991923.3384140314
2022-06-27,991923.3384140314
2022-06-28,991923.3384140314
2022-06-29,991923.3384140314
2022-06-30,990619.1154140315
2022-07-01,991164.8154140315
2022-07-04,1005526.0654140315
2022-07-05,1006263.4217364038
2022-07-06,1022588.6717364038
2022-07-07,1024093.8217364037
2022-07-08,1025544.909769287
2022-07-11,1024424.309769287
2022-07-12,1020789.509769287
2022-07-13,1020815.509769287
2022-07-14,1023319.309769287
2022-07-15,1027206.309769287
2022-07-18,1023360.909769287
2022-07-19,1024010.909769287
2022-07-20,1026135.1097692869
2022-07-21,1027549.509769287
2022-07-22,1028378.909769287
2022-07-25,1029130.309769287
2022-07-26,1025035.309769287
2022-07-27,1027500.1097692869
2022-07-28,1028269.7097692869
2022-07-29,1030282.845619287
2022-08-01,1031279.495619287
2022-08-02,1032301.745619287
2022-08-03,1034914.5514192871
2022-08-04,1042330.451419287
2022-08-05,1047777.392019287
2022-08-08,1041162.0420192871
2022-08-10,1036688.192019287
2022-08-11,1036638.192019287
2022-08-12,1040005.142019287
2022-08-16,1050122.742019287
2022-08-17,1051033.192019287
2022-08-18,1054318.442019287
2022-08-19,1054789.2920192871
2022-08-22,1047154.692019287
2022-08-23,1051938.342019287
2022-08-24,1050509.0022192872
2022-08-25,1060075.002219287
2022-08-26,1056608.4522192872
2022-08-29,1064846.552219287
2022-08-30,1090377.010319287
2022-09-01,1082847.010319287
2022-09-02,1080477.960319287
2022-09-05,1079003.960319287
2022-09-06,1087009.610319287
2022-09-07,1091058.8378192869
2022-09-08,1098832.4338192868
2022-09-09,1099843.683819287
2022-09-12,1109837.995819287
2022-09-13,1113266.8958192868
2022-09-14,1109395.7958192867
2022-09-15,1124206.9821692868
2022-09-16,1116068.6821692868
2022-09-19,1112699.1821692868
2022-09-20,1114736.0181692867
2022-09-21,1111213.4181692868
2022-09-22,1129730.0681692867
2022-09-23,1110305.6681692868
2022-09-26,1088069.3181692867
2022-09-27,1087044.1181692868
2022-09-28,1089285.4368192868
2022-09-29,1078855.5762192868
2022-09-30,1079023.1762192869
2022-10-03,1058756.9762192867
2022-10-04,1058608.6262192868
2022-10-06,1050266.3387127244
2022-10-07,1051936.3587127244
2022-10-10,1050569.7587127243
2022-10-11,1037840.8587127243
2022-10-12,1039666.0587127242
2022-10-13,1040789.2587127242
2022-10-14,1037506.5318224715
2022-10-17,1034786.3318224715
2022-10-18,1047122.7756224717
2022-10-19,1037031.4036224716
2022-10-20,1019413.6139126846
2022-10-21,1026400.1864126846
2022-10-24,1034001.4364126846
2022-10-25,1050205.556213784
2022-10-27,1053046.926563784
2022-10-28,1057971.1265637842
2022-10-31,1050397.232563784
2022-11-01,1063128.065063784
2022-11-02,1056982.7150637838
2022-11-03,1048405.115063784
2022-11-04,1053075.215063784
2022-11-07,1068081.215063784
2022-11-09,1070022.415063784
2022-11-10,1072166.0150637839
2022-11-11,1069668.3686637841
2022-11-14,1069699.8686637841
2022-11-15,1067463.8686637841
2022-11-16,1065345.568663784
2022-11-17,1059596.762763784
2022-11-18,1057328.962763784
2022-11-21,1058553.862763784
2022-11-22,1062048.884763784
2022-11-23,1063547.988763784
2022-11-24,1069389.388763784
2022-11-25,1068152.588763784
2022-11-28,1083113.5387637839
2022-11-29,1070352.638763784
2022-11-30,1099217.7287637838
2022-12-01,1099409.328763784
2022-12-02,1101360.1287637837
2022-12-05,1103311.078763784
2022-12-06,1097817.4787637838
2022-12-07,1093137.0287637839
2022-12-08,1089556.7287637838
2022-12-09,1086651.860463784
2022-12-12,1096642.110463784
2022-12-13,1106190.010463784
2022-12-14,1107797.010463784
2022-12-15,1099785.7990432628
2022-12-16,1096637.4990432628
2022-12-19,1102252.9990432628
2022-12-20,1093704.9990432628
2022-12-21,1070279.1141432629
2022-12-22,1057485.9765497844
2022-12-23,1051319.5765497845
2022-12-26,1055923.6026423916
2022-12-27,1052029.4461423918
2022-12-28,1052071.0461423919
2022-12-29,1052068.4791423918
2022-12-30,1052953.7291423918
2023-01-02,1058184.4791423918
2023-01-03,1066411.2035423918
2023-01-04,1056298.7535423918
2023-01-05,1062433.3035423919
2023-01-06,1058649.7708563483
2023-01-09,1058462.2208563483
2023-01-10,1053247.5708563481
2023-01-11,1044954.8208563483
2023-01-12,1047793.2708563482
2023-01-13,1055256.6208563484
2023-01-16,1055016.4708563483
2023-01-17,1054452.5208563483
2023-01-18,1050821.9208563482
2023-01-19,1052209.7708563483
2023-01-20,1048729.5795095423
2023-01-23,1046832.2795095424
2023-01-24,1045103.4095095424
2023-01-25,1038585.8095095425
2023-01-27,1034306.6095095425
2023-01-30,1035273.1095095424
2023-01-31,1045625.5595095424
2023-02-01,1045410.4669495424
2023-02-02,1048724.1197495426
2023-02-03,1049609.2197495424
2023-02-06,1053857.7175495424
