,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,998394.7702421914
2021-09-15,1000213.2702421914
2021-09-16,1002330.5330421913
2021-09-17,1000658.6330421914
2021-09-20,997580.9830421914
2021-09-21,1000839.1330421914
2021-09-22,1007240.7615421914
2021-09-23,1032710.4418421914
2021-09-24,1028077.4279421915
2021-09-27,1032358.9807421914
2021-09-28,1038119.1307421913
2021-09-29,1048907.5307421912
2021-09-30,1052337.5724421914
2021-10-01,1052891.4224421913
2021-10-04,1046855.2651421913
2021-10-05,1041135.2151421914
2021-10-06,1037109.6651421913
2021-10-07,1039336.5651421914
2021-10-08,1039570.7080421913
2021-10-11,1041384.7080421913
2021-10-12,1045839.0500421914
2021-10-13,1049899.1500421914
2021-10-14,1068118.0713421912
2021-10-18,1067467.971342191
2021-10-19,1062372.1213421912
2021-10-20,1054547.721342191
2021-10-21,1050508.3091421912
2021-10-22,1034328.8077958322
2021-10-25,1037139.8077958322
2021-10-26,1031439.0989714793
2021-10-27,1031772.8330714793
2021-10-28,1009857.9830714792
2021-10-29,1011659.1830714793
2021-11-01,1023213.8830714794
2021-11-02,1022341.2330714794
2021-11-03,1024242.1106714794
2021-11-04,1031335.0606714794
2021-11-08,1046018.8278714793
2021-11-09,1048292.1278714794
2021-11-10,1045874.0278714793
2021-11-11,1049147.2778714793
2021-11-12,1054726.7711714793
2021-11-15,1048341.4211714794
2021-11-16,1051975.8692714793
2021-11-17,1047336.9692714794
2021-11-18,1044836.2192714792
2021-11-22,1023082.9432714792
2021-11-23,1026867.8432714792
2021-11-24,1030715.6923714794
2021-11-25,1053924.0665714792
2021-11-26,1029524.5665714792
2021-11-29,1019371.2165714792
2021-11-30,1015629.6205714793
2021-12-01,1021591.9432714793
2021-12-02,1067504.254271479
2021-12-03,1064983.6542714792
2021-12-06,1059484.204271479
2021-12-07,1055137.204271479
2021-12-08,1061868.0247397916
2021-12-09,1059139.1247397917
2021-12-10,1058067.0247397919
2021-12-13,1057763.8747397917
2021-12-14,1066285.8747397917
2021-12-15,1060165.5247397916
2021-12-16,1064156.1247397917
2021-12-17,1061777.0247397916
2021-12-20,1038833.7247397918
2021-12-21,1047137.6381531176
2021-12-22,1055656.1381531176
2021-12-23,1064418.0881531176
2021-12-24,1062680.272158574
2021-12-27,1059139.472158574
2021-12-28,1060403.6887585742
2021-12-29,1062387.1887585742
2021-12-30,1064214.0887585743
2021-12-31,1076489.4956585742
2022-01-03,1067326.695658574
