,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,1000000.0
2021-09-15,1000000.0
2021-09-16,1000000.0
2021-09-17,1000000.0
2021-09-20,1000000.0
2021-09-21,1000000.0
2021-09-22,1000780.2823999999
2021-09-23,1008211.6824
2021-09-24,1007736.993
2021-09-27,1017276.5458
2021-09-28,1021222.2457999999
2021-09-29,1028396.2457999999
2021-09-30,1032588.014
2021-10-01,1032588.014
2021-10-04,1032550.6871
2021-10-05,1031959.5371
2021-10-06,1027990.3870999999
2021-10-07,1030186.0870999999
2021-10-08,1029003.7871
2021-10-11,1031875.0870999999
2021-10-12,1031030.5870999999
2021-10-13,1028159.2871
2021-10-14,1028412.6370999999
2021-10-18,1028919.3370999999
2021-10-19,1029848.2871
2021-10-20,1025119.0870999999
2021-10-21,1025119.0870999999
2021-10-22,1025119.0870999999
2021-10-25,1025119.0870999999
2021-10-26,1021392.2220999999
2021-10-27,1027454.83535
2021-10-28,1021852.83535
2021-10-29,1021963.58535
2021-11-01,1014187.1853499999
2021-11-02,1014722.1853499999
2021-11-03,1011329.0404
2021-11-04,1019699.9342
2021-11-08,1028673.2842
2021-11-09,1028055.4842000001
2021-11-10,1031160.5342
2021-11-11,1029412.9842000001
2021-11-12,1040419.2842
2021-11-15,1050300.1527999998
2021-11-16,1051124.6527999998
2021-11-17,1045318.1527999998
2021-11-18,1036944.7027999999
2021-11-22,1026197.6027999999
2021-11-23,1026157.6027999999
2021-11-24,1024340.6027999999
2021-11-25,1022436.1027999999
2021-11-26,1012095.1027999999
2021-11-29,1013918.6027999999
2021-11-30,1015795.7067999999
2021-12-01,1023420.7067999999
2021-12-02,1043764.3947999999
2021-12-03,1042354.3947999999
2021-12-06,1039966.8947999999
2021-12-07,1038359.3947999999
2021-12-08,1039781.2530499999
2021-12-09,1040678.5030499999
2021-12-10,1040663.5030499999
2021-12-13,1039694.0030499999
2021-12-14,1039137.5030499999
2021-12-15,1036520.2530499999
2021-12-16,1039527.7530499999
2021-12-17,1042940.2530499999
2021-12-20,1037375.2530499999
2021-12-21,1037140.0575247178
2021-12-22,1039413.5575247178
2021-12-23,1039452.0575247178
2021-12-24,1037661.0575247178
2021-12-27,1036219.0575247178
2021-12-28,1036273.1644247179
2021-12-29,1038821.8144247178
2021-12-30,1043312.4144247179
2021-12-31,1051198.7594247179
2022-01-03,1044683.6094247177
2022-01-04,1041847.4594247178
2022-01-05,1041264.5094247179
2022-01-06,1038572.4594247178
2022-01-07,1036747.1134247178
2022-01-10,1039966.8134247179
2022-01-11,1037033.0634247179
2022-01-12,1038703.8134247179
2022-01-13,1040718.1634247177
2022-01-14,1036994.0634247178
2022-01-17,1029752.2648247179
2022-01-18,1020976.3648247179
2022-01-19,1021913.0148247178
2022-01-20,1022155.3648247179
2022-01-21,1019555.0148247178
2022-01-24,1011658.2088247179
2022-01-25,1027695.0088247178
2022-01-27,1018441.9088247179
2022-01-28,1009974.9784247178
2022-01-31,1017329.3784247178
2022-02-01,1020789.1784247179
2022-02-02,1015360.1784247179
2022-02-03,1015993.3784247178
2022-02-04,1012462.1784247179
2022-02-07,1005910.7784247177
2022-02-08,1003024.3784247178
2022-02-09,1011424.3784247178
2022-02-10,1013131.5159247176
2022-02-11,1012967.0159247176
2022-02-14,1008361.0159247176
2022-02-15,1010006.0159247176
2022-02-16,1000114.8510789465
2022-02-17,996141.0910789465
2022-02-18,987018.4210789464
2022-02-21,976612.8710789464
2022-02-22,974406.5710789465
2022-02-23,967215.7785789465
2022-02-24,952801.9785789464
2022-02-25,952801.9785789464
2022-02-28,952801.9785789464
2022-03-02,952801.9785789464
2022-03-03,952801.9785789464
2022-03-04,952801.9785789464
2022-03-07,952801.9785789464
2022-03-08,952801.9785789464
2022-03-09,952801.9785789464
2022-03-10,952801.9785789464
2022-03-11,952801.9785789464
2022-03-14,952801.9785789464
2022-03-15,952801.9785789464
2022-03-16,952801.9785789464
2022-03-17,950645.6351589465
2022-03-21,945297.2151589465
2022-03-22,945297.2151589465
2022-03-23,945297.2151589465
2022-03-24,945297.2151589465
2022-03-25,945297.2151589465
2022-03-28,945297.2151589465
2022-03-29,945297.2151589465
2022-03-30,945297.2151589465
2022-03-31,945297.2151589465
2022-04-01,945297.2151589465
2022-04-04,945297.2151589465
2022-04-05,945297.2151589465
2022-04-06,945297.2151589465
2022-04-07,945297.2151589465
2022-04-08,945297.2151589465
2022-04-11,945297.2151589465
2022-04-12,945297.2151589465
2022-04-13,947007.9758589464
2022-04-18,957301.1448589463
2022-04-19,960480.2616089463
2022-04-20,959537.9616089463
2022-04-21,961253.0616089463
2022-04-22,959301.7116089463
2022-04-25,948686.4849089463
2022-04-26,959520.2849089464
2022-04-27,965698.5349089464
2022-04-28,963428.5849089463
2022-04-29,948267.4349089464
2022-05-02,947221.3349089464
2022-05-04,942225.1349089463
2022-05-05,944765.0349089464
2022-05-06,935412.0349089464
2022-05-09,932122.0349089464
2022-05-10,932122.0349089464
2022-05-11,932122.0349089464
2022-05-12,932122.0349089464
2022-05-13,934925.8749089465
2022-05-16,937200.8749089465
2022-05-17,938175.8749089465
2022-05-18,937005.8749089465
2022-05-19,929725.8749089465
2022-05-20,937005.8749089465
2022-05-23,932845.8749089465
2022-05-24,938045.8749089465
2022-05-25,930115.8749089465
2022-05-26,931350.8749089465
2022-05-27,934665.8749089465
2022-05-30,934340.8749089465
2022-05-31,928945.8749089465
2022-06-01,938045.8749089465
2022-06-02,945884.3549089463
2022-06-03,945884.3549089463
2022-06-06,945884.3549089463
2022-06-07,945884.3549089463
2022-06-08,945884.3549089463
2022-06-09,945884.3549089463
2022-06-10,945884.3549089463
2022-06-13,945884.3549089463
2022-06-14,945884.3549089463
2022-06-15,945884.3549089463
2022-06-16,945884.3549089463
2022-06-17,945884.3549089463
2022-06-20,945884.3549089463
2022-06-21,945884.3549089463
2022-06-22,945884.3549089463
2022-06-23,945884.3549089463
2022-06-24,945884.3549089463
2022-06-27,945884.3549089463
2022-06-28,945884.3549089463
2022-06-29,945884.3549089463
2022-06-30,944641.0769089464
2022-07-01,945161.2769089463
2022-07-04,954050.5769089464
2022-07-05,957703.9109089463
2022-07-06,957703.9109089463
2022-07-07,957703.9109089463
2022-07-08,957703.9109089463
2022-07-11,957703.9109089463
2022-07-12,957703.9109089463
2022-07-13,957703.9109089463
2022-07-14,957703.9109089463
2022-07-15,957703.9109089463
2022-07-18,957703.9109089463
2022-07-19,957703.9109089463
2022-07-20,957703.9109089463
2022-07-21,957703.9109089463
2022-07-22,957703.9109089463
2022-07-25,957703.9109089463
2022-07-26,957703.9109089463
2022-07-27,957703.9109089463
2022-07-28,957703.9109089463
2022-07-29,958074.4839589463
2022-08-01,961164.9339589464
2022-08-02,965379.1839589464
2022-08-03,968684.6430589464
2022-08-04,975325.2430589462
2022-08-05,984579.4557589462
2022-08-08,981170.2557589463
2022-08-10,976220.4057589463
2022-08-11,976534.5057589463
2022-08-12,978725.3557589463
2022-08-16,986650.8557589463
2022-08-17,986785.2557589463
2022-08-18,990427.7057589462
2022-08-19,992340.4557589462
2022-08-22,984568.4057589463
2022-08-23,988909.3557589463
2022-08-24,987581.2280089464
2022-08-25,1000070.8780089463
2022-08-26,1000314.6780089464
2022-08-29,1000708.1280089463
2022-08-30,1021877.0338589463
2022-09-01,1025846.6058589463
2022-09-02,1022293.3558589463
2022-09-05,1026671.3558589463
2022-09-06,1034232.6058589463
2022-09-07,1016948.8558589463
2022-09-08,1027897.5946089462
2022-09-09,1030874.2446089463
2022-09-12,1044580.4006089462
2022-09-13,1043928.6506089462
2022-09-14,1041770.6506089462
2022-09-15,1051315.789358946
2022-09-16,1042365.7893589461
2022-09-19,1038303.2893589461
2022-09-20,1038458.6203589462
2022-09-21,1033192.8703589462
2022-09-22,1048726.7127589462
2022-09-23,1026689.4627589462
2022-09-26,996300.4127589462
2022-09-27,995897.2127589462
2022-09-28,999992.0127589462
2022-09-29,991643.5127589462
2022-09-30,989213.5627589462
2022-10-03,986007.1627589462
2022-10-04,984701.5627589462
2022-10-06,984317.5627589462
2022-10-07,982955.852958648
2022-10-10,981085.952958648
2022-10-11,972590.102958648
2022-10-12,972590.102958648
2022-10-13,972590.102958648
2022-10-14,972590.102958648
2022-10-17,972590.102958648
2022-10-18,983575.637258648
2022-10-19,975431.137258648
2022-10-20,974034.937258648
2022-10-21,981481.337258648
2022-10-24,988229.637258648
2022-10-25,992039.634358648
2022-10-27,991150.053208648
2022-10-28,990768.453208648
2022-10-31,986236.953208648
2022-11-01,986236.953208648
2022-11-02,986536.8782086481
2022-11-03,982946.3782086481
2022-11-04,984582.5282086481
2022-11-07,989733.9282086481
2022-11-09,991548.5282086481
2022-11-10,993552.328208648
2022-11-11,992404.228208648
2022-11-14,992397.7782086481
2022-11-15,992174.1782086481
2022-11-16,990194.0282086481
2022-11-17,984830.1552086482
2022-11-18,982730.4052086482
2022-11-21,983864.7052086481
2022-11-22,986160.005208648
2022-11-23,988995.7819086482
2022-11-24,991392.3319086483
2022-11-25,987806.0319086483
2022-11-28,998273.0319086482
2022-11-29,992572.4819086482
2022-11-30,1022547.2899086482
2022-12-01,1024652.166808648
2022-12-02,1027400.5168086481
2022-12-05,1027078.916808648
2022-12-06,1022225.8668086481
2022-12-07,1017506.2168086481
2022-12-08,1017874.2168086481
2022-12-09,1015296.5301086481
2022-12-12,1020355.3301086482
2022-12-13,1027117.3301086482
2022-12-14,1030695.2301086482
2022-12-15,1023977.150908648
2022-12-16,1015264.1509086482
2022-12-19,1020678.3509086481
2022-12-20,1019455.8509086481
2022-12-21,1008697.1509086482
2022-12-22,1001530.2222466578
2022-12-23,997776.0722466579
2022-12-26,1002063.5788367593
2022-12-27,1000000.4956367593
2022-12-28,999924.3956367593
2022-12-29,1000893.9956367593
2022-12-30,1004787.5956367594
2023-01-02,1008765.9956367594
2023-01-03,1011662.6456367595
2023-01-04,1010494.8456367594
2023-01-05,1012999.6456367593
2023-01-06,1014594.7196367594
2023-01-09,1016153.6196367594
2023-01-10,1014265.4196367594
2023-01-11,1006376.0696367593
2023-01-12,1009647.7696367594
2023-01-13,1014031.1196367594
2023-01-16,1014760.9696367594
2023-01-17,1014287.6696367594
2023-01-18,1014569.1196367594
2023-01-19,1015863.9696367594
2023-01-20,1014647.0696367593
2023-01-23,1013388.4196367594
2023-01-24,1013779.0696367593
2023-01-25,1007542.2696367594
2023-01-27,1003379.5196367594
2023-01-30,1004281.4196367594
2023-01-31,1014145.4196367594
2023-02-01,1011479.9696367594
2023-02-02,1018266.2884367594
2023-02-03,1022774.4384367594
2023-02-06,1029551.8884367594
2023-02-07,1026483.5384367594
2023-02-08,1026956.1884367594
2023-02-09,1021262.2884367594
2023-02-10,1020260.7384367593
2023-02-13,1012607.2384367594
2023-02-14,1012386.2884367594
2023-02-15,1018774.8384367593
2023-02-16,1022721.1384367594
2023-02-17,1024791.6134367593
