,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,999456.1611000001
2021-09-14,1000020.4611000001
2021-09-15,999978.6611000001
2021-09-16,1000198.1111000001
2021-09-17,1000208.5611
2021-09-20,996875.0111000001
2021-09-21,1000637.0111000001
2021-09-22,1002963.8935
2021-09-23,1011356.6935
2021-09-24,1010784.0359
2021-09-27,1019284.6387
2021-09-28,1024977.1387
2021-09-29,1035642.5386999999
2021-09-30,1039000.7115
2021-10-01,1039554.5615000001
2021-10-04,1033518.8904000001
2021-10-05,1028130.4904
2021-10-06,1022369.6904000001
2021-10-07,1024567.9904
2021-10-08,1023384.2904
2021-10-11,1026258.9904
2021-10-12,1025413.4904
2021-10-13,1022538.7904
2021-10-14,1022792.4404000001
2021-10-18,1023299.7404
2021-10-19,1024229.7904
2021-10-20,1019494.9904
2021-10-21,1019494.9904
2021-10-22,1019494.9904
2021-10-25,1019494.9904
2021-10-26,1015768.1254
2021-10-27,1021808.46215
2021-10-28,1016235.46215
2021-10-29,1016334.71215
2021-11-01,1008631.1121500001
2021-11-02,1009166.1121500001
2021-11-03,1005780.3192500002
2021-11-04,1014103.5391500002
2021-11-08,1023038.5891500001
2021-11-09,1022423.4391500001
2021-11-10,1025514.5391500002
2021-11-11,1023773.3891500002
2021-11-12,1034710.0391500002
2021-11-15,1044535.0294500001
2021-11-16,1045364.0294500001
2021-11-17,1039594.1794500002
2021-11-18,1031244.67945
2021-11-22,1020549.3294500001
2021-11-23,1020524.0794500002
2021-11-24,1018707.2794500001
2021-11-25,1016805.9794500002
2021-11-26,1006489.8294500002
2021-11-29,1008316.2294500002
2021-11-30,1010202.0354500002
2021-12-01,1017787.0354500002
2021-12-02,1038024.6174500001
2021-12-03,1036614.6174500001
2021-12-06,1034227.1174500001
2021-12-07,1032619.6174500001
2021-12-08,1034049.5856500001
2021-12-09,1034949.1856500001
2021-12-10,1034934.1856500001
2021-12-13,1033981.9856500002
2021-12-14,1033428.08565
2021-12-15,1030822.9856500002
2021-12-16,1033830.4856500002
2021-12-17,1037242.9856500002
2021-12-20,1031677.9856500002
2021-12-21,1031442.790124718
2021-12-22,1033716.290124718
2021-12-23,1033754.790124718
2021-12-24,1031963.790124718
2021-12-27,1030521.790124718
2021-12-28,1030586.377124718
2021-12-29,1033113.377124718
2021-12-30,1037601.377124718
2021-12-31,1045443.972124718
2022-01-03,1038941.972124718
2022-01-04,1036127.472124718
2022-01-05,1035548.972124718
2022-01-06,1032877.472124718
