,equity
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1003518.528
2021-08-31,1008068.528
2021-09-01,1016530.234
2021-09-02,1015955.234
2021-09-03,1010757.234
2021-09-06,1009676.234
2021-09-07,1009331.234
2021-09-08,1013421.1790897743
2021-09-09,1014026.1790897743
2021-09-13,1011387.9338897744
2021-09-14,1010583.2504626429
2021-09-15,1012354.0004626429
2021-09-16,1014689.7632626429
2021-09-17,1013019.963262643
2021-09-20,1006550.3132626431
2021-09-21,1013624.463262643
2021-09-22,1020953.9089626429
2021-09-23,1046633.997062643
2021-09-24,1041993.0012626428
2021-09-27,1046390.2376626428
2021-09-28,1052229.7376626427
2021-09-29,1063166.937662643
2021-09-30,1066642.675062643
2021-10-01,1067204.4750626427
2021-10-04,1061081.709462643
2021-10-05,1055608.7094626427
2021-10-06,1049716.509462643
2021-10-07,1051973.3094626428
2021-10-08,1052211.9745626429
2021-10-11,1054049.274562643
2021-10-12,1058561.3165626428
2021-10-13,1062658.916562643
2021-10-14,1081056.6212626428
2021-10-18,1080413.4212626428
2021-10-19,1075330.2212626426
2021-10-20,1067441.4212626428
2021-10-21,1063375.092462643
2021-10-22,1046979.0026842118
2021-10-25,1049840.4026842117
2021-10-26,1046992.3644488531
2021-10-27,1049948.726448853
2021-10-28,1026833.2764488531
2021-10-29,1033052.0764488531
2021-11-01,1030474.5764488531
2021-11-02,1033456.726448853
2021-11-03,1040381.8372488532
2021-11-04,1047201.7372488532
2021-11-08,1066170.9048488531
2021-11-09,1070674.606648853
2021-11-10,1069574.6566488529
2021-11-11,1071417.906648853
2021-11-12,1077734.9066488529
2021-11-15,1053757.356648853
2021-11-16,1042564.937648853
2021-11-17,1039328.887648853
2021-11-18,1037035.887648853
2021-11-22,1016799.5346488531
2021-11-23,1017176.4406488532
2021-11-24,1023293.6098988531
2021-11-25,1028754.8598988532
2021-11-26,994257.9598988531
2021-11-29,977581.6598988532
2021-11-30,973799.7513988533
2021-12-01,979575.6341988533
2021-12-02,1024076.5046988532
2021-12-03,1021535.1546988531
2021-12-06,1016170.5046988532
2021-12-07,1012007.2546988532
2021-12-08,1018547.476044649
2021-12-09,1015974.1260446489
2021-12-10,1014942.2760446488
2021-12-13,1014503.8760446489
2021-12-14,1022874.5260446488
2021-12-15,1016918.726044649
2021-12-16,1020804.2760446488
2021-12-17,1018454.0760446489
2021-12-20,995928.676044649
2021-12-21,1004158.7537035428
2021-12-22,1012567.8537035427
2021-12-23,1021107.3037035428
2021-12-24,1019239.6490279161
2021-12-27,1015779.7990279162
2021-12-28,1021347.6477279161
2021-12-29,1019549.8477279161
2021-12-30,1019998.9477279162
2021-12-31,1027882.9546279161
2022-01-03,1022116.2046279161
