,equity
2026-07-23,1000000.0
2026-07-24,1000000.0
2026-07-27,998676.1082
2026-07-28,1001525.1082
2026-07-29,1004928.5082
2026-07-30,1005313.5082
2026-07-31,1008867.5282000001
2026-08-03,1030045.2196000001
2026-08-04,1032619.2196000001
2026-08-05,1032372.2196000001
2026-08-06,1033529.2196000001
2026-08-07,1029915.2196000001
2026-08-10,1031891.2196000001
2026-08-11,1030318.2196000001
2026-08-12,1032879.2196000001
2026-08-13,1032879.2196000001
2026-08-14,1031293.2196000001
2026-08-17,1033334.2196000001
2026-08-18,1029863.2196000001
