,equity
2026-07-23,1000000.0
2026-07-24,1000000.0
2026-07-27,998994.869321073
2026-07-28,993129.138321073
2026-07-29,991497.638321073
2026-07-30,990648.438321073
2026-07-31,997261.3704210729
2026-08-03,1011856.523021073
2026-08-04,1017437.9741210729
2026-08-05,1014357.9741210729
2026-08-06,1015776.9741210729
2026-08-07,1014797.9741210729
2026-08-10,1013917.9741210729
2026-08-11,1010705.9741210729
2026-08-12,1010705.9741210729
2026-08-13,1009501.8811210729
2026-08-14,1006730.8811210729
2026-08-17,1006730.8811210729
2026-08-18,1006730.8811210729
