,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1002663.131
2021-08-31,1008494.2309999999
2021-09-01,1007434.581
2021-09-02,1013071.581
2021-09-03,1012802.631
2021-09-06,1013348.231
2021-09-07,1006086.431
2021-09-08,1010746.1928315246
2021-09-09,1021554.8646315245
2021-09-13,1023901.7646315244
2021-09-14,1024788.6383631176
2021-09-15,1039920.9883631177
2021-09-16,1041007.3094297794
2021-09-17,1030211.8094297794
2021-09-20,1019241.3004297793
2021-09-21,1021512.2605272846
2021-09-22,1016687.4105272847
2021-09-23,1033440.6105272847
2021-09-24,1024788.3283772996
2021-09-27,1009080.4283772996
2021-09-28,1011514.8783772995
2021-09-29,1018788.2283772996
2021-09-30,1020949.2783772995
2021-10-01,1018309.0283772995
2021-10-04,1028039.5911253478
2021-10-05,1028076.4911253478
2021-10-06,1016707.2593753478
2021-10-07,1018407.9943753477
2021-10-08,1026392.6943753478
2021-10-11,1026256.4968753478
2021-10-12,1045623.2982753477
2021-10-13,1050315.8407753478
2021-10-14,1055375.019574878
2021-10-18,1076963.6831762868
2021-10-19,1081460.4751762867
2021-10-20,1074302.0751762865
2021-10-21,1069750.3380762865
2021-10-22,1059225.0493841774
2021-10-25,1043543.2254841776
2021-10-26,1053197.1777140517
2021-10-27,1043277.6877140519
2021-10-28,1021402.1377140519
2021-10-29,1026176.3177140519
2021-11-01,1023467.8817140519
2021-11-02,1035450.4817140519
2021-11-03,1025686.2730140518
2021-11-04,1035116.473014052
2021-11-08,1061505.2730140518
2021-11-09,1066188.573014052
2021-11-10,1063247.373014052
2021-11-11,1057565.473014052
2021-11-12,1064757.873014052
2021-11-15,1050519.229114052
2021-11-16,1047502.5811140521
2021-11-17,1041565.6311140521
2021-11-18,1025189.6851310261
2021-11-22,1003885.2869705962
2021-11-23,1012295.1969705961
2021-11-24,1013467.9060018864
2021-11-25,1014165.6379482433
2021-11-26,978901.9879482433
2021-11-29,957853.9879482434
2021-11-30,950021.9364482434
2021-12-01,948538.2264482435
2021-12-02,982442.2175482434
2021-12-03,977627.5675482433
2021-12-06,964883.8175482433
2021-12-07,964529.7420982434
2021-12-08,968624.6839634164
2021-12-09,974292.4839634164
2021-12-10,974232.6339634163
2021-12-13,987960.6661634163
2021-12-14,989898.5661634164
2021-12-15,972411.5692634163
2021-12-16,982411.8692634163
2021-12-17,971891.5423134163
2021-12-20,959054.2923134163
2021-12-21,962859.9431564863
2021-12-22,969506.0446480375
2021-12-23,969911.5185707938
2021-12-24,960178.9752140837
2021-12-27,965739.9752140838
2021-12-28,969835.6030140838
2021-12-29,977235.09853943
2021-12-30,975578.29853943
2021-12-31,981628.74853943
2022-01-03,975987.1985394299
2022-01-04,972584.64853943
2022-01-05,970366.99853943
2022-01-06,967859.89853943
2022-01-07,966743.59853943
2022-01-10,966078.49733943
2022-01-11,954379.69733943
2022-01-12,958148.1057378487
2022-01-13,957588.6557378486
2022-01-14,963256.4243378486
2022-01-17,963720.0685378485
2022-01-18,962303.6185378486
2022-01-19,963532.9185378485
2022-01-20,968210.7661778486
2022-01-21,953648.5061778486
2022-01-24,935075.6861778486
2022-01-25,937710.8861778486
2022-01-27,925699.8992278485
2022-01-28,926501.5675278485
2022-01-31,940097.4675278486
2022-02-01,939889.9675278486
2022-02-02,937544.6675278485
2022-02-03,928056.9675278486
2022-02-04,919851.1175278485
2022-02-07,919976.1675278485
2022-02-08,910423.2175278484
2022-02-09,911093.1675278485
2022-02-10,917972.4407778485
2022-02-11,913871.3907778487
2022-02-14,891364.8346778486
2022-02-15,887555.0846778486
2022-02-16,880674.8346659874
2022-02-17,879581.5346659875
2022-02-18,873421.1346659875
2022-02-21,865047.6346659875
2022-02-22,857055.3346659874
2022-02-23,850705.8466659874
2022-02-24,834244.3466659875
2022-02-25,836424.1466659874
2022-02-28,837150.7466659874
2022-03-02,852046.0466659875
2022-03-03,857860.8707659874
2022-03-04,857860.8707659874
2022-03-07,857860.8707659874
2022-03-08,857860.8707659874
2022-03-09,857860.8707659874
2022-03-10,857860.8707659874
2022-03-11,857860.8707659874
2022-03-14,857860.8707659874
2022-03-15,857860.8707659874
2022-03-16,857860.8707659874
2022-03-17,856943.205411875
2022-03-21,860822.455411875
2022-03-22,861854.955411875
2022-03-23,866279.955411875
2022-03-24,867661.2014742122
2022-03-25,866645.2708430252
2022-03-28,872404.3708430252
2022-03-29,875282.0627365864
2022-03-30,875282.0627365864
2022-03-31,875282.0627365864
2022-04-01,875282.0627365864
2022-04-04,876770.4341365865
2022-04-05,879779.8497865864
2022-04-06,881070.8997865864
2022-04-07,882387.5997865864
2022-04-08,878095.4997865864
2022-04-11,880472.3997865864
2022-04-12,880771.6497865864
2022-04-13,877765.2170865864
2022-04-18,880881.6278865865
2022-04-19,874816.7278865866
2022-04-20,874816.7278865866
2022-04-21,874741.0278865865
2022-04-22,866956.9008865866
2022-04-25,861263.5008865866
2022-04-26,869221.279478448
2022-04-27,868298.4913784479
2022-04-28,870778.8913784478
2022-04-29,871251.4413784478
2022-05-02,870286.1418796568
2022-05-04,858764.7560796568
2022-05-05,852438.4060796569
2022-05-06,851590.9060796569
2022-05-09,850884.5560796568
2022-05-10,843970.2560796568
2022-05-11,840630.3060796567
2022-05-12,838137.8060796567
2022-05-13,840958.2052796568
2022-05-16,842206.3552796567
2022-05-17,845675.3052796568
2022-05-18,836547.5052796567
2022-05-19,826362.0552796568
2022-05-20,832908.4552796568
2022-05-23,829167.6552796568
2022-05-24,833843.6552796568
2022-05-25,826712.7552796567
2022-05-26,827823.3052796568
2022-05-27,829739.5804796568
2022-05-30,828797.2789796568
2022-05-31,829622.2289796567
2022-06-01,842252.3289796568
2022-06-02,851839.1313796567
2022-06-03,847602.7313796567
2022-06-06,847905.8313796567
2022-06-07,851090.8313796567
2022-06-08,845931.1313796567
2022-06-09,849274.3313796567
2022-06-10,849546.6313796567
2022-06-13,840351.6633796566
2022-06-14,844000.9633796567
2022-06-15,849839.3633796567
2022-06-16,845642.3633796567
2022-06-17,842685.6633796566
2022-06-20,827271.0633796568
2022-06-21,824427.5633796568
2022-06-22,826443.8633796568
2022-06-23,827477.8633796568
2022-06-24,830993.4633796568
2022-06-27,832234.2633796567
2022-06-28,832958.0633796568
2022-06-29,833992.0633796568
2022-06-30,835129.4633796568
2022-07-01,835853.2633796567
2022-07-04,834198.8633796568
2022-07-05,835486.3239714872
2022-07-06,846798.3739714872
2022-07-07,853337.8279714873
2022-07-08,854254.1461959959
2022-07-11,854254.1461959959
2022-07-12,854254.1461959959
2022-07-13,854254.1461959959
2022-07-14,854254.1461959959
2022-07-15,854254.1461959959
2022-07-18,854254.1461959959
2022-07-19,854254.1461959959
2022-07-20,854254.1461959959
2022-07-21,854254.1461959959
2022-07-22,854254.1461959959
2022-07-25,854254.1461959959
2022-07-26,854254.1461959959
2022-07-27,854254.1461959959
2022-07-28,854254.1461959959
2022-07-29,854254.1461959959
2022-08-01,857797.266195996
2022-08-02,858103.1661959959
2022-08-03,857117.1292459958
2022-08-04,868529.6292459958
2022-08-05,872768.5000959958
2022-08-08,875786.9000959959
2022-08-10,877648.5500959959
2022-08-11,878308.6500959959
2022-08-12,881870.7886335121
2022-08-16,892423.338633512
2022-08-17,897567.138633512
2022-08-18,905309.0386335121
2022-08-19,906647.4385172063
2022-08-22,893844.2885172062
2022-08-23,897995.2885172062
2022-08-24,898333.0924172064
2022-08-25,900312.7924172063
2022-08-26,898059.0424172063
2022-08-29,903518.4424172064
2022-08-30,929175.1142672063
2022-09-01,922213.6142672063
2022-09-02,919247.6642672063
2022-09-05,917057.8642672063
2022-09-06,926249.0142672062
2022-09-07,927130.5770672061
2022-09-08,934316.3732672062
2022-09-09,935625.1232672062
2022-09-12,943438.5792672061
2022-09-13,944426.4792672063
2022-09-14,941460.7792672062
2022-09-15,953681.1183172062
2022-09-16,956496.7160172062
2022-09-19,956183.2660172061
2022-09-20,964362.0515172061
2022-09-21,954811.2515172061
2022-09-22,968409.351517206
2022-09-23,951520.951517206
2022-09-26,931008.4015172061
2022-09-27,929195.2015172062
2022-09-28,929923.6098172062
2022-09-29,920898.2748172062
2022-09-30,930186.4248172061
2022-10-03,913664.3748172062
2022-10-04,915486.9748172062
2022-10-06,913684.3748172062
2022-10-07,913055.7748172062
2022-10-10,911482.6748172061
2022-10-11,907484.5748172062
2022-10-12,905424.0748172062
2022-10-13,907667.9748172062
2022-10-14,904830.9155672062
2022-10-17,905518.0155672063
2022-10-18,919915.2429672063
2022-10-19,921438.7429672063
2022-10-20,910533.9521319272
2022-10-21,898248.1633319273
2022-10-24,901206.6633319273
2022-10-25,910385.4633319273
2022-10-27,908378.6633319273
2022-10-28,911950.7961819272
2022-10-31,918425.8961819272
2022-11-01,932522.0625819272
2022-11-02,929550.9625819272
2022-11-03,925778.5125819272
2022-11-04,926684.8125819272
2022-11-07,927652.7999262903
2022-11-09,915454.0999262902
2022-11-10,900883.5499262903
2022-11-11,899251.7210649805
2022-11-14,900196.9210649806
2022-11-15,899753.1710649804
2022-11-16,896094.2760649805
2022-11-17,898287.2364397486
2022-11-18,894673.1864397485
2022-11-21,891616.0184397486
2022-11-22,890166.0544397486
2022-11-23,887520.0544397485
2022-11-24,893773.7044397487
2022-11-25,897965.3795154446
2022-11-28,901296.0795154446
2022-11-29,896539.0795154447
2022-11-30,919325.5715154444
2022-12-01,929419.9529154445
2022-12-02,933862.8529154444
2022-12-05,928626.5529154444
2022-12-06,928787.8529154444
2022-12-07,931245.9529154444
2022-12-08,929345.5529154444
2022-12-09,927892.0364154445
2022-12-12,930231.9464154444
2022-12-13,934694.1664154443
2022-12-14,936380.3454154443
2022-12-15,935511.7490356559
2022-12-16,923783.2490356559
2022-12-19,927831.3190356559
2022-12-20,923849.4970856559
2022-12-21,894568.6412999599
2022-12-22,891150.5412999598
2022-12-23,880895.2412999598
2022-12-26,879340.1576999598
2022-12-27,878087.7972999598
2022-12-28,875754.1472999598
2022-12-29,877269.8972999598
2022-12-30,878624.0472999598
2023-01-02,886190.6590999597
2023-01-03,890171.8106999598
2023-01-04,884616.3606999597
2023-01-05,887969.8106999598
2023-01-06,885868.3106999598
2023-01-09,887172.1106999597
2023-01-10,881254.0106999597
2023-01-11,877958.6606999596
2023-01-12,876273.3052499597
2023-01-13,882725.8400499597
2023-01-16,885634.6400499596
2023-01-17,873405.8600499596
2023-01-18,868582.4414134531
2023-01-19,863863.591413453
2023-01-20,857815.2800661691
2023-01-23,858093.6800661692
2023-01-24,855671.7500661691
2023-01-25,851907.4500661691
2023-01-27,845612.9500661691
2023-01-30,842595.8000661692
2023-01-31,842608.0000661692
2023-02-01,844592.7240061692
2023-02-02,842626.3240061693
2023-02-03,841305.5240061693
2023-02-06,838553.9596061693
2023-02-07,835442.5596061692
2023-02-08,834154.6596061692
2023-02-09,831787.2596061693
2023-02-10,832433.8596061693
2023-02-13,831366.3160492512
2023-02-14,829236.7660492512
2023-02-15,832770.9160492511
2023-02-16,834581.3930492512
2023-02-17,837064.6430492512
2023-02-20,837686.4930492511
2023-02-21,843289.6930492511
2023-02-22,838471.7430492511
2023-02-23,834414.6430492512
2023-02-24,834500.9930492511
