,equity
2021-08-23,1000000.0
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000494.2862
2021-08-31,1004571.7862
2021-09-01,1004932.9362
2021-09-02,1010198.7361999999
2021-09-03,1010070.5862
2021-09-06,1011934.5862
2021-09-07,1008346.3862
2021-09-08,1007169.7361999999
2021-09-09,1008834.4583
2021-09-13,1009423.7652
2021-09-14,1009728.8152000001
2021-09-15,1022337.1152000001
2021-09-16,1022443.8353666618
2021-09-17,1023912.2853666617
2021-09-20,1019435.2263666618
2021-09-21,1028378.321750768
2021-09-22,1025350.3717507679
2021-09-23,1038310.171750768
2021-09-24,1038024.9935007829
2021-09-27,1039087.0573484644
2021-09-28,1042461.0073484645
2021-09-29,1054743.9573484645
2021-09-30,1056573.1573484645
2021-10-01,1051831.0573484646
2021-10-04,1054861.594830831
2021-10-05,1053569.1948308311
2021-10-06,1035539.4963808311
2021-10-07,1037150.3463808311
2021-10-08,1057616.1603808312
2021-10-11,1068159.2183808312
2021-10-12,1087802.609780831
2021-10-13,1089742.0097808312
2021-10-14,1097785.109780831
2021-10-18,1100672.109780831
2021-10-19,1092956.1641808308
2021-10-20,1088342.764180831
2021-10-21,1087834.764180831
2021-10-22,1087072.764180831
2021-10-25,1076675.417280831
2021-10-26,1073456.717280831
2021-10-27,1078234.746030831
2021-10-28,1069982.046030831
2021-10-29,1074476.3460308309
2021-11-01,1074830.987130831
2021-11-02,1084738.7051448594
2021-11-03,1080196.3967948596
2021-11-04,1088543.1967948596
2021-11-08,1111783.9822443465
2021-11-09,1118159.0374360653
2021-11-10,1119319.4374360652
2021-11-11,1106305.7874360653
2021-11-12,1122926.0874360653
2021-11-15,1105097.0374360653
2021-11-16,1104585.0374360653
2021-11-17,1100920.087436065
2021-11-18,1083519.4374360652
2021-11-22,1068061.2374360652
2021-11-23,1070259.2374360652
2021-11-24,1064336.3374360653
2021-11-25,1065121.1374360654
2021-11-26,1054283.7374360652
2021-11-29,1050649.2374360652
2021-11-30,1049920.4314360654
2021-12-01,1061817.5314360652
2021-12-02,1092883.0194360653
2021-12-03,1080779.8194360654
2021-12-06,1064787.4194360652
2021-12-07,1069396.7194360653
2021-12-08,1079640.6194360652
2021-12-09,1079902.1194360652
2021-12-10,1077752.7194360653
2021-12-13,1085230.7194360653
2021-12-14,1093118.8194360654
2021-12-15,1090568.6194360652
2021-12-16,1089806.8194360654
2021-12-17,1086626.6194360652
2021-12-20,1078654.7194360653
2021-12-21,1081121.9596652149
2021-12-22,1094008.959665215
2021-12-23,1092223.159665215
2021-12-24,1097809.0533167536
2021-12-27,1102332.3253167537
2021-12-28,1101614.4694167539
2021-12-29,1101966.819416754
2021-12-30,1100070.2194167539
2021-12-31,1106962.1694167538
2022-01-03,1100626.8194167537
2022-01-04,1096747.4694167539
2022-01-05,1094526.9194167538
2022-01-06,1091670.4694167539
2022-01-07,1090398.6194167538
2022-01-10,1089650.9638167538
2022-01-11,1076441.313816754
2022-01-12,1078811.2638167539
2022-01-13,1080847.6138167537
2022-01-14,1081195.1138167537
2022-01-17,1080972.7138167538
2022-01-18,1080680.813816754
2022-01-19,1081674.6638167538
2022-01-20,1081931.813816754
2022-01-21,1079172.6638167538
2022-01-24,1075885.313816754
