,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000494.2862
2021-08-31,1004571.7862
2021-09-01,1004932.9362
2021-09-02,1010198.7361999999
2021-09-03,1010070.5862
2021-09-06,1011934.5862
2021-09-07,1008346.3862
2021-09-08,1007169.7361999999
2021-09-09,1009359.9362
2021-09-13,1010555.7910000001
2021-09-14,1010231.1410000001
2021-09-15,1012437.1910000001
2021-09-16,1011087.683741265
2021-09-17,1012528.683741265
2021-09-20,1008051.257741265
2021-09-21,1015715.157741265
2021-09-22,1015396.228941265
2021-09-23,1034452.728941265
2021-09-24,1031157.4112174701
2021-09-27,1035192.94761747
2021-09-28,1038533.89761747
2021-09-29,1050809.29761747
2021-09-30,1052607.49761747
2021-10-01,1047904.79761747
2021-10-04,1050866.74761747
2021-10-05,1045333.49761747
2021-10-06,1035753.9611174699
2021-10-07,1038033.9111174699
2021-10-08,1039017.11111747
2021-10-11,1043982.61111747
2021-10-12,1057007.6025174698
2021-10-13,1058912.6025174698
2021-10-14,1057134.6025174698
2021-10-18,1057261.6025174698
2021-10-19,1054086.6025174698
2021-10-20,1054594.6025174698
2021-10-21,1054086.6025174698
2021-10-22,1053324.6025174698
2021-10-25,1040214.1761174698
2021-10-26,1035629.8761174697
2021-10-27,1039015.9041174698
2021-10-28,1034607.9041174698
2021-10-29,1036355.9041174698
2021-11-01,1025290.3041174698
2021-11-02,1025290.3041174698
2021-11-03,1025290.3041174698
2021-11-04,1025290.3041174698
2021-11-08,1025290.3041174698
2021-11-09,1023524.329517901
2021-11-10,1022333.629517901
2021-11-11,1021086.229517901
2021-11-12,1019876.629517901
2021-11-15,1018742.629517901
2021-11-16,1018100.029517901
2021-11-17,1017665.329517901
2021-11-18,1016720.329517901
2021-11-22,1015057.129517901
2021-11-23,1015057.129517901
2021-11-24,1015057.129517901
2021-11-25,1015057.129517901
2021-11-26,1015057.129517901
2021-11-29,1015057.129517901
2021-11-30,1013773.5845179011
2021-12-01,1019673.5845179011
2021-12-02,1035324.2195179011
2021-12-03,1035324.2195179011
2021-12-06,1035324.2195179011
2021-12-07,1035324.2195179011
2021-12-08,1035324.2195179011
2021-12-09,1035324.2195179011
2021-12-10,1035324.2195179011
2021-12-13,1035324.2195179011
2021-12-14,1035324.2195179011
2021-12-15,1035324.2195179011
2021-12-16,1035324.2195179011
2021-12-17,1035324.2195179011
2021-12-20,1035324.2195179011
2021-12-21,1034771.5239926189
2021-12-22,1038352.4158954024
2021-12-23,1033542.8658954024
2021-12-24,1033026.4658954025
2021-12-27,1041711.3658954024
2021-12-28,1041573.8727954025
2021-12-29,1051687.4970870519
2021-12-30,1052118.097087052
2021-12-31,1058033.847087052
2022-01-03,1051518.6970870518
2022-01-04,1048682.547087052
2022-01-05,1048099.597087052
2022-01-06,1045407.5470870519
2022-01-07,1044208.8970870519
2022-01-10,1043489.111887052
2022-01-11,1030861.0618870519
2022-01-12,1033094.611887052
2022-01-13,1035013.7618870519
2022-01-14,1035341.2618870519
2022-01-17,1035131.6618870519
2022-01-18,1034856.5618870519
2022-01-19,1035793.2118870518
2022-01-20,1036035.5618870519
2022-01-21,1033435.2118870518
2022-01-24,1030337.0618870519
2022-01-25,1033166.6618870519
2022-01-27,1018691.1618870519
2022-01-28,1016672.901687052
2022-01-31,1022956.401687052
2022-02-01,1027354.8516870519
2022-02-02,1022956.401687052
2022-02-03,1021699.7016870519
2022-02-04,1018463.852687052
2022-02-07,1012390.102687052
2022-02-08,1001885.102687052
2022-02-09,1000693.0026870519
2022-02-10,1008082.202687052
2022-02-11,1006230.352687052
2022-02-14,998399.8026870519
2022-02-15,998399.8026870519
2022-02-16,987795.6407370521
2022-02-17,984409.833737052
2022-02-18,973552.7337370521
2022-02-21,958527.8837370521
2022-02-22,953099.8837370521
2022-02-23,948827.423237052
2022-02-24,943583.7232370521
2022-02-25,943583.7232370521
2022-02-28,943583.7232370521
2022-03-02,943583.7232370521
2022-03-03,943583.7232370521
2022-03-04,943583.7232370521
2022-03-07,943583.7232370521
2022-03-08,943583.7232370521
2022-03-09,943583.7232370521
2022-03-10,943583.7232370521
2022-03-11,943583.7232370521
2022-03-14,943583.7232370521
2022-03-15,943583.7232370521
2022-03-16,943583.7232370521
2022-03-17,943583.7232370521
2022-03-21,943583.7232370521
2022-03-22,943583.7232370521
2022-03-23,943583.7232370521
2022-03-24,943583.7232370521
2022-03-25,943583.7232370521
2022-03-28,943583.7232370521
2022-03-29,943583.7232370521
2022-03-30,943583.7232370521
2022-03-31,943583.7232370521
2022-04-01,943583.7232370521
2022-04-04,943583.7232370521
2022-04-05,943583.7232370521
2022-04-06,943583.7232370521
2022-04-07,943583.7232370521
2022-04-08,943583.7232370521
2022-04-11,943583.7232370521
2022-04-12,943583.7232370521
2022-04-13,942309.3215370522
2022-04-18,943564.5077370522
2022-04-19,941538.2577370522
2022-04-20,941538.2577370522
2022-04-21,941457.2077370521
2022-04-22,938296.2577370522
2022-04-25,936351.0577370522
2022-04-26,936133.6802370523
2022-04-27,941062.2302370523
2022-04-28,940583.2802370522
2022-04-29,938209.0302370522
2022-05-02,937138.8302370522
2022-05-04,932860.6302370522
2022-05-05,935769.2302370523
2022-05-06,931130.2302370522
2022-05-09,924948.9302370521
2022-05-10,918646.5302370522
2022-05-11,918646.5302370522
2022-05-12,918646.5302370522
2022-05-13,918646.5302370522
2022-05-16,918646.5302370522
2022-05-17,918646.5302370522
2022-05-18,918646.5302370522
2022-05-19,918646.5302370522
2022-05-20,918646.5302370522
2022-05-23,918646.5302370522
2022-05-24,918646.5302370522
2022-05-25,918646.5302370522
2022-05-26,918646.5302370522
2022-05-27,918646.5302370522
2022-05-30,918646.5302370522
2022-05-31,918646.5302370522
2022-06-01,918646.5302370522
2022-06-02,918646.5302370522
2022-06-03,918646.5302370522
2022-06-06,918646.5302370522
2022-06-07,918646.5302370522
2022-06-08,918646.5302370522
2022-06-09,918646.5302370522
2022-06-10,918646.5302370522
2022-06-13,918646.5302370522
2022-06-14,918646.5302370522
2022-06-15,918646.5302370522
2022-06-16,918646.5302370522
2022-06-17,918646.5302370522
2022-06-20,918646.5302370522
2022-06-21,918646.5302370522
2022-06-22,918646.5302370522
2022-06-23,918646.5302370522
2022-06-24,918646.5302370522
2022-06-27,918646.5302370522
2022-06-28,918646.5302370522
2022-06-29,918646.5302370522
2022-06-30,918646.5302370522
2022-07-01,918646.5302370522
2022-07-04,918646.5302370522
2022-07-05,918646.5302370522
2022-07-06,918646.5302370522
2022-07-07,918646.5302370522
2022-07-08,918646.5302370522
2022-07-11,918646.5302370522
2022-07-12,918646.5302370522
2022-07-13,918646.5302370522
2022-07-14,918646.5302370522
2022-07-15,918646.5302370522
2022-07-18,918646.5302370522
2022-07-19,918646.5302370522
2022-07-20,918646.5302370522
2022-07-21,918646.5302370522
2022-07-22,918646.5302370522
2022-07-25,918646.5302370522
2022-07-26,918646.5302370522
2022-07-27,918646.5302370522
2022-07-28,918646.5302370522
2022-07-29,918646.5302370522
2022-08-01,922456.0502370524
2022-08-02,922784.9502370523
2022-08-03,921730.5599870523
2022-08-04,934087.4599870525
2022-08-05,938729.4587370524
2022-08-08,941984.8087370524
2022-08-10,944000.3587370524
2022-08-11,944718.1587370525
2022-08-12,947837.983411167
2022-08-16,960946.083411167
2022-08-17,965702.933411167
2022-08-18,972537.5334111671
2022-08-19,978289.709388823
2022-08-22,966989.8593888232
2022-08-23,971490.3593888232
2022-08-24,971267.1553888232
2022-08-25,977777.8053888232
2022-08-26,978883.0053888231
2022-08-29,979197.8053888232
2022-08-30,997157.9953888231
2022-09-01,1001913.578088823
2022-09-02,998790.9280888231
2022-09-05,1003486.828088823
2022-09-06,1011108.6780888231
2022-09-07,995849.4780888231
2022-09-08,1010225.9766888232
2022-09-09,1012971.7766888231
2022-09-12,1021307.6126888231
2022-09-13,1023417.8626888231
2022-09-14,1022579.8626888231
2022-09-15,1033653.4456388231
2022-09-16,1032401.595638823
2022-09-19,1030902.2956388231
2022-09-20,1029501.352638823
2022-09-21,1021206.8026388229
2022-09-22,1034383.402638823
2022-09-23,1019029.3026388229
2022-09-26,1001852.652638823
2022-09-27,998287.302638823
2022-09-28,998288.652638823
2022-09-29,993815.3526388231
2022-09-30,996214.3526388231
2022-10-03,996666.302638823
2022-10-04,997367.152638823
2022-10-06,994734.052638823
2022-10-07,995323.552638823
2022-10-10,995225.302638823
2022-10-11,993646.7526388231
2022-10-12,993024.5026388231
2022-10-13,992153.3526388231
2022-10-14,991766.902638823
2022-10-17,991773.4526388231
2022-10-18,994020.1026388231
2022-10-19,994052.8526388231
2022-10-20,995297.3526388231
2022-10-21,995893.402638823
2022-10-24,996502.552638823
2022-10-25,996528.7526388231
2022-10-27,998467.552638823
2022-10-28,998434.802638823
2022-10-31,1000419.4526388231
2022-11-01,1000884.5026388231
2022-11-02,997517.802638823
2022-11-03,998670.6026388231
2022-11-04,998375.8526388231
2022-11-07,999201.152638823
2022-11-09,998723.0026388231
2022-11-10,999600.7026388231
2022-11-11,998974.4010273784
2022-11-14,999999.3010273783
2022-11-15,1001314.8010273783
2022-11-16,997985.4510273783
2022-11-17,1004213.9510273783
2022-11-18,1001471.0010273784
2022-11-21,1002837.1510273784
2022-11-22,1001589.8010273783
2022-11-23,998779.3425273784
2022-11-24,1001606.6425273784
2022-11-25,998076.6925273783
2022-11-28,1000117.6925273783
2022-11-29,1002022.2925273784
2022-11-30,1002662.3425273784
2022-12-01,1004882.5085273782
2022-12-02,1003468.0085273782
2022-12-05,1002989.1585273782
2022-12-06,998841.3585273782
2022-12-07,996436.0085273782
2022-12-08,997248.8085273782
2022-12-09,994473.6085273782
2022-12-12,993314.4585273783
2022-12-13,997757.6585273782
2022-12-14,996012.3085273782
2022-12-15,993968.8585273782
2022-12-16,993262.8585273782
2022-12-19,996131.7085273783
2022-12-20,995305.6585273782
2022-12-21,989157.3085273782
2022-12-22,989497.9085273782
2022-12-23,988456.4585273783
2022-12-26,989524.3420773783
2022-12-27,989064.5920773783
2022-12-28,987449.4920773783
2022-12-29,990540.4420773783
2022-12-30,993234.9420773783
2023-01-02,1000977.4414273782
2023-01-03,1001514.5414273782
2023-01-04,1000754.7414273783
2023-01-05,1000139.0414273782
2023-01-06,998684.9414273782
2023-01-09,1001750.3414273782
2023-01-10,998272.2914273782
2023-01-11,994695.9914273783
2023-01-12,993562.8414273782
2023-01-13,994532.2414273783
2023-01-16,993857.5914273782
2023-01-17,994715.6414273782
2023-01-18,996136.9914273783
2023-01-19,995540.9414273782
2023-01-20,994551.8914273782
2023-01-23,995632.6414273782
2023-01-24,996019.0914273782
2023-01-25,996130.4414273782
2023-01-27,995868.4414273782
2023-01-30,995305.1414273782
2023-01-31,995318.2414273783
2023-02-01,995161.0414273782
2023-02-02,996294.1914273782
2023-02-03,998278.8414273782
2023-02-06,997800.6914273782
2023-02-07,997361.8414273782
2023-02-08,995947.0414273782
2023-02-09,994840.0914273782
2023-02-10,995534.3914273782
2023-02-13,995095.5414273782
2023-02-14,995960.1414273782
2023-02-15,997296.3414273782
2023-02-16,997171.8914273782
2023-02-17,996169.7414273783
2023-02-20,996477.5914273782
