,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,999456.1611000001
2021-09-14,1000020.4611000001
2021-09-15,999978.6611000001
2021-09-16,1000198.1111000001
2021-09-17,1000208.5611
2021-09-20,997909.2681000001
2021-09-21,1002530.3681000001
2021-09-22,1002872.8005000001
2021-09-23,1011109.4005000002
2021-09-24,1005446.5027000003
2021-09-27,1007153.2555000002
2021-09-28,1013853.6055000002
2021-09-29,1022734.6555000001
2021-09-30,1026081.1423000001
2021-10-01,1026634.9923000002
2021-10-04,1020608.9339886551
2021-10-05,1019289.883988655
2021-10-06,1005390.7839886551
2021-10-07,1006917.0839886551
2021-10-08,1006141.6839886551
2021-10-11,1012735.883988655
2021-10-12,1018295.9339886551
2021-10-13,1015490.883988655
2021-10-14,1025239.7339886551
2021-10-18,1028408.0339886551
2021-10-19,1024922.905188655
2021-10-20,1015290.805188655
2021-10-21,1015290.805188655
2021-10-22,1015290.805188655
2021-10-25,1015290.805188655
2021-10-26,1015290.805188655
2021-10-27,1016686.5454386552
2021-10-28,1010325.7954386552
2021-10-29,1009344.3454386552
2021-11-01,1003812.3454386551
2021-11-02,1004700.4454386551
2021-11-03,1000178.5545886552
2021-11-04,1008916.4562386553
2021-11-08,1011682.6062386553
2021-11-09,1011621.4062386553
2021-11-10,1014973.5562386554
2021-11-11,1012853.8562386554
2021-11-12,1023070.8329886553
2021-11-15,1035595.5841386553
2021-11-16,1038879.0341386553
2021-11-17,1030556.0841386551
2021-11-18,1020521.284138655
2021-11-22,1003884.2841386553
2021-11-23,1000280.6841386552
2021-11-24,997299.1841386552
2021-11-25,994693.2341386552
2021-11-26,981841.1341386552
2021-11-29,976565.2841386552
2021-11-30,975329.6001386552
2021-12-01,981009.6001386552
2021-12-02,996076.6521386551
2021-12-03,996076.6521386551
2021-12-06,996076.6521386551
2021-12-07,996076.6521386551
2021-12-08,994803.389988655
2021-12-09,994434.439988655
2021-12-10,994434.439988655
2021-12-13,991718.3399886551
2021-12-14,991310.139988655
2021-12-15,983931.7179886551
2021-12-16,981276.3179886551
2021-12-17,981276.3179886551
2021-12-20,981276.3179886551
2021-12-21,980754.3277703329
2021-12-22,980320.8277703329
2021-12-23,978229.8277703329
2021-12-24,976814.5777703329
2021-12-27,975344.0777703329
2021-12-28,974725.4993703329
2021-12-29,975034.5493703329
2021-12-30,973361.7493703329
2021-12-31,979463.149370333
2022-01-03,973759.3493703329
2022-01-04,970327.899370333
2022-01-05,968365.4493703329
2022-01-06,965837.7993703329
2022-01-07,964130.4173703329
2022-01-10,966225.816170333
2022-01-11,952918.7661703329
2022-01-12,954493.3161703328
2022-01-13,956383.6661703328
2022-01-14,952928.9661703329
2022-01-17,946243.7225203328
2022-01-18,938148.5225203328
2022-01-19,939027.9725203329
2022-01-20,939255.5225203328
2022-01-21,936813.9725203329
2022-01-24,929506.2545203329
2022-01-25,944150.816020333
2022-01-27,934928.3160203329
2022-01-28,934329.146620333
2022-01-31,943771.9466203328
2022-02-01,945725.6966203328
2022-02-02,940712.2466203328
2022-02-03,935009.1466203328
2022-02-04,928335.8466203329
2022-02-07,923607.2966203329
2022-02-08,920710.1966203329
2022-02-09,928479.896620333
2022-02-10,931993.8871203328
2022-02-11,932818.1871203327
2022-02-14,922094.0871203328
2022-02-15,921518.0871203328
2022-02-16,912512.4364266729
2022-02-17,908904.9164266728
2022-02-18,900583.3764266728
2022-02-21,891067.8264266727
2022-02-22,889025.1264266728
2022-02-23,882454.4439266728
2022-02-24,869256.2439266728
2022-02-25,869256.2439266728
2022-02-28,869256.2439266728
2022-03-02,869256.2439266728
2022-03-03,869256.2439266728
2022-03-04,869256.2439266728
2022-03-07,869256.2439266728
2022-03-08,869256.2439266728
2022-03-09,869256.2439266728
2022-03-10,869256.2439266728
2022-03-11,869256.2439266728
2022-03-14,869256.2439266728
2022-03-15,869256.2439266728
2022-03-16,869256.2439266728
2022-03-17,867288.6060566729
2022-03-21,855722.412056673
2022-03-22,855832.812056673
2022-03-23,855832.812056673
2022-03-24,855832.812056673
2022-03-25,855832.812056673
2022-03-28,855832.812056673
2022-03-29,855832.812056673
2022-03-30,855832.812056673
2022-03-31,855832.812056673
2022-04-01,855832.812056673
2022-04-04,855832.812056673
2022-04-05,855832.812056673
2022-04-06,855832.812056673
2022-04-07,855832.812056673
2022-04-08,855832.812056673
2022-04-11,855832.812056673
2022-04-12,855832.812056673
2022-04-13,857384.601056673
2022-04-18,866714.706856673
2022-04-19,869592.329456673
2022-04-20,868739.1294566729
2022-04-21,870292.079456673
2022-04-22,868526.1294566729
2022-04-25,862299.529456673
2022-04-26,867559.229156673
2022-04-27,873151.479156673
2022-04-28,871087.129156673
2022-04-29,857376.279156673
2022-05-02,856428.579156673
2022-05-04,851908.4291566729
2022-05-05,854207.329156673
2022-05-06,844114.179156673
2022-05-09,841136.179156673
2022-05-10,841136.179156673
2022-05-11,841136.179156673
2022-05-12,841136.179156673
2022-05-13,843666.105556673
2022-05-16,845718.855556673
2022-05-17,846598.605556673
2022-05-18,845542.905556673
2022-05-19,838974.105556673
2022-05-20,845542.905556673
2022-05-23,841789.3055566731
2022-05-24,846481.3055566731
2022-05-25,839326.005556673
2022-05-26,840440.355556673
2022-05-27,843431.505556673
2022-05-30,843138.255556673
2022-05-31,838270.3055566731
2022-06-01,846481.3055566731
2022-06-02,853554.0263566729
2022-06-03,853554.0263566729
2022-06-06,853554.0263566729
2022-06-07,853554.0263566729
2022-06-08,853554.0263566729
2022-06-09,853554.0263566729
2022-06-10,853554.0263566729
2022-06-13,853554.0263566729
2022-06-14,853554.0263566729
2022-06-15,853554.0263566729
2022-06-16,853554.0263566729
2022-06-17,853554.0263566729
2022-06-20,853554.0263566729
2022-06-21,853554.0263566729
2022-06-22,853554.0263566729
2022-06-23,853554.0263566729
2022-06-24,853554.0263566729
2022-06-27,853554.0263566729
2022-06-28,853554.0263566729
2022-06-29,853554.0263566729
2022-06-30,852432.638356673
2022-07-01,852901.8383566729
2022-07-04,860919.638356673
2022-07-05,864214.8023566728
2022-07-06,864214.8023566728
2022-07-07,864214.8023566728
2022-07-08,864214.8023566728
2022-07-11,864214.8023566728
2022-07-12,864214.8023566728
2022-07-13,864214.8023566728
2022-07-14,864214.8023566728
2022-07-15,864214.8023566728
2022-07-18,864214.8023566728
2022-07-19,864214.8023566728
2022-07-20,864214.8023566728
2022-07-21,864214.8023566728
2022-07-22,864214.8023566728
2022-07-25,864214.8023566728
2022-07-26,864214.8023566728
2022-07-27,864214.8023566728
2022-07-28,864214.8023566728
2022-07-29,864549.2348066729
2022-08-01,867338.284806673
2022-08-02,871141.534806673
2022-08-03,874133.7967566729
2022-08-04,880188.4467566728
2022-08-05,888624.2769066729
2022-08-08,885544.8769066728
2022-08-10,881074.0269066729
2022-08-11,881355.3269066729
2022-08-12,886526.8173869029
2022-08-16,900818.1173869029
2022-08-17,896960.5173869028
2022-08-18,904876.967386903
2022-08-19,912599.5959462126
2022-08-22,905591.5459462127
2022-08-23,909499.0959462126
2022-08-24,908288.6419962127
2022-08-25,919620.6919962126
2022-08-26,919925.4919962126
2022-08-29,920284.8419962126
2022-08-30,939650.4396462125
2022-09-01,943256.6539462125
2022-09-02,939980.1539462126
2022-09-05,944020.9539462125
2022-09-06,950957.0539462126
2022-09-07,935106.7539462126
2022-09-08,946012.3329962124
2022-09-09,948212.3329962124
2022-09-12,961181.1609962124
2022-09-13,962452.4109962124
2022-09-14,960340.5109962125
2022-09-15,969277.7870962124
2022-09-16,960372.8870962124
2022-09-19,957016.1370962124
2022-09-20,958317.8799962124
2022-09-21,952002.4799962124
2022-09-22,965029.5299962125
2022-09-23,945436.0299962125
2022-09-26,921319.3799962124
2022-09-27,918024.3299962124
2022-09-28,919889.6036962124
2022-09-29,912740.1036962124
2022-09-30,914848.7036962124
2022-10-03,912450.7536962123
2022-10-04,910827.3036962124
2022-10-06,908355.0036962124
2022-10-07,909681.0816962124
2022-10-10,907856.9316962124
2022-10-11,898505.9316962125
2022-10-12,898618.0716962125
2022-10-13,899718.3216962125
2022-10-14,900773.2716962126
2022-10-17,902030.4216962126
2022-10-18,917261.5246962125
2022-10-19,906986.7746962125
2022-10-20,909021.6746962125
2022-10-21,914773.9246962125
2022-10-24,923014.9746962126
2022-10-25,926175.5156962124
2022-10-27,927871.1830462124
2022-10-28,931064.8630462124
2022-10-31,928681.8130462124
2022-11-01,929118.4630462124
2022-11-02,926236.3630462124
2022-11-03,923978.7630462125
2022-11-04,925224.0130462125
2022-11-07,930790.9130462124
2022-11-09,932029.9630462124
2022-11-10,934718.0630462124
2022-11-11,933791.5130462125
2022-11-14,933170.5130462125
2022-11-15,934604.5630462124
2022-11-16,933494.4130462124
2022-11-17,929094.6135462124
2022-11-18,926014.5635462125
2022-11-21,928799.7635462125
2022-11-22,930539.9635462125
2022-11-23,930059.4870462125
2022-11-24,931552.6870462125
2022-11-25,927888.0870462125
2022-11-28,939314.9870462125
2022-11-29,929353.7870462125
2022-11-30,956339.3870462124
2022-12-01,956627.9370462124
2022-12-02,959187.0370462125
2022-12-05,958335.3370462125
2022-12-06,952452.5370462125
2022-12-07,948094.2370462124
2022-12-08,948292.2370462124
2022-12-09,946128.0376462125
2022-12-12,950029.8876462125
2022-12-13,957560.9876462125
2022-12-14,959793.0376462125
2022-12-15,953129.3231962124
2022-12-16,944564.6731962124
2022-12-19,951815.3231962124
2022-12-20,949284.8731962125
2022-12-21,937344.1231962125
2022-12-22,930941.7363709995
2022-12-23,926474.4863709995
2022-12-26,930754.0317760936
2022-12-27,929304.6961760937
2022-12-28,927881.0961760937
2022-12-29,930866.9461760937
2022-12-30,932681.8961760937
2023-01-02,937285.4961760937
2023-01-03,940479.3961760937
2023-01-04,938681.1961760937
2023-01-05,940429.9961760937
2023-01-06,940551.5529760937
2023-01-09,944882.4529760937
2023-01-10,939862.6029760938
2023-01-11,929175.7029760937
2023-01-12,931147.7529760937
2023-01-13,936130.0529760937
2023-01-16,936169.7029760937
2023-01-17,936532.4529760937
2023-01-18,938127.8029760937
2023-01-19,938772.8529760938
2023-01-20,936709.1029760938
2023-01-23,936556.1529760937
2023-01-24,937283.5029760937
2023-01-25,931600.8529760938
2023-01-27,927497.3529760938
2023-01-30,927808.0529760937
2023-01-31,936978.9529760937
2023-02-01,934349.3529760938
2023-02-02,941700.0617760938
2023-02-03,947755.2617760937
2023-02-06,953600.7117760937
2023-02-07,950348.7117760937
2023-02-08,949455.8617760937
2023-02-09,943128.4617760937
2023-02-10,942853.9617760937
2023-02-13,935334.4617760937
2023-02-14,935918.7617760937
2023-02-15,943115.1117760937
2023-02-16,946669.5617760938
2023-02-17,947648.5617760937
2023-02-20,940175.0447760937
2023-02-21,942522.4947760938
2023-02-22,935100.8947760938
2023-02-23,933968.6947760937
2023-02-24,931545.4447760937
2023-02-27,925952.2447760938
2023-02-28,928484.3947760937
2023-03-01,928728.6447760938
2023-03-02,927724.5947760937
