,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,999456.1611000001
2021-09-14,1000020.4611000001
2021-09-15,999978.6611000001
2021-09-16,1000198.1111000001
2021-09-17,1000208.5611
2021-09-20,997909.2681000001
2021-09-21,1002530.3681000001
2021-09-22,1002872.8005000001
2021-09-23,1011109.4005000002
2021-09-24,1008009.1549000002
2021-09-27,1013876.1077000002
2021-09-28,1020576.4577000001
2021-09-29,1029457.5077000002
2021-09-30,1032803.9945
2021-10-01,1033357.8445000001
2021-10-04,1027332.9934383188
2021-10-05,1026037.3434383187
2021-10-06,1012053.5434383189
2021-10-07,1013586.0934383189
2021-10-08,1012807.6434383187
2021-10-11,1019449.0934383189
2021-10-12,1025058.3434383189
2021-10-13,1022233.8934383187
2021-10-14,1032053.5434383189
2021-10-18,1035247.3434383189
2021-10-19,1031752.7854383186
2021-10-20,1022057.9854383187
2021-10-21,1022057.9854383187
2021-10-22,1022057.9854383187
2021-10-25,1022057.9854383187
2021-10-26,1022057.9854383187
2021-10-27,1023452.9621883187
2021-10-28,1017038.4621883187
2021-10-29,1016036.1121883187
2021-11-01,1010494.9121883188
2021-11-02,1011393.7121883187
2021-11-03,1006828.5057383188
2021-11-04,1015962.9125883188
2021-11-08,1025842.2625883189
2021-11-09,1025796.7625883188
2021-11-10,1029178.9125883188
2021-11-11,1027032.8625883189
2021-11-12,1037339.8545883188
2021-11-15,1049971.3840383189
2021-11-16,1053288.0840383186
2021-11-17,1044885.9340383188
2021-11-18,1034750.3840383188
2021-11-22,1017952.5340383188
2021-11-23,1014306.2840383188
2021-11-24,1011289.2840383188
2021-11-25,1008658.6840383188
2021-11-26,995704.1340383188
2021-11-29,990370.8340383188
2021-11-30,989117.7460383188
2021-12-01,994877.7460383188
2021-12-02,1010157.0100383188
2021-12-03,1010157.0100383188
2021-12-06,1010157.0100383188
2021-12-07,1010157.0100383188
2021-12-08,1010157.0100383188
2021-12-09,1010157.0100383188
2021-12-10,1010157.0100383188
2021-12-13,1010157.0100383188
2021-12-14,1010157.0100383188
2021-12-15,1010157.0100383188
2021-12-16,1010157.0100383188
2021-12-17,1010157.0100383188
2021-12-20,1010157.0100383188
2021-12-21,1009616.5966358206
2021-12-22,1009167.7966358206
2021-12-23,1007002.9966358207
2021-12-24,1005537.7966358206
2021-12-27,1004015.3966358206
2021-12-28,1003379.2522858208
2021-12-29,1003706.2022858207
2021-12-30,1001988.0022858208
2021-12-31,1008286.0022858208
2022-01-03,1002382.3022858207
2022-01-04,998842.5022858208
2022-01-05,996822.2022858209
2022-01-06,994212.3522858209
2022-01-07,992457.1792858208
2022-01-10,994586.9072858209
2022-01-11,980901.9072858209
2022-01-12,982534.6072858209
2022-01-13,984485.2572858208
2022-01-14,980968.2072858209
2022-01-17,974112.494685821
2022-01-18,965804.444685821
2022-01-19,966712.4946858209
2022-01-20,966947.444685821
2022-01-21,964426.4946858209
2022-01-24,956824.2326858209
2022-01-25,972101.913685821
2022-01-27,962642.4136858209
2022-01-28,961935.5296858209
2022-01-31,971674.9796858209
2022-02-01,973672.3796858209
2022-02-02,968495.429685821
2022-02-03,962647.6296858209
2022-02-04,955760.1296858209
2022-02-07,950879.1296858209
2022-02-08,947927.1296858209
2022-02-09,956048.929685821
2022-02-10,959701.1116858207
2022-02-11,960550.3116858208
2022-02-14,949504.9116858208
2022-02-15,948910.9116858208
2022-02-16,939640.6584978258
2022-02-17,935930.5384978259
2022-02-18,927361.398497826
2022-02-21,917564.6984978259
2022-02-22,915463.7984978259
2022-02-23,908699.2429978258
2022-02-24,895107.6429978259
2022-02-25,895107.6429978259
2022-02-28,895107.6429978259
2022-03-02,895107.6429978259
2022-03-03,895107.6429978259
2022-03-04,895107.6429978259
2022-03-07,895107.6429978259
2022-03-08,895107.6429978259
2022-03-09,895107.6429978259
2022-03-10,895107.6429978259
2022-03-11,895107.6429978259
2022-03-14,895107.6429978259
2022-03-15,895107.6429978259
2022-03-16,895107.6429978259
2022-03-17,893081.8634178259
2022-03-21,881171.6114178259
2022-03-22,881285.311417826
2022-03-23,881285.311417826
2022-03-24,881285.311417826
2022-03-25,881285.311417826
2022-03-28,881285.311417826
2022-03-29,881285.311417826
2022-03-30,881285.311417826
2022-03-31,881285.311417826
2022-04-01,881285.311417826
2022-04-04,881285.311417826
2022-04-05,881285.311417826
2022-04-06,881285.311417826
2022-04-07,881285.311417826
2022-04-08,881285.311417826
2022-04-11,881285.311417826
2022-04-12,881285.311417826
2022-04-13,880091.1168178259
2022-04-18,881247.527617826
2022-04-19,877810.381767826
2022-04-20,876949.0817678261
2022-04-21,878516.231767826
2022-04-22,876712.3317678261
2022-04-25,870413.5817678261
2022-04-26,875434.0317678261
2022-04-27,881261.931767826
2022-04-28,874967.731767826
2022-04-29,868011.231767826
2022-05-02,866648.631767826
2022-05-04,863166.4317678261
2022-05-05,865437.4317678261
2022-05-06,860744.0317678261
2022-05-09,857716.0317678261
2022-05-10,857716.0317678261
2022-05-11,857716.0317678261
2022-05-12,857716.0317678261
2022-05-13,860295.5645678261
2022-05-16,862388.5645678261
2022-05-17,863285.5645678261
2022-05-18,862209.1645678261
2022-05-19,855511.5645678261
2022-05-20,862209.1645678261
2022-05-23,858381.9645678261
2022-05-24,863165.9645678261
2022-05-25,855870.3645678262
2022-05-26,857006.5645678261
2022-05-27,860056.3645678262
2022-05-30,859757.3645678262
2022-05-31,854793.9645678261
2022-06-01,863165.9645678261
2022-06-02,870377.366167826
2022-06-03,870377.366167826
2022-06-06,870377.366167826
2022-06-07,870377.366167826
2022-06-08,870377.366167826
2022-06-09,870377.366167826
2022-06-10,870377.366167826
2022-06-13,870377.366167826
2022-06-14,870377.366167826
2022-06-15,870377.366167826
2022-06-16,870377.366167826
2022-06-17,870377.366167826
2022-06-20,870377.366167826
2022-06-21,870377.366167826
2022-06-22,870377.366167826
2022-06-23,870377.366167826
2022-06-24,870377.366167826
2022-06-27,870377.366167826
2022-06-28,870377.366167826
2022-06-29,870377.366167826
2022-06-30,870377.366167826
2022-07-01,870377.366167826
2022-07-04,870377.366167826
2022-07-05,870377.366167826
2022-07-06,870377.366167826
2022-07-07,870377.366167826
2022-07-08,870377.366167826
2022-07-11,870377.366167826
2022-07-12,870377.366167826
2022-07-13,870377.366167826
2022-07-14,870377.366167826
2022-07-15,870377.366167826
2022-07-18,870377.366167826
2022-07-19,870377.366167826
2022-07-20,870377.366167826
2022-07-21,870377.366167826
2022-07-22,870377.366167826
2022-07-25,870377.366167826
2022-07-26,870377.366167826
2022-07-27,870377.366167826
2022-07-28,870377.366167826
2022-07-29,870714.172817826
2022-08-01,873523.022817826
2022-08-02,877353.272817826
2022-08-03,880363.534767826
2022-08-04,886407.384767826
2022-08-05,894852.214917826
2022-08-08,891744.014917826
2022-08-10,887231.764917826
2022-08-11,887509.464917826
2022-08-12,892709.6958395176
2022-08-16,907071.1958395175
2022-08-17,903170.1958395175
2022-08-18,911140.2458395176
2022-08-19,918915.6530744426
2022-08-22,911873.4030744428
2022-08-23,915782.7530744427
2022-08-24,914568.1685744429
2022-08-25,925968.6185744428
2022-08-26,926300.4185744426
2022-08-29,926662.9185744429
2022-08-30,946129.2961244426
2022-09-01,949759.4502244426
2022-09-02,946460.8502244427
2022-09-05,950532.4502244426
2022-09-06,957505.6502244427
2022-09-07,941551.8002244426
2022-09-08,952521.5430244426
2022-09-09,954724.8930244426
2022-09-12,967761.2190244426
2022-09-13,969042.5690244426
2022-09-14,966919.9190244426
2022-09-15,975877.0703744425
2022-09-16,966908.9203744426
2022-09-19,963539.1703744425
2022-09-20,964855.6378744425
2022-09-21,958521.1378744425
2022-09-22,971617.5378744425
2022-09-23,951903.1878744425
2022-09-26,927635.5378744425
2022-09-27,924335.5378744425
2022-09-28,926218.1875244426
2022-09-29,919044.8875244425
2022-09-30,921187.0875244425
2022-10-03,918767.5375244425
2022-10-04,917129.1875244426
2022-10-06,914636.7875244425
2022-10-07,915973.5215244426
2022-10-10,914134.8215244425
2022-10-11,904709.0715244425
2022-10-12,904821.4715244425
2022-10-13,905928.8715244426
2022-10-14,906991.0715244426
2022-10-17,908257.2715244426
2022-10-18,913281.8715244426
2022-10-19,910582.8715244426
2022-10-20,913944.8715244426
2022-10-21,912745.0715244426
2022-10-24,914707.6715244426
2022-10-25,914312.4715244425
2022-10-27,916861.6715244426
2022-10-28,920438.4715244425
2022-10-31,922317.0715244425
2022-11-01,922757.2715244425
2022-11-02,919570.4715244425
2022-11-03,920661.6715244425
2022-11-04,920382.6715244425
2022-11-07,921163.8715244426
2022-11-09,920711.2715244425
2022-11-10,921542.0715244425
2022-11-11,921684.6715244425
2022-11-14,921064.6715244425
2022-11-15,922720.0715244425
2022-11-16,923457.8715244426
2022-11-17,922823.8767244426
2022-11-18,919214.8767244426
2022-11-21,922274.0767244425
2022-11-22,924969.2767244426
2022-11-23,925184.2891244426
2022-11-24,929134.9391244426
2022-11-25,922972.1391244426
2022-11-28,929058.6391244426
2022-11-29,924939.2891244426
2022-11-30,952014.9631244425
2022-12-01,954126.9554244424
2022-12-02,953608.4054244424
2022-12-05,953534.8054244425
2022-12-06,948626.3554244424
2022-12-07,945063.6554244425
2022-12-08,946920.2554244425
2022-12-09,944090.6503244424
2022-12-12,943373.3503244425
2022-12-13,951710.9003244424
2022-12-14,951904.1003244425
2022-12-15,947678.1806744424
2022-12-16,939105.3306744425
2022-12-19,944244.8306744425
2022-12-20,943952.3306744425
2022-12-21,935098.4306744424
2022-12-22,931156.653496585
2022-12-23,928587.4534965849
2022-12-26,927695.3489016792
2022-12-27,926418.8717016792
2022-12-28,924916.6717016792
2022-12-29,927709.4717016792
2022-12-30,929555.1717016792
2023-01-02,935862.5717016793
2023-01-03,939964.1717016792
2023-01-04,938139.3717016792
2023-01-05,939836.8717016792
2023-01-06,938253.1717016792
2023-01-09,943711.4717016793
2023-01-10,937102.4717016793
2023-01-11,931782.4717016793
2023-01-12,929189.6717016792
2023-01-13,933078.5717016791
2023-01-16,933338.2717016792
2023-01-17,933666.7717016792
2023-01-18,935841.3717016792
2023-01-19,935069.8717016792
2023-01-20,934893.7717016792
2023-01-23,936262.2717016792
2023-01-24,934624.1717016792
2023-01-25,931412.7717016792
2023-01-27,923771.0717016793
2023-01-30,924343.4717016793
2023-01-31,932371.4717016793
2023-02-01,926280.0717016791
2023-02-02,930913.1853016792
2023-02-03,934675.3853016791
2023-02-06,938169.6853016792
2023-02-07,934494.4853016792
2023-02-08,934093.5853016792
2023-02-09,927820.4853016792
2023-02-10,927333.4853016792
2023-02-13,923555.5853016792
2023-02-14,926753.3853016791
2023-02-15,927970.1891202601
2023-02-16,934434.2891202602
2023-02-17,935011.2891202602
2023-02-20,929603.2391202601
2023-02-21,933386.0391202602
2023-02-22,928507.8391202602
2023-02-23,926995.7891202602
2023-02-24,928062.4391202601
2023-02-27,926216.4391202601
2023-02-28,928238.2391202601
2023-03-01,928995.1391202603
