,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1003518.528
2021-08-31,1008068.528
2021-09-01,1011188.944
2021-09-02,1011188.944
2021-09-03,1011188.944
2021-09-06,1011188.944
2021-09-07,1011188.944
2021-09-08,1011188.944
2021-09-09,1011188.944
2021-09-13,1010637.2988000001
2021-09-14,1009601.0506421914
2021-09-15,1011371.8006421914
2021-09-16,1013707.5634421915
2021-09-17,1012037.7634421915
2021-09-20,1006616.9374421916
2021-09-21,1014562.2874421915
2021-09-22,1013909.8364421916
2021-09-23,1033006.5480421917
2021-09-24,1025816.4837421916
2021-09-27,1027524.3367421916
2021-09-28,1034333.7867421915
2021-09-29,1043366.7867421914
2021-09-30,1046775.3296421914
2021-10-01,1047337.1296421915
2021-10-04,1042540.9216421915
2021-10-05,1038491.5216421915
2021-10-06,1036950.9216421915
2021-10-07,1037358.9216421915
2021-10-08,1036814.9216421915
2021-10-11,1039262.9216421915
2021-10-12,1041944.4775921913
2021-10-13,1047953.1003421913
2021-10-14,1061152.5103421912
2021-10-18,1054449.8103421913
2021-10-19,1068111.3000921912
2021-10-20,1064221.6000921912
2021-10-21,1058046.6795921912
2021-10-22,1039530.8324352494
2021-10-25,1035524.7324352495
2021-10-26,1044808.8876705694
2021-10-27,1038077.9376705694
2021-10-28,1013682.6376705694
2021-10-29,1018025.9376705694
2021-11-01,1012193.4876705693
2021-11-02,1013370.1457705694
2021-11-03,1014810.7338205694
2021-11-04,1021275.2338205695
2021-11-08,1040414.8338205694
2021-11-09,1043739.8838205694
2021-11-10,1041993.3838205694
2021-11-11,1044883.8338205694
2021-11-12,1048055.8338205693
2021-11-15,1024456.1338205694
2021-11-16,1018372.4838205694
2021-11-17,1013246.2838205694
2021-11-18,1006681.4338205694
2021-11-22,991416.9728205693
2021-11-23,998187.3778205694
2021-11-24,1000026.2478205694
2021-11-25,1002143.6978205694
2021-11-26,967955.0478205695
2021-11-29,950344.4978205694
2021-11-30,943465.9728205694
2021-12-01,948098.9120205694
2021-12-02,969940.1740205695
2021-12-03,966169.5240205694
2021-12-06,957150.7740205694
2021-12-07,954719.1740205694
2021-12-08,955151.7740205694
2021-12-09,951950.7740205694
2021-12-10,950129.7740205694
2021-12-13,941446.6280205694
2021-12-14,947100.4280205694
2021-12-15,940179.4280205694
2021-12-16,938957.0280205694
2021-12-17,934330.8280205694
2021-12-20,926799.6280205694
2021-12-21,930164.6020478155
2021-12-22,932314.1020478155
2021-12-23,935451.5020478154
2021-12-24,932031.0520478154
2021-12-27,928601.9520478154
2021-12-28,929197.8303478154
2021-12-29,930826.9803478154
2021-12-30,928464.9803478154
2021-12-31,937910.3803478155
2022-01-03,929646.3803478155
2022-01-04,929654.7303478154
2022-01-05,929522.4803478154
2022-01-06,925922.1303478156
2022-01-07,923501.8303478155
2022-01-10,929991.2283478156
2022-01-11,927322.6836478156
2022-01-12,932147.1336478156
2022-01-13,941482.2836478156
2022-01-14,941642.8836478156
2022-01-17,938872.3836478156
2022-01-18,940838.1677478155
2022-01-19,945035.9177478155
2022-01-20,943848.9483478155
2022-01-21,935299.5483478155
2022-01-24,919395.7803478157
2022-01-25,931387.3803478156
2022-01-27,925325.4296978156
2022-01-28,924736.7796978154
2022-01-31,932813.5296978154
2022-02-01,928989.4296978156
2022-02-02,931614.3296978155
2022-02-03,924027.2296978156
2022-02-04,916190.0796978155
2022-02-07,920148.8296978155
2022-02-08,915171.8296978155
2022-02-09,923119.4296978156
2022-02-10,929262.6746978154
2022-02-11,925880.2246978154
2022-02-14,906876.5246978154
2022-02-15,906384.8246978155
2022-02-16,908724.8631978155
2022-02-17,914492.2131978155
2022-02-18,906304.6131978155
2022-02-21,893806.2631978155
2022-02-22,891708.0131978155
2022-02-23,895112.9941978155
2022-02-24,872933.8441978155
2022-02-25,879644.5441978156
2022-02-28,886463.4441978156
2022-03-02,900518.5961978156
2022-03-03,905568.2183478156
2022-03-04,902065.6183478155
2022-03-07,897423.6183478155
2022-03-08,897423.6183478155
2022-03-09,897423.6183478155
2022-03-10,897423.6183478155
2022-03-11,897423.6183478155
2022-03-14,897423.6183478155
2022-03-15,897423.6183478155
2022-03-16,897423.6183478155
2022-03-17,897423.6183478155
2022-03-21,897423.6183478155
2022-03-22,897423.6183478155
2022-03-23,897423.6183478155
2022-03-24,897423.6183478155
2022-03-25,897423.6183478155
2022-03-28,897423.6183478155
2022-03-29,897423.6183478155
2022-03-30,897423.6183478155
2022-03-31,897423.6183478155
2022-04-01,897423.6183478155
2022-04-04,897423.6183478155
2022-04-05,895817.6592478155
2022-04-06,897131.3592478154
2022-04-07,898471.1592478155
2022-04-08,894103.7592478155
2022-04-11,896522.3592478154
2022-04-12,896826.8592478154
2022-04-13,893761.7408478154
2022-04-18,896910.4010478153
2022-04-19,889174.5365978153
2022-04-20,888302.4365978154
2022-04-21,889888.8365978154
2022-04-22,888046.6865978154
2022-04-25,881659.3365978154
2022-04-26,899759.1880835292
2022-04-27,899381.2744835292
2022-04-28,897993.3744835291
2022-04-29,890654.4744835291
2022-05-02,890658.7244835291
2022-05-04,887205.5388335292
2022-05-05,883954.4388335292
2022-05-06,884300.1888335291
2022-05-09,879975.8388335292
2022-05-10,866012.588833529
2022-05-11,859820.5388335291
2022-05-12,857245.5388335291
2022-05-13,857554.5388335291
2022-05-16,856730.5388335291
2022-05-17,859408.5388335291
2022-05-18,851065.5388335291
2022-05-19,847306.0388335291
2022-05-20,847306.0388335291
2022-05-23,847306.0388335291
2022-05-24,847306.0388335291
2022-05-25,847306.0388335291
2022-05-26,847306.0388335291
2022-05-27,847306.0388335291
2022-05-30,847306.0388335291
2022-05-31,847306.0388335291
2022-06-01,847306.0388335291
2022-06-02,847306.0388335291
2022-06-03,847306.0388335291
2022-06-06,847306.0388335291
2022-06-07,847306.0388335291
2022-06-08,847306.0388335291
2022-06-09,847306.0388335291
2022-06-10,847306.0388335291
2022-06-13,845070.4191835291
2022-06-14,850822.9691835291
2022-06-15,853727.1691835291
2022-06-16,852051.6691835291
2022-06-17,845740.6191835292
2022-06-20,841272.6191835292
2022-06-21,841272.6191835292
2022-06-22,841272.6191835292
2022-06-23,841272.6191835292
2022-06-24,841272.6191835292
2022-06-27,841272.6191835292
2022-06-28,841272.6191835292
2022-06-29,841272.6191835292
2022-06-30,841272.6191835292
2022-07-01,841272.6191835292
2022-07-04,841272.6191835292
2022-07-05,840595.4797753597
2022-07-06,846634.1297753598
2022-07-07,848772.8797753598
2022-07-08,849689.1979998683
2022-07-11,849689.1979998683
2022-07-12,849689.1979998683
2022-07-13,849689.1979998683
2022-07-14,849689.1979998683
2022-07-15,849689.1979998683
2022-07-18,849689.1979998683
2022-07-19,849689.1979998683
2022-07-20,849689.1979998683
2022-07-21,849689.1979998683
2022-07-22,849689.1979998683
2022-07-25,849689.1979998683
2022-07-26,849689.1979998683
2022-07-27,849689.1979998683
2022-07-28,849689.1979998683
2022-07-29,850017.9587498683
2022-08-01,852759.7087498683
2022-08-02,856498.4587498683
2022-08-03,859421.7237998683
2022-08-04,865296.4737998683
2022-08-05,873451.8946498682
2022-08-08,870441.2946498683
2022-08-10,866069.3446498683
2022-08-11,866359.2446498682
2022-08-12,871459.4840264446
2022-08-16,885577.2840264445
2022-08-17,881826.5840264445
2022-08-18,889611.2340264446
2022-08-19,897202.9158967157
2022-08-22,890276.5658967157
2022-08-23,894179.8158967157
2022-08-24,893512.6521467158
2022-08-25,900655.3521467157
2022-08-26,897612.2021467157
2022-08-29,903091.6521467158
2022-08-30,925400.1959967157
2022-09-01,918536.8959967156
2022-09-02,915594.8459967157
2022-09-05,913380.3459967158
2022-09-06,922543.3959967158
2022-09-07,923369.9649467156
2022-09-08,930573.9810467156
2022-09-09,931934.0810467157
2022-09-12,939796.1130467156
2022-09-13,940755.9630467156
2022-09-14,937819.9630467156
2022-09-15,951681.7213467157
2022-09-16,947735.0213467155
2022-09-19,946629.6676332053
2022-09-20,949528.0676332053
2022-09-21,937548.2176332052
2022-09-22,948435.2176332053
2022-09-23,930853.1676332053
2022-09-26,912094.6176332053
2022-09-27,910272.8676332053
2022-09-28,909121.2176332052
2022-09-29,903214.1983332053
2022-09-30,908736.8983332053
2022-10-03,898100.0483332053
2022-10-04,898747.3983332054
2022-10-06,891482.8396738062
2022-10-07,892645.9276738063
2022-10-10,890857.7776738063
2022-10-11,881687.6276738064
2022-10-12,881112.8776738064
2022-10-13,880308.2276738064
2022-10-14,879951.2776738063
2022-10-17,879957.3276738063
2022-10-18,882784.2676738063
2022-10-19,883162.9176738063
2022-10-20,880088.7176738064
2022-10-21,880639.2676738063
2022-10-24,881201.9176738063
2022-10-25,881226.1176738064
2022-10-27,883016.9176738063
2022-10-28,882986.6676738063
2022-10-31,883966.1206738064
2022-11-01,885817.3706738064
2022-11-02,880067.3706738064
2022-11-03,876088.5206738064
2022-11-04,875816.2706738064
2022-11-07,876578.5706738064
2022-11-09,876136.9206738065
2022-11-10,876947.6206738064
2022-11-11,877086.7706738064
2022-11-14,876481.7706738064
2022-11-15,878097.1206738064
2022-11-16,878817.0706738064
2022-11-17,878227.6446738065
2022-11-18,874764.7946738065
2022-11-21,871838.3002690936
2022-11-22,873410.1702690937
2022-11-23,871355.7942690938
2022-11-24,877784.4442690937
2022-11-25,874144.4942690937
2022-11-28,882897.2942690938
2022-11-29,873569.5442690938
2022-11-30,896354.6982690936
2022-12-01,896646.5482690936
2022-12-02,895350.4982690936
2022-12-05,897151.3482690937
2022-12-06,892237.4982690937
2022-12-07,889189.1482690936
2022-12-08,887663.6482690936
2022-12-09,883852.4482690936
2022-12-12,886287.1482690936
2022-12-13,888870.8762690937
2022-12-14,884022.1262690936
2022-12-15,876902.1863817921
2022-12-16,873862.786381792
2022-12-19,878583.836381792
2022-12-20,872371.6863817921
2022-12-21,853464.7481817922
2022-12-22,843183.8053933564
2022-12-23,837550.0553933564
2022-12-26,836761.4479309417
2022-12-27,835645.5563309417
2022-12-28,834189.9563309418
2022-12-29,836863.9063309417
2022-12-30,838393.1563309417
2023-01-02,844147.9563309418
2023-01-03,850232.7980809417
2023-01-04,846043.4480809418
2023-01-05,851290.3980809418
2023-01-06,849044.8980809418
2023-01-09,852696.3980809418
2023-01-10,843928.4480809418
2023-01-11,838914.4980809417
2023-01-12,836024.7480809417
2023-01-13,841853.5480809417
2023-01-16,841277.5480809417
2023-01-17,841606.9980809418
2023-01-18,840555.6980809418
2023-01-19,839818.2480809418
2023-01-20,837876.4367620167
2023-01-23,838722.8367620169
2023-01-24,835543.2467620168
2023-01-25,832655.6967620167
2023-01-27,825747.5967620168
2023-01-30,826224.0967620168
2023-01-31,833462.9967620168
2023-02-01,827959.9967620168
2023-02-02,832184.8631620167
2023-02-03,835711.1631620168
2023-02-06,838820.9131620168
2023-02-07,835502.6131620167
2023-02-08,835035.7631620168
2023-02-09,829305.4631620167
2023-02-10,828922.5631620167
2023-02-13,825478.3631620167
2023-02-14,828391.0631620167
2023-02-15,831529.0131620168
2023-02-16,834749.8401620167
2023-02-17,835256.1401620167
2023-02-20,830328.5901620167
2023-02-21,833830.7901620168
2023-02-22,829321.4901620167
2023-02-23,827808.6401620167
