,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,1000000.0
2021-09-15,1000000.0
2021-09-16,1000000.0
2021-09-17,1000000.0
2021-09-20,1000000.0
2021-09-21,1000000.0
2021-09-22,1000780.2823999999
2021-09-23,1008211.6824
2021-09-24,1009014.6824
2021-09-27,1019989.0351999999
2021-09-28,1019989.0351999999
2021-09-29,1019989.0351999999
2021-09-30,1019989.0351999999
2021-10-01,1019989.0351999999
2021-10-04,1019989.0351999999
2021-10-05,1019989.0351999999
2021-10-06,1019989.0351999999
2021-10-07,1019989.0351999999
2021-10-08,1019989.0351999999
2021-10-11,1019989.0351999999
2021-10-12,1019989.0351999999
2021-10-13,1019989.0351999999
2021-10-14,1019989.0351999999
2021-10-18,1019989.0351999999
2021-10-19,1019989.0351999999
2021-10-20,1019989.0351999999
2021-10-21,1019989.0351999999
2021-10-22,1017198.9764566009
2021-10-25,1008005.406856601
2021-10-26,1005817.6631542599
2021-10-27,1003902.73315426
2021-10-28,992738.18315426
2021-10-29,989666.23315426
2021-11-01,1001381.11155426
2021-11-02,1005191.9115542601
2021-11-03,995803.1473542601
2021-11-04,997438.74735426
2021-11-08,1017109.34735426
2021-11-09,1020187.04735426
2021-11-10,1020971.24735426
2021-11-11,1020219.4473542601
2021-11-12,1031454.54735426
2021-11-15,1035849.8399542599
2021-11-16,1037841.1769542599
2021-11-17,1031088.37695426
2021-11-18,1014957.9269542599
2021-11-22,1003070.2269542599
2021-11-23,1006161.6269542599
2021-11-24,1003267.0269542598
2021-11-25,1001508.1269542599
2021-11-26,995144.9269542599
2021-11-29,990671.8269542599
2021-11-30,989418.7389542599
2021-12-01,994426.8944542599
2021-12-02,1030359.1919542598
2021-12-03,1030359.1919542598
2021-12-06,1030359.1919542598
2021-12-07,1030359.1919542598
2021-12-08,1032931.845760263
2021-12-09,1034775.4957602631
2021-12-10,1035621.445760263
2021-12-13,1042313.395760263
2021-12-14,1043466.795760263
2021-12-15,1034564.795710263
2021-12-16,1042322.445710263
2021-12-17,1046069.7534602629
2021-12-20,1032372.353460263
2021-12-21,1036409.1579349808
2021-12-22,1043517.4061052765
2021-12-23,1042414.5918669093
2021-12-24,1039618.050084977
2021-12-27,1046517.800084977
2021-12-28,1052297.900084977
2021-12-29,1057421.05557409
2021-12-30,1055296.25557409
2021-12-31,1056062.70557409
2022-01-03,1051739.1555740898
2022-01-04,1050919.9055740898
2022-01-05,1049117.55557409
2022-01-06,1049117.55557409
2022-01-07,1049117.55557409
2022-01-10,1048144.4835740901
2022-01-11,1036676.4835740901
2022-01-12,1036676.4835740901
2022-01-13,1036676.4835740901
2022-01-14,1036676.4835740901
2022-01-17,1036676.4835740901
2022-01-18,1036676.4835740901
2022-01-19,1036676.4835740901
2022-01-20,1042295.30813409
2022-01-21,1036469.36813409
2022-01-24,1026781.28813409
2022-01-25,1026781.28813409
2022-01-27,1028414.34328409
2022-01-28,1029243.85098409
2022-01-31,1044333.7009840901
2022-02-01,1044116.75098409
2022-02-02,1041534.3009840901
2022-02-03,1030988.50098409
2022-02-04,1021895.25098409
2022-02-07,1022029.5509840901
2022-02-08,1011369.55098409
2022-02-09,1012103.2509840901
2022-02-10,1019809.5434840901
2022-02-11,1015236.7434840901
2022-02-14,990163.0689840901
2022-02-15,985932.2689840902
2022-02-16,978294.947763548
2022-02-17,977080.147763548
2022-02-18,970215.1477635481
2022-02-21,960883.5477635481
2022-02-22,952004.097763548
2022-02-23,944941.2512635482
2022-02-24,926736.101263548
2022-02-25,929157.4012635481
2022-02-28,929964.5012635482
2022-03-02,946510.0512635481
2022-03-03,952969.099613548
2022-03-04,952969.099613548
2022-03-07,952969.099613548
2022-03-08,952969.099613548
2022-03-09,952969.099613548
2022-03-10,952969.099613548
2022-03-11,952969.099613548
2022-03-14,952969.099613548
2022-03-15,952969.099613548
2022-03-16,952969.099613548
2022-03-17,951948.7801689756
2022-03-21,956261.9801689755
2022-03-22,957409.9801689755
2022-03-23,962329.9801689755
2022-03-24,963865.7385026929
2022-03-25,963865.7385026929
2022-03-28,963865.7385026929
2022-03-29,963865.7385026929
2022-03-30,963865.7385026929
2022-03-31,963865.7385026929
2022-04-01,963865.7385026929
2022-04-04,963865.7385026929
2022-04-05,963865.7385026929
2022-04-06,963865.7385026929
2022-04-07,963865.7385026929
2022-04-08,963865.7385026929
2022-04-11,963865.7385026929
2022-04-12,963865.7385026929
2022-04-13,963865.7385026929
2022-04-18,963865.7385026929
2022-04-19,963865.7385026929
2022-04-20,963865.7385026929
2022-04-21,963865.7385026929
2022-04-22,963865.7385026929
2022-04-25,963865.7385026929
2022-04-26,963256.9886575392
2022-04-27,957517.2386575392
2022-04-28,959997.1886575392
2022-04-29,959937.3386575392
2022-05-02,960236.2034981635
2022-05-04,956451.9293981636
2022-05-05,949813.8293981636
2022-05-06,954823.3793981635
2022-05-09,957376.5293981635
2022-05-10,945329.4293981635
2022-05-11,938656.2293981635
2022-05-12,935881.2293981635
2022-05-13,939031.0101981636
2022-05-16,940428.5101981636
2022-05-17,944294.0101981636
2022-05-18,934127.6101981635
2022-05-19,922762.5101981636
2022-05-20,930076.1101981635
2022-05-23,925896.9101981636
2022-05-24,931120.9101981636
2022-05-25,923154.3101981636
2022-05-26,924395.0101981636
2022-05-27,926538.1132981635
2022-05-30,925484.1390481635
2022-05-31,926395.9390481636
2022-06-01,940498.3390481636
2022-06-02,951205.5466481635
2022-06-03,946480.4966481634
2022-06-06,946821.2966481633
2022-06-07,950371.6966481635
2022-06-08,944610.2466481634
2022-06-09,948342.0466481633
2022-06-10,948644.7966481635
2022-06-13,938382.3386481634
2022-06-14,942456.7886481634
2022-06-15,948969.6886481633
2022-06-16,944288.1886481633
2022-06-17,940985.5386481634
2022-06-20,923797.3386481634
2022-06-21,920623.8386481634
2022-06-22,922874.1386481633
2022-06-23,924028.1386481633
2022-06-24,927951.7386481634
2022-06-27,929336.5386481634
2022-06-28,930144.3386481634
2022-06-29,931298.3386481634
2022-06-30,932567.7386481634
2022-07-01,933375.5386481634
2022-07-04,931529.1386481633
2022-07-05,932964.2606661433
2022-07-06,945604.7606661433
2022-07-07,952908.6846661431
2022-07-08,953933.7186122036
2022-07-11,953933.7186122036
2022-07-12,953933.7186122036
2022-07-13,953933.7186122036
2022-07-14,953933.7186122036
2022-07-15,953933.7186122036
2022-07-18,953933.7186122036
2022-07-19,953933.7186122036
2022-07-20,953933.7186122036
2022-07-21,953933.7186122036
2022-07-22,953933.7186122036
2022-07-25,953933.7186122036
2022-07-26,953933.7186122036
2022-07-27,953933.7186122036
2022-07-28,953933.7186122036
2022-07-29,953933.7186122036
2022-08-01,953933.7186122036
2022-08-02,953933.7186122036
2022-08-03,954416.6792622037
2022-08-04,962640.1292622037
2022-08-05,970360.1373122036
2022-08-08,971446.1373122036
2022-08-10,972958.1373122036
2022-08-11,973834.1373122036
2022-08-12,975182.1373122036
2022-08-16,980298.1373122036
2022-08-17,982680.1373122036
2022-08-18,983232.1373122036
2022-08-19,983740.1373122036
2022-08-22,981306.1373122036
2022-08-23,985366.1373122036
2022-08-24,984628.3312122036
2022-08-25,985091.6312122035
2022-08-26,980585.5312122036
2022-08-29,983543.3812122035
2022-08-30,1005003.1780622036
2022-09-01,997508.7280622036
2022-09-02,994306.1780622036
2022-09-05,991905.4780622036
2022-09-06,1001910.8780622035
2022-09-07,1002844.5670622035
2022-09-08,1004228.6670622035
2022-09-09,1004934.4170622035
2022-09-12,1009570.8170622035
2022-09-13,1008613.8670622036
2022-09-14,1005559.1670622035
2022-09-15,1014362.7827122035
2022-09-16,1009789.7827122035
2022-09-19,1008467.3915739439
2022-09-20,1010007.1272542607
2022-09-21,993598.3272542607
2022-09-22,1001666.6772542606
2022-09-23,978288.6272542607
2022-09-26,967507.5772542607
2022-09-27,966427.8772542607
2022-09-28,967025.9066542607
2022-09-29,957037.2402542607
2022-09-30,962135.5277542607
2022-10-03,944365.6777542607
2022-10-04,945549.7777542608
2022-10-06,946219.6777542607
2022-10-07,945005.2777542608
2022-10-10,943477.3777542608
2022-10-11,940870.3777542608
2022-10-12,939347.8977542608
2022-10-13,942511.7977542607
2022-10-14,939946.0580042608
2022-10-17,940638.2580042608
2022-10-18,953356.6314042609
2022-10-19,954878.4814042608
2022-10-20,941452.5814042608
2022-10-21,933938.7814042609
2022-10-24,936265.2814042609
2022-10-25,943049.6814042609
2022-10-27,937685.8814042609
2022-10-28,936870.5214042608
2022-10-31,941817.2214042607
2022-11-01,945417.5214042608
2022-11-02,948430.4214042607
2022-11-03,949958.3214042607
2022-11-04,951176.0214042608
2022-11-07,951375.8003270802
2022-11-09,939266.9003270802
2022-11-10,923444.8003270802
2022-11-11,922725.9385557435
2022-11-14,924280.2385557435
2022-11-15,923879.2885557435
2022-11-16,920077.6885557435
2022-11-17,925240.5385557435
2022-11-18,923775.3385557435
2022-11-21,923354.5885557435
2022-11-22,922421.5159557435
2022-11-23,919198.0809557436
2022-11-24,921521.4309557435
2022-11-25,914743.7309557435
2022-11-28,925283.1309557435
2022-11-29,917194.6309557435
2022-11-30,933423.7487557434
2022-12-01,933828.7487557434
2022-12-02,932519.2487557434
2022-12-05,932627.2487557434
2022-12-06,930102.7487557434
2022-12-07,927807.7487557434
2022-12-08,928725.7487557434
2022-12-09,925890.7487557434
2022-12-12,925607.2487557434
2022-12-13,928536.7487557434
2022-12-14,927996.7487557434
2022-12-15,926457.7487557434
2022-12-16,926241.7487557434
2022-12-19,927038.2687557434
2022-12-20,929471.2687557434
2022-12-21,917419.4043296597
2022-12-22,914508.6543296597
2022-12-23,905146.4543296597
2022-12-26,903410.4543296597
2022-12-27,903410.4543296597
2022-12-28,903410.4543296597
2022-12-29,903410.4543296597
2022-12-30,903410.4543296597
2023-01-02,903410.4543296597
2023-01-03,903186.0763296597
2023-01-04,900898.0763296597
2023-01-05,900898.0763296597
2023-01-06,900898.0763296597
2023-01-09,900898.0763296597
2023-01-10,900898.0763296597
2023-01-11,900898.0763296597
2023-01-12,900898.0763296597
2023-01-13,903772.9001296598
2023-01-16,906833.5001296598
2023-01-17,892534.8701296598
2023-01-18,891568.1421469533
2023-01-19,887256.9421469533
2023-01-20,881377.0692798422
2023-01-23,881715.5692798422
2023-01-24,878361.5692798422
2023-01-25,877373.3192798422
2023-01-27,872564.8192798422
2023-01-30,872564.8192798422
2023-01-31,872564.8192798422
2023-02-01,874771.1253398422
2023-02-02,871642.8253398421
2023-02-03,868361.9253398422
2023-02-06,865981.8915398422
2023-02-07,863192.7415398422
2023-02-08,863223.3915398422
2023-02-09,861844.1415398422
2023-02-10,861844.1415398422
2023-02-13,861161.8043367085
2023-02-14,858122.4043367085
2023-02-15,860493.8043367085
2023-02-16,862480.3483367085
2023-02-17,866010.9483367085
2023-02-20,866367.5483367085
2023-02-21,872171.5483367085
2023-02-22,868059.3483367085
2023-02-23,865027.3483367085
2023-02-24,865849.1483367085
