,equity
2021-08-24,1000000.0
2021-08-25,1000000.0
2021-08-26,1000000.0
2021-08-27,1000000.0
2021-08-30,1000000.0
2021-08-31,1000000.0
2021-09-01,1000000.0
2021-09-02,1000000.0
2021-09-03,1000000.0
2021-09-06,1000000.0
2021-09-07,1000000.0
2021-09-08,1000000.0
2021-09-09,1000000.0
2021-09-13,1000000.0
2021-09-14,1000000.0
2021-09-15,1000000.0
2021-09-16,1000000.0
2021-09-17,1000000.0
2021-09-20,1000000.0
2021-09-21,1000000.0
2021-09-22,1000780.2823999999
2021-09-23,1008211.6824
2021-09-24,1009014.6824
2021-09-27,1019989.0351999999
2021-09-28,1019989.0351999999
2021-09-29,1019989.0351999999
2021-09-30,1019989.0351999999
2021-10-01,1019989.0351999999
2021-10-04,1019989.0351999999
2021-10-05,1019989.0351999999
2021-10-06,1019989.0351999999
2021-10-07,1019989.0351999999
2021-10-08,1019989.0351999999
2021-10-11,1019989.0351999999
2021-10-12,1019989.0351999999
2021-10-13,1019989.0351999999
2021-10-14,1019989.0351999999
2021-10-18,1019989.0351999999
2021-10-19,1019989.0351999999
2021-10-20,1019989.0351999999
2021-10-21,1019989.0351999999
2021-10-22,1019989.0351999999
2021-10-25,1014264.9611999999
2021-10-26,1009795.7111999999
2021-10-27,1007883.3912
2021-10-28,1005829.1412
2021-10-29,1003139.9412
2021-11-01,1008418.7411999999
2021-11-02,1009306.8411999999
2021-11-03,1006430.8912
2021-11-04,1008356.4911999999
2021-11-08,1010614.4008831218
2021-11-09,1010586.9357359282
2021-11-10,1010954.0857359283
2021-11-11,1003650.5857359283
2021-11-12,1010337.0857359283
2021-11-15,1013054.9857359283
2021-11-16,1016673.0857359283
2021-11-17,1018981.2357359282
2021-11-18,1005844.7357359282
2021-11-22,998744.3357359283
2021-11-23,1004063.0357359283
2021-11-24,998574.6357359283
2021-11-25,999221.8857359283
2021-11-26,989139.6857359284
2021-11-29,985671.1357359283
2021-11-30,984969.7987359284
2021-12-01,995957.6987359283
2021-12-02,1023528.8997359284
2021-12-03,1015166.6997359283
2021-12-06,1007406.4997359284
2021-12-07,1011636.5997359284
2021-12-08,1021137.6997359283
2021-12-09,1021359.5997359284
2021-12-10,1019375.7997359284
2021-12-13,1026256.7997359284
2021-12-14,1033635.4997359284
2021-12-15,1031248.4997359284
2021-12-16,1030493.8997359284
2021-12-17,1027548.2997359284
2021-12-20,1020238.1997359283
2021-12-21,1022418.1452720382
2021-12-22,1034397.6452720382
2021-12-23,1032614.2452720383
2021-12-24,1037655.7162226726
2021-12-27,1041881.1462226727
2021-12-28,1042581.2971726726
2021-12-29,1040077.5971726726
2021-12-30,1037951.7971726726
2021-12-31,1038716.1971726726
2022-01-03,1034445.8971726726
2022-01-04,1033626.6471726726
2022-01-05,1032118.0971726725
2022-01-06,1032118.0971726725
2022-01-07,1032118.0971726725
2022-01-10,1031160.9771726725
2022-01-11,1019880.9771726725
2022-01-12,1019880.9771726725
2022-01-13,1019880.9771726725
2022-01-14,1019880.9771726725
2022-01-17,1019880.9771726725
2022-01-18,1019880.9771726725
2022-01-19,1019880.9771726725
2022-01-20,1019880.9771726725
2022-01-21,1019880.9771726725
2022-01-24,1019880.9771726725
2022-01-25,1019752.5906726726
2022-01-27,1019300.7906726726
2022-01-28,1025021.8886726726
2022-01-31,1034218.2886726726
2022-02-01,1037297.3886726726
2022-02-02,1032862.8886726726
2022-02-03,1024818.8886726726
2022-02-04,1017872.7396726725
2022-02-07,1013183.3396726726
2022-02-08,1002411.2396726725
2022-02-09,1001294.4396726725
2022-02-10,1010792.0396726725
2022-02-11,1009994.3896726725
2022-02-14,989995.7151726725
2022-02-15,986511.2151726725
2022-02-16,970418.4313375044
2022-02-17,966248.1213375045
2022-02-18,956782.5513375045
2022-02-21,944311.5013375046
2022-02-22,938975.5013375046
2022-02-23,932978.519581815
2022-02-24,920348.6195818151
2022-02-25,920348.6195818151
2022-02-28,920348.6195818151
2022-03-02,920348.6195818151
2022-03-03,920348.6195818151
2022-03-04,920348.6195818151
2022-03-07,920348.6195818151
2022-03-08,920348.6195818151
2022-03-09,920348.6195818151
2022-03-10,920348.6195818151
2022-03-11,920348.6195818151
2022-03-14,920348.6195818151
2022-03-15,920348.6195818151
2022-03-16,920348.6195818151
2022-03-17,920348.6195818151
2022-03-21,920375.1613142595
2022-03-22,921323.6613142595
2022-03-23,925388.6613142595
2022-03-24,929047.1613142595
2022-03-25,929250.4113142595
2022-03-28,931282.9113142595
2022-03-29,931581.0113142594
2022-03-30,923044.5113142594
2022-03-31,914833.2113142594
2022-04-01,915104.2113142594
2022-04-04,919711.2113142594
2022-04-05,919535.0613142594
2022-04-06,918017.4613142594
2022-04-07,916255.9613142594
2022-04-08,918152.9613142594
2022-04-11,916689.5613142594
2022-04-12,911161.1613142595
2022-04-13,911161.1613142595
2022-04-18,911161.1613142595
2022-04-19,911161.1613142595
2022-04-20,911161.1613142595
2022-04-21,911161.1613142595
2022-04-22,911161.1613142595
2022-04-25,911161.1613142595
2022-04-26,911185.9425642595
2022-04-27,908677.1925642595
2022-04-28,910788.4425642595
2022-04-29,910609.6925642595
2022-05-02,906749.3133642595
2022-05-04,901348.5633642595
2022-05-05,901807.3133642595
2022-05-06,902178.5633642595
2022-05-09,899352.3133642595
2022-05-10,893292.3133642595
2022-05-11,893292.3133642595
2022-05-12,893292.3133642595
2022-05-13,895979.6861642596
2022-05-16,898160.1861642596
2022-05-17,899094.6861642596
2022-05-18,897973.2861642595
2022-05-19,890995.6861642596
2022-05-20,897973.2861642595
2022-05-23,893986.0861642596
2022-05-24,898970.0861642596
2022-05-25,891369.4861642596
2022-05-26,892553.1861642596
2022-05-27,895730.4861642596
2022-05-30,895418.9861642596
2022-05-31,890248.0861642596
2022-06-01,898970.0861642596
2022-06-02,906482.9677642594
2022-06-03,906482.9677642594
2022-06-06,906482.9677642594
2022-06-07,906482.9677642594
2022-06-08,906482.9677642594
2022-06-09,906482.9677642594
2022-06-10,906482.9677642594
2022-06-13,906482.9677642594
2022-06-14,906482.9677642594
2022-06-15,906482.9677642594
2022-06-16,906482.9677642594
2022-06-17,906482.9677642594
2022-06-20,906482.9677642594
2022-06-21,906482.9677642594
2022-06-22,906482.9677642594
2022-06-23,906482.9677642594
2022-06-24,906482.9677642594
2022-06-27,906482.9677642594
2022-06-28,906482.9677642594
2022-06-29,906482.9677642594
2022-06-30,906482.9677642594
2022-07-01,906482.9677642594
2022-07-04,906482.9677642594
2022-07-05,906482.9677642594
2022-07-06,906482.9677642594
2022-07-07,906482.9677642594
2022-07-08,906482.9677642594
2022-07-11,906482.9677642594
2022-07-12,906482.9677642594
2022-07-13,906482.9677642594
2022-07-14,906482.9677642594
2022-07-15,906482.9677642594
2022-07-18,906482.9677642594
2022-07-19,906482.9677642594
2022-07-20,906482.9677642594
2022-07-21,906482.9677642594
2022-07-22,906482.9677642594
2022-07-25,906482.9677642594
2022-07-26,906482.9677642594
2022-07-27,906482.9677642594
2022-07-28,906482.9677642594
2022-07-29,906482.9677642594
2022-08-01,906482.9677642594
2022-08-02,906482.9677642594
2022-08-03,906939.8306142595
2022-08-04,914736.6806142594
2022-08-05,922051.2700642594
2022-08-08,923082.9700642594
2022-08-10,924519.3700642594
2022-08-11,925351.5700642593
2022-08-12,926632.1700642593
2022-08-16,931492.3700642594
2022-08-17,933755.2700642594
2022-08-18,934279.6700642593
2022-08-19,934762.2700642594
2022-08-22,932449.9700642594
2022-08-23,936306.9700642594
2022-08-24,935696.2724642593
2022-08-25,937234.3724642594
2022-08-26,933282.6724642593
2022-08-29,933374.0724642593
2022-08-30,938449.3724642594
2022-09-01,938531.6724642593
2022-09-02,938597.0724642593
2022-09-05,938129.0724642593
2022-09-06,940490.5724642593
2022-09-07,937773.1724642593
2022-09-08,940161.3724642594
2022-09-09,942086.1724642593
2022-09-12,946384.1724642593
2022-09-13,946485.2724642593
2022-09-14,945824.0724642593
2022-09-15,952128.7444642592
2022-09-16,951873.1444642593
2022-09-19,950304.7444642592
2022-09-20,948373.0784642592
2022-09-21,944275.3784642592
2022-09-22,950314.9784642592
2022-09-23,941092.5784642592
2022-09-26,935590.3784642592
2022-09-27,933034.3784642592
2022-09-28,934823.7540642592
2022-09-29,927030.9540642593
2022-09-30,925280.2211225819
2022-10-03,920791.4211225819
2022-10-04,920426.0211225819
2022-10-06,920791.4211225818
2022-10-07,920129.0211225819
2022-10-10,919295.6211225819
2022-10-11,917873.6211225819
2022-10-12,917356.606122582
2022-10-13,919945.7061225818
2022-10-14,920584.2061225818
2022-10-17,922775.106122582
2022-10-18,929928.031722582
2022-10-19,929011.681722582
2022-10-20,921231.281722582
2022-10-21,916344.581722582
2022-10-24,918232.931722582
2022-10-25,921745.831722582
2022-10-27,919139.181722582
2022-10-28,920306.6267225819
2022-10-31,923004.8267225819
2022-11-01,924968.6267225819
2022-11-02,926612.0267225818
2022-11-03,927445.4267225818
2022-11-04,928109.6267225819
2022-11-07,927918.8267225819
2022-11-09,921919.4267225818
2022-11-10,916721.0267225818
2022-11-11,916169.6261812587
2022-11-14,915388.0261812587
2022-11-15,916252.9261812586
2022-11-16,914500.3261812588
2022-11-17,917535.6261812587
2022-11-18,917280.4261812586
2022-11-21,916649.7261812587
2022-11-22,916931.0261812587
2022-11-23,911806.6521812587
2022-11-24,913126.9521812587
2022-11-25,909507.1521812587
2022-11-28,920922.3521812586
2022-11-29,918404.3521812587
2022-11-30,915651.0521812587
2022-12-01,917736.0521812587
2022-12-02,920583.4521812587
2022-12-05,921567.2521812588
2022-12-06,919306.2521812588
2022-12-07,916286.6521812587
2022-12-08,915554.4521812587
2022-12-09,916772.4521812587
2022-12-12,916096.8521812587
2022-12-13,916877.0521812587
2022-12-14,917755.8521812587
2022-12-15,910909.2521812588
2022-12-16,913940.2521812588
2022-12-19,916256.6521812587
2022-12-20,918503.8521812587
2022-12-21,910454.0521812587
2022-12-22,911373.8521812587
2022-12-23,906072.8521812587
2022-12-26,905385.2521812588
2022-12-27,906733.4521812587
2022-12-28,906337.4521812587
2022-12-29,905352.8521812587
2022-12-30,905966.6521812588
2023-01-02,906317.6521812588
2023-01-03,906315.8521812587
2023-01-04,906166.4521812587
2023-01-05,905822.6521812588
2023-01-06,903441.2521812588
2023-01-09,904337.6521812588
2023-01-10,902332.4521812587
2023-01-11,901191.2521812588
2023-01-12,902688.8521812587
2023-01-13,901547.6521812588
2023-01-16,900356.0521812587
2023-01-17,901724.0521812587
2023-01-18,901023.8521812587
2023-01-19,899600.0521812587
2023-01-20,900897.8521812587
2023-01-23,899207.6521812588
2023-01-24,901045.4521812587
2023-01-25,898572.2521812588
2023-01-27,902013.8521812587
2023-01-30,899175.2521812588
2023-01-31,900005.0521812587
2023-02-01,900255.2521812588
2023-02-02,902881.4521812587
2023-02-03,902877.8521812587
2023-02-06,902240.6521812588
2023-02-07,899078.0521812587
2023-02-08,897666.8521812587
2023-02-09,896693.0521812587
2023-02-10,898010.6521812588
2023-02-13,897022.4521812587
2023-02-14,895182.8521812587
2023-02-15,893099.5573783895
2023-02-16,898592.0573783895
2023-02-17,900990.5573783895
2023-02-20,898062.3073783895
2023-02-21,901650.3073783895
2023-02-22,899882.3073783895
