,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1009134.8715317594
2026-01-28,1024776.9395364813
2026-01-29,1027541.8569364812
2026-01-30,1027541.8569364812
2026-02-01,1027541.8569364812
2026-02-02,1027541.8569364812
2026-02-03,1032786.3465364812
2026-02-04,1034884.3225364811
2026-02-05,1036032.0825364811
2026-02-06,1037860.7625364813
2026-02-09,1040147.0825364811
2026-02-10,1053011.8145364812
2026-02-11,1060583.494536481
2026-02-12,1060221.194536481
2026-02-13,1050335.7945364811
2026-02-16,1056231.494536481
2026-02-17,1062584.493275656
2026-02-18,1072715.493275656
2026-02-19,1059320.5432756557
2026-02-20,1071820.743275656
2026-02-23,1078920.6432756558
2026-02-24,1074372.6432756558
2026-02-25,1089181.702275656
2026-02-26,1089045.552275656
2026-02-27,1081117.2742756559
2026-03-02,1071303.324275656
2026-03-04,1071061.7280581314
2026-03-05,1074574.2174920193
2026-03-06,1072833.5492139298
2026-03-09,1057220.74921393
2026-03-10,1074895.16671393
2026-03-11,1086898.3303139298
2026-03-12,1083015.8303139298
2026-03-13,1071599.8459481983
2026-03-16,1064765.8459481983
2026-03-17,1077635.9169481983
2026-03-18,1073585.4169481983
2026-03-19,1060882.0169481984
2026-03-20,1055725.4169481983
2026-03-23,1045746.0169481983
2026-03-24,1045746.0169481983
2026-03-25,1045746.0169481983
2026-03-27,1045746.0169481983
2026-03-30,1045746.0169481983
2026-04-01,1045746.0169481983
2026-04-02,1045746.0169481983
2026-04-06,1045746.0169481983
2026-04-07,1045746.0169481983
2026-04-08,1045746.0169481983
2026-04-09,1045746.0169481983
2026-04-10,1045746.0169481983
2026-04-13,1045746.0169481983
2026-04-15,1045746.0169481983
2026-04-16,1045746.0169481983
2026-04-17,1045746.0169481983
2026-04-20,1045746.0169481983
2026-04-21,1045746.0169481983
2026-04-22,1045746.0169481983
2026-04-23,1045746.0169481983
2026-04-24,1045746.0169481983
2026-04-27,1045746.0169481983
2026-04-28,1045746.0169481983
2026-04-29,1045746.0169481983
2026-04-30,1045746.0169481983
2026-05-04,1055533.0452981982
2026-05-05,1055102.9452981984
2026-05-06,1058485.5602481982
2026-05-07,1058485.5602481982
2026-05-08,1058485.5602481982
2026-05-11,1058485.5602481982
2026-05-12,1058485.5602481982
2026-05-13,1061215.3880513746
2026-05-14,1073466.3948909515
2026-05-15,1060391.6348909512
2026-05-18,1053795.9548909513
2026-05-19,1057612.7948909514
2026-05-20,1069727.5948909512
2026-05-21,1078211.4348909513
2026-05-22,1082081.4748909513
2026-05-25,1097664.994890951
2026-05-26,1111794.174907709
2026-05-27,1116576.174907709
2026-05-29,1107538.774907709
2026-06-01,1098525.374907709
2026-06-02,1100615.374907709
2026-06-03,1099118.9479956566
2026-06-04,1115229.9993956564
2026-06-05,1109987.5993956565
2026-06-08,1070614.3993956565
2026-06-09,1095886.2993956567
2026-06-10,1078345.7993956567
2026-06-11,1076640.8993956565
2026-06-12,1094250.3993956565
2026-06-15,1098611.5913956566
2026-06-16,1097527.5913956566
2026-06-17,1114489.0308601684
2026-06-18,1117219.0308601684
2026-06-19,1128583.001828304
2026-06-22,1131194.001828304
2026-06-23,1132646.6889238968
2026-06-24,1122804.6889238968
2026-06-25,1132434.1667238967
2026-06-29,1131618.5321738967
2026-06-30,1130296.8321738967
2026-07-01,1142233.3232118683
2026-07-02,1140302.0232118685
2026-07-03,1126214.3712118682
2026-07-06,1125178.3712118682
2026-07-07,1120708.7712118682
2026-07-08,1118577.5712118682
2026-07-09,1114293.308521632
2026-07-10,1130012.849042833
2026-07-13,1133983.849042833
2026-07-14,1134187.949042833
2026-07-15,1123741.0784215662
2026-07-16,1113905.9784215663
2026-07-17,1120049.6705715663
2026-07-20,1128290.3659238059
2026-07-21,1132331.6259238059
2026-07-22,1107790.4859238057
2026-07-23,1094916.0059238058
2026-07-24,1096974.5059238058
2026-07-27,1114467.8368742047
2026-07-28,1122003.3944442049
2026-07-29,1122905.8944442049
2026-07-30,1124924.244444205
2026-07-31,1136543.6984442049
2026-08-03,1145670.1864442048
2026-08-04,1145353.886444205
2026-08-05,1149753.745735131
2026-08-06,1150015.3457351308
2026-08-07,1147804.745735131
2026-08-10,1150122.745735131
2026-08-11,1140776.845735131
2026-08-12,1138967.745735131
2026-08-13,1142500.6076900226
2026-08-14,1138916.6076900226
2026-08-17,1135206.3076900225
2026-08-18,1138588.2076900224
