,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,996895.6
2026-01-27,996934.6
2026-01-28,1012141.7999999999
2026-01-29,1020174.0
2026-01-30,1009765.3999999999
2026-02-01,981882.0
2026-02-02,980127.0
2026-02-03,980127.0
2026-02-04,978324.1499999999
2026-02-05,978803.49
2026-02-06,980477.71
2026-02-09,981847.19
2026-02-10,989830.1799999999
2026-02-11,989441.2399999999
2026-02-12,991955.25
2026-02-13,979912.08
2026-02-16,985546.57
2026-02-17,989381.63
2026-02-18,995185.6100000001
2026-02-19,984873.6599999999
2026-02-20,996092.54
2026-02-23,1003840.6699999999
2026-02-24,1001531.53
2026-02-25,1010442.72
2026-02-26,1007301.3500000001
2026-02-27,1000524.99
2026-03-02,990979.62
2026-03-04,976663.97
2026-03-05,980808.51
2026-03-06,973627.5
2026-03-09,951892.45
2026-03-10,951572.25
2026-03-11,953682.95
2026-03-12,950099.3499999999
2026-03-13,937152.6499999999
2026-03-16,928761.8500000001
2026-03-17,932271.3499999999
2026-03-18,929492.6499999999
2026-03-19,917518.6499999999
2026-03-20,922055.5499999998
2026-03-23,911611.25
2026-03-24,912893.95
2026-03-25,922635.25
2026-03-27,929221.0499999999
2026-03-30,924691.8499999999
2026-04-01,921024.8499999999
2026-04-02,917793.4499999998
2026-04-06,914754.6499999999
2026-04-07,917481.0499999998
2026-04-08,916827.8499999999
2026-04-09,918588.6499999999
2026-04-10,917395.8499999999
2026-04-13,917992.2499999999
2026-04-15,918020.6499999999
2026-04-16,915265.8499999999
2026-04-17,916004.2499999999
2026-04-20,915606.6499999999
2026-04-21,915464.6499999999
2026-04-22,915777.0499999998
2026-04-23,917253.8499999999
2026-04-24,916430.2499999999
2026-04-27,917055.0499999998
2026-04-28,922337.45
2026-04-29,922337.45
2026-04-30,922337.45
2026-05-04,922337.45
2026-05-05,922337.45
2026-05-06,922337.45
2026-05-07,922337.45
2026-05-08,922337.45
2026-05-11,922337.45
2026-05-12,922337.45
2026-05-13,922337.45
2026-05-14,928346.45
2026-05-15,917655.6499999999
2026-05-18,912449.3999999999
2026-05-19,916201.6499999999
2026-05-20,926327.1
2026-05-21,933143.0499999999
2026-05-22,936385.6
2026-05-25,944516.0999999999
2026-05-26,954969.35
2026-05-27,968571.95
2026-05-29,961854.8499999999
2026-06-01,947713.3999999999
2026-06-02,951003.2499999999
2026-06-03,947023.4999999999
2026-06-04,953001.2
2026-06-05,952439.5499999999
2026-06-08,927194.0999999999
2026-06-09,948544.2
2026-06-10,930245.2499999998
2026-06-11,925672.0499999998
2026-06-12,944079.4999999998
2026-06-15,945514.6499999999
2026-06-16,944686.3999999999
2026-06-17,957021.8999999999
2026-06-18,965076.2
2026-06-19,977679.2999999998
2026-06-22,981945.2
2026-06-23,982208.95
2026-06-24,964708.7
2026-06-25,959381.5499999998
2026-06-29,970273.3999999999
2026-06-30,964069.8499999999
2026-07-01,964030.8999999999
2026-07-02,958344.25
2026-07-03,939751.2999999998
2026-07-06,937085.8499999999
2026-07-07,928723.0499999999
2026-07-08,925662.9999999999
2026-07-09,924923.7999999999
2026-07-10,933045.45
2026-07-13,934338.3999999999
2026-07-14,938465.0499999998
2026-07-15,930900.1499999999
2026-07-16,923783.4499999998
2026-07-17,914947.1499999999
2026-07-20,924369.8999999999
2026-07-21,931979.5999999999
2026-07-22,924880.8999999999
2026-07-23,912142.1499999999
2026-07-24,914873.0999999999
2026-07-27,918855.7999999998
2026-07-28,919052.5199999998
2026-07-29,919116.3899999999
2026-07-30,919075.5299999998
2026-07-31,919576.2499999998
2026-08-03,929162.4199999999
2026-08-04,926064.0699999998
2026-08-05,925519.8699999999
2026-08-06,924921.6199999999
2026-08-07,924241.9799999999
2026-08-10,924626.0099999998
2026-08-11,916691.1399999999
2026-08-12,918659.3699999999
2026-08-13,918890.6199999999
2026-08-14,914675.2099999998
2026-08-17,910978.7699999998
2026-08-18,915613.7699999998
