,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1004787.2000000001
2026-02-04,1005862.4
2026-02-05,1006456.3200000001
2026-02-06,1006804.4800000001
2026-02-09,1010859.52
2026-02-10,1014883.8400000001
2026-02-11,1019814.3999999999
2026-02-12,1019814.3999999999
2026-02-13,1019814.3999999999
2026-02-16,1019814.3999999999
2026-02-17,1019814.3999999999
2026-02-18,1019814.3999999999
2026-02-19,1019814.3999999999
2026-02-20,1019814.3999999999
2026-02-23,1019814.3999999999
2026-02-24,1019814.3999999999
2026-02-25,1019814.3999999999
2026-02-26,1019814.3999999999
2026-02-27,1019814.3999999999
2026-03-02,1019814.3999999999
2026-03-04,1019814.3999999999
2026-03-05,1020542.6028326328
2026-03-06,1020543.1636326329
2026-03-09,1012297.3636326329
2026-03-10,1020417.8736326329
2026-03-11,1027403.0736326328
2026-03-12,1019372.4736326329
2026-03-13,1006504.2736326329
2026-03-16,1000067.0736326328
2026-03-17,1005525.4736326329
2026-03-18,1006715.0736326328
2026-03-19,1000013.0736326328
2026-03-20,1001629.0736326328
2026-03-23,992205.8736326329
2026-03-24,992205.8736326329
2026-03-25,992205.8736326329
2026-03-27,992205.8736326329
2026-03-30,992205.8736326329
2026-04-01,992205.8736326329
2026-04-02,992205.8736326329
2026-04-06,992205.8736326329
2026-04-07,992205.8736326329
2026-04-08,992205.8736326329
2026-04-09,992205.8736326329
2026-04-10,992205.8736326329
2026-04-13,992205.8736326329
2026-04-15,992205.8736326329
2026-04-16,992205.8736326329
2026-04-17,992205.8736326329
2026-04-20,992205.8736326329
2026-04-21,992205.8736326329
2026-04-22,992205.8736326329
2026-04-23,992205.8736326329
2026-04-24,992205.8736326329
2026-04-27,992205.8736326329
2026-04-28,992205.8736326329
2026-04-29,992205.8736326329
2026-04-30,992205.8736326329
2026-05-04,992205.8736326329
2026-05-05,992205.8736326329
2026-05-06,992205.8736326329
2026-05-07,992205.8736326329
2026-05-08,992205.8736326329
2026-05-11,992205.8736326329
2026-05-12,992205.8736326329
2026-05-13,992205.8736326329
2026-05-14,992205.8736326329
2026-05-15,992205.8736326329
2026-05-18,992205.8736326329
2026-05-19,992205.8736326329
2026-05-20,992205.8736326329
2026-05-21,992205.8736326329
2026-05-22,992205.8736326329
2026-05-25,992205.8736326329
2026-05-26,992205.8736326329
2026-05-27,992205.8736326329
2026-05-29,992205.8736326329
2026-06-01,992205.8736326329
2026-06-02,992205.8736326329
2026-06-03,992205.8736326329
2026-06-04,992205.8736326329
2026-06-05,992205.8736326329
2026-06-08,992205.8736326329
2026-06-09,992205.8736326329
2026-06-10,992205.8736326329
2026-06-11,992205.8736326329
2026-06-12,992205.8736326329
2026-06-15,992205.8736326329
2026-06-16,992205.8736326329
2026-06-17,992205.8736326329
2026-06-18,992205.8736326329
2026-06-19,992205.8736326329
2026-06-22,992205.8736326329
2026-06-23,992205.8736326329
2026-06-24,992205.8736326329
2026-06-25,992205.8736326329
2026-06-29,992205.8736326329
2026-06-30,992205.8736326329
2026-07-01,992205.8736326329
2026-07-02,992205.8736326329
2026-07-03,992205.8736326329
2026-07-06,992205.8736326329
2026-07-07,992205.8736326329
2026-07-08,992205.8736326329
2026-07-09,992205.8736326329
2026-07-10,992205.8736326329
2026-07-13,992205.8736326329
2026-07-14,992205.8736326329
2026-07-15,992205.8736326329
2026-07-16,992205.8736326329
2026-07-17,992205.8736326329
2026-07-20,992205.8736326329
2026-07-21,992392.9836326329
2026-07-22,992152.0836326329
2026-07-23,993201.4836326329
2026-07-24,989779.3836326329
2026-07-27,991619.9371175563
2026-07-28,989347.4371175563
2026-07-29,987421.4371175563
2026-07-30,990997.7371175564
2026-07-31,999058.7371175564
2026-08-03,1003625.3371175564
2026-08-04,1001510.9371175563
2026-08-05,1002953.1766627858
2026-08-06,1001501.1766627858
2026-08-07,1001237.1766627858
2026-08-10,1000197.6766627858
2026-08-11,999191.1766627858
2026-08-12,999422.1766627858
2026-08-13,1000131.6766627858
2026-08-14,997442.1766627858
2026-08-17,996980.1766627858
2026-08-18,1002936.6766627858
