,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1009134.8715317594
2026-01-28,1024776.9395364813
2026-01-29,1027541.8569364812
2026-01-30,1027541.8569364812
2026-02-01,1027541.8569364812
2026-02-02,1027541.8569364812
2026-02-03,1033587.5470943805
2026-02-04,1035605.6470943805
2026-02-05,1036383.8070943805
2026-02-06,1034042.9870943804
2026-02-09,1044255.0710943805
2026-02-10,1053081.4310943806
2026-02-11,1058100.3110943804
2026-02-12,1053580.8110943804
2026-02-13,1048364.7445443803
2026-02-16,1053772.1445443803
2026-02-17,1061670.8945443803
2026-02-18,1075044.7475443804
2026-02-19,1061528.0475443802
2026-02-20,1068893.6475443803
2026-02-23,1065995.9975443801
2026-02-24,1062880.5975443802
2026-02-25,1068807.3770706824
2026-02-26,1062685.8270706823
2026-02-27,1060307.8770706824
2026-03-02,1054339.1270706824
2026-03-04,1054339.1270706824
2026-03-05,1054339.1270706824
2026-03-06,1057198.0111925928
2026-03-09,1044419.5111925929
2026-03-10,1062602.0004923395
2026-03-11,1077291.2004923397
2026-03-12,1077751.6504923396
2026-03-13,1053061.6661266082
2026-03-16,1045303.8661266081
2026-03-17,1057885.991126608
2026-03-18,1053956.2911266082
2026-03-19,1041532.7911266082
2026-03-20,1036513.191126608
2026-03-23,1026719.191126608
2026-03-24,1026719.191126608
2026-03-25,1025495.367126608
2026-03-27,1020135.367126608
2026-03-30,1020135.367126608
2026-04-01,1020135.367126608
2026-04-02,1020135.367126608
2026-04-06,1020135.367126608
2026-04-07,1020135.367126608
2026-04-08,1020135.367126608
2026-04-09,1020135.367126608
2026-04-10,1020135.367126608
2026-04-13,1020135.367126608
2026-04-15,1023712.532406608
2026-04-16,1023463.4924066081
2026-04-17,1023927.6124066081
2026-04-20,1024346.452406608
2026-04-21,1026644.412406608
2026-04-22,1029576.292406608
2026-04-23,1012822.692406608
2026-04-24,1012822.692406608
2026-04-27,1012822.692406608
2026-04-28,1012822.692406608
2026-04-29,1012822.692406608
2026-04-30,1012822.692406608
2026-05-04,1012822.692406608
2026-05-05,1012822.692406608
2026-05-06,1012822.692406608
2026-05-07,1012822.692406608
2026-05-08,1012822.692406608
2026-05-11,1012822.692406608
2026-05-12,1012822.692406608
2026-05-13,1016154.763806608
2026-05-14,1024777.2849123755
2026-05-15,1015291.4049123756
2026-05-18,1010839.8649123756
2026-05-19,1009747.0849123755
2026-05-20,1017815.9849123756
2026-05-21,1019689.2049123755
2026-05-22,1021571.7249123756
2026-05-25,1034836.8907123755
2026-05-26,1044952.947395073
2026-05-27,1044952.947395073
2026-05-29,1044952.947395073
2026-06-01,1044952.947395073
2026-06-02,1044952.947395073
2026-06-03,1044777.0175481671
2026-06-04,1054386.806248167
2026-06-05,1050823.806248167
2026-06-08,1029476.0062481673
2026-06-09,1034338.0062481673
2026-06-10,1032648.0062481673
2026-06-11,1029242.0062481673
2026-06-12,1034637.0062481673
2026-06-15,1031075.0062481673
2026-06-16,1032817.0062481673
2026-06-17,1040097.0062481673
2026-06-18,1042632.0062481673
2026-06-19,1053194.904665685
2026-06-22,1055630.904665685
2026-06-23,1056992.2094131317
2026-06-24,1047853.2094131316
2026-06-25,1047606.2094131316
2026-06-29,1046754.4404131316
2026-06-30,1045527.4404131316
2026-07-01,1050802.264833416
2026-07-02,1047912.2648334161
2026-07-03,1031202.4648334162
2026-07-06,1030243.4648334162
2026-07-07,1026106.0648334161
2026-07-08,1024133.2648334161
2026-07-09,1020190.1174613645
2026-07-10,1032039.3750202771
2026-07-13,1037927.4750202771
2026-07-14,1043144.2750202771
2026-07-15,1033668.0750202772
2026-07-16,1026334.3750202772
2026-07-17,1032275.9058702772
2026-07-20,1035622.3933202771
2026-07-21,1047253.6249202772
2026-07-22,1026474.3449202769
2026-07-23,1017342.8449202769
2026-07-24,1021751.444920277
2026-07-27,1027538.7270430378
2026-07-28,1023681.3187430378
2026-07-29,1023410.6687430379
2026-07-30,1019310.0687430379
2026-07-31,1028573.6059430378
2026-08-03,1038950.3943430377
2026-08-04,1040201.1943430377
2026-08-05,1041689.9943430377
2026-08-06,1041942.2943430378
2026-08-07,1039917.9943430377
2026-08-10,1042021.9943430377
2026-08-11,1033472.7943430378
2026-08-12,1031823.9943430377
2026-08-13,1031527.5697430377
2026-08-14,1025955.3697430377
2026-08-17,1025703.3697430377
2026-08-18,1027424.1697430378
