,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1004685.3987749151
2026-01-28,1015157.2024501696
2026-01-29,1015157.2024501696
2026-01-30,1015157.2024501696
2026-02-01,1015157.2024501696
2026-02-02,1015157.2024501696
2026-02-03,1019224.9530001695
2026-02-04,1019995.0950001696
2026-02-05,1015529.3450001696
2026-02-06,1011523.3450001696
2026-02-09,1018975.2450001696
2026-02-10,1032268.2950001695
2026-02-11,1031879.6450001696
2026-02-12,1031388.4450001696
2026-02-13,1014818.4950001695
2026-02-16,1035104.9700001695
2026-02-17,1040596.3700001696
2026-02-18,1048251.9700001695
2026-02-19,1045984.3700001696
2026-02-20,1056932.6200001694
2026-02-23,1056513.6200001696
2026-02-24,1056206.9700001695
2026-02-25,1064975.6975001695
2026-02-26,1070434.8975001695
2026-02-27,1067873.9715001695
2026-03-02,1070391.3215001696
2026-03-04,1064003.4215001694
2026-03-05,1073558.3609340575
2026-03-06,1073256.1020340575
2026-03-09,1064907.5020340576
2026-03-10,1084884.0284340577
2026-03-11,1088307.2687340574
2026-03-12,1086177.5187340574
2026-03-13,1076680.3687340575
2026-03-16,1067569.4687340576
2026-03-17,1073063.4187340576
2026-03-18,1071971.1687340576
2026-03-19,1063286.9687340576
2026-03-20,1067802.4687340576
2026-03-23,1063186.9187340576
2026-03-24,1063627.7187340576
2026-03-25,1067610.1187340575
2026-03-27,1068582.9187340576
2026-03-30,1067093.3187340575
2026-04-01,1072823.7187340576
2026-04-02,1071546.9187340576
2026-04-06,1072565.3187340575
2026-04-07,1070984.5187340574
2026-04-08,1071850.9187340576
2026-04-09,1072565.3187340575
2026-04-10,1073933.3187340575
2026-04-13,1072474.1187340575
2026-04-15,1077657.3187340575
2026-04-16,1079572.5187340574
2026-04-17,1079496.5187340574
2026-04-20,1076730.1187340575
2026-04-21,1080857.7395340574
2026-04-22,1080857.7395340574
2026-04-23,1080857.7395340574
2026-04-24,1080857.7395340574
2026-04-27,1080857.7395340574
2026-04-28,1080857.7395340574
2026-04-29,1080857.7395340574
2026-04-30,1080857.7395340574
2026-05-04,1091011.1272340575
2026-05-05,1090564.9272340573
2026-05-06,1094260.7641340576
2026-05-07,1093300.7641340573
2026-05-08,1093035.7641340576
2026-05-11,1093545.7641340573
2026-05-12,1090473.2641340576
2026-05-13,1088533.2641340573
2026-05-14,1097221.951906109
2026-05-15,1093704.271906109
2026-05-18,1091146.3319061091
2026-05-19,1095398.2509061089
2026-05-20,1100084.0509061092
2026-05-21,1106149.790906109
2026-05-22,1109928.310906109
2026-05-25,1122234.290906109
2026-05-26,1137770.6475899543
2026-05-27,1149500.9475899544
2026-05-29,1135928.0505899545
2026-06-01,1125957.6505899543
2026-06-02,1127942.1505899543
2026-06-03,1123537.7876779018
2026-06-04,1124694.887677902
2026-06-05,1116981.1876779017
2026-06-08,1088491.2876779018
2026-06-09,1105498.1876779017
2026-06-10,1083847.0876779018
2026-06-11,1079372.0876779018
2026-06-12,1089882.0876779018
2026-06-15,1088321.0876779018
2026-06-16,1088347.0876779018
2026-06-17,1102612.0876779018
2026-06-18,1105017.0876779018
2026-06-19,1112967.5876779018
2026-06-22,1114153.6500779018
2026-06-23,1116542.7500779019
2026-06-24,1098594.9500779018
2026-06-25,1093898.7500779019
2026-06-29,1103923.550077902
2026-06-30,1104322.061677902
2026-07-01,1094637.9116779019
2026-07-02,1092962.9116779019
2026-07-03,1085652.3244779017
2026-07-06,1085164.8244779017
2026-07-07,1081539.8244779017
2026-07-08,1079652.3244779017
2026-07-09,1079077.3244779017
2026-07-10,1083684.622277902
2026-07-13,1081795.5222779019
2026-07-14,1075245.4222779018
2026-07-15,1072589.250777902
2026-07-16,1070237.250777902
2026-07-17,1068164.750777902
2026-07-20,1068587.6687779021
2026-07-21,1076672.032877902
2026-07-22,1075477.1528779021
2026-07-23,1068975.9528779022
2026-07-24,1058484.7528779022
2026-07-27,1060357.8907779022
2026-07-28,1063937.3907779022
2026-07-29,1071529.4907779023
2026-07-30,1074428.990777902
2026-07-31,1095272.240777902
2026-08-03,1110952.827077902
2026-08-04,1119555.745077902
2026-08-05,1117891.745077902
2026-08-06,1116850.945077902
2026-08-07,1114568.245077902
2026-08-10,1115682.945077902
2026-08-11,1112821.945077902
2026-08-12,1119231.545077902
2026-08-13,1119178.245077902
2026-08-14,1112075.445077902
2026-08-17,1117589.545077902
2026-08-18,1121053.945077902
