,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,996055.9750000001
2026-01-21,993280.9750000001
2026-01-22,993280.9750000001
2026-01-23,993280.9750000001
2026-01-27,997966.3737749152
2026-01-28,1008438.1774501697
2026-01-29,1008438.1774501697
2026-01-30,1008438.1774501697
2026-02-01,1008438.1774501697
2026-02-02,1008438.1774501697
2026-02-03,1011330.1872501696
2026-02-04,1013189.3152501697
2026-02-05,1011090.6152501696
2026-02-06,1008969.8652501696
2026-02-09,1013482.0652501697
2026-02-10,1022588.6152501696
2026-02-11,1023338.2152501697
2026-02-12,1021833.8152501696
2026-02-13,1005342.8652501696
2026-02-16,1016462.4152501697
2026-02-17,1021916.8152501697
2026-02-18,1029519.3152501697
2026-02-19,1027259.8652501696
2026-02-20,1038130.7652501697
2026-02-23,1037716.5652501697
2026-02-24,1037410.5152501697
2026-02-25,1046118.2702501696
2026-02-26,1051539.8202501696
2026-02-27,1048994.7362501696
2026-03-02,1051495.9362501695
2026-03-04,1045150.3362501696
2026-03-05,1054616.9400840576
2026-03-06,1054286.0689840578
2026-03-09,1039589.5022840577
2026-03-10,1054956.6280674664
2026-03-11,1057009.0617674664
2026-03-12,1052833.2617674666
2026-03-13,1041741.0617674665
2026-03-16,1032442.3617674665
2026-03-17,1036933.9617674665
2026-03-18,1038415.9617674665
2026-03-19,1033035.1617674666
2026-03-20,1030891.9617674665
2026-03-23,1028224.3617674665
2026-03-24,1028224.3617674665
2026-03-25,1028224.3617674665
2026-03-27,1028224.3617674665
2026-03-30,1028224.3617674665
2026-04-01,1028224.3617674665
2026-04-02,1028224.3617674665
2026-04-06,1028224.3617674665
2026-04-07,1028224.3617674665
2026-04-08,1028224.3617674665
2026-04-09,1028224.3617674665
2026-04-10,1028224.3617674665
2026-04-13,1028224.3617674665
2026-04-15,1028224.3617674665
2026-04-16,1028224.3617674665
2026-04-17,1028224.3617674665
2026-04-20,1028224.3617674665
2026-04-21,1028224.3617674665
2026-04-22,1028224.3617674665
2026-04-23,1028224.3617674665
2026-04-24,1028224.3617674665
2026-04-27,1028224.3617674665
2026-04-28,1028224.3617674665
2026-04-29,1028224.3617674665
2026-04-30,1028224.3617674665
2026-05-04,1037854.3789674665
2026-05-05,1037431.1789674666
2026-05-06,1040938.6633674667
2026-05-07,1040017.0633674667
2026-05-08,1039762.6633674667
2026-05-11,1040252.2633674666
2026-05-12,1037302.6633674667
2026-05-13,1035440.2633674666
2026-05-14,1043753.8822509099
2026-05-15,1040402.44225091
2026-05-18,1037963.22225091
2026-05-19,1042009.3702509099
2026-05-20,1046476.27025091
2026-05-21,1052272.25025091
2026-05-22,1055870.91025091
2026-05-25,1067580.55025091
2026-05-26,1082363.3536005802
2026-05-27,1093544.95360058
2026-05-29,1080564.4665005803
2026-06-01,1070992.1665005803
2026-06-02,1072905.7665005801
2026-06-03,1068696.170121101
2026-06-04,1069848.670121101
2026-06-05,1062522.870121101
2026-06-08,1035228.2701211009
2026-06-09,1051502.6701211012
2026-06-10,1030842.170121101
2026-06-11,1026522.5701211011
2026-06-12,1036637.0701211011
2026-06-15,1035122.0701211011
2026-06-16,1035155.0701211011
2026-06-17,1048883.070121101
2026-06-18,1051203.570121101
2026-06-19,1058870.070121101
2026-06-22,1059986.6293211011
2026-06-23,1062189.9293211012
2026-06-24,1044965.0293211011
2026-06-25,1040462.9293211012
2026-06-29,1049987.8293211013
2026-06-30,1050351.7345211012
2026-07-01,1041092.2845211012
2026-07-02,1039471.5845211012
2026-07-03,1032423.4069211012
2026-07-06,1031955.4069211012
2026-07-07,1028475.4069211012
2026-07-08,1026663.4069211012
2026-07-09,1026111.4069211012
2026-07-10,1030522.4843211011
2026-07-13,1028719.6843211012
2026-07-14,1022507.8843211012
2026-07-15,1019975.1358211013
2026-07-16,1017734.1358211013
2026-07-17,1015725.6358211013
2026-07-20,1016132.9728211013
2026-07-21,1023835.4784211013
2026-07-22,1022620.2784211013
2026-07-23,1016432.3284211013
2026-07-24,1006413.0284211014
2026-07-27,1008231.5399211014
2026-07-28,1011448.6899211013
2026-07-29,1018590.8899211014
2026-07-30,1021227.3899211014
2026-07-31,1041208.8499211012
2026-08-03,1056069.8654211015
2026-08-04,1061319.6824211013
2026-08-05,1061898.1824211013
2026-08-06,1060627.9824211013
2026-08-07,1060082.5324211014
2026-08-10,1064423.7324211013
2026-08-11,1061868.6824211013
2026-08-12,1066834.4824211013
2026-08-13,1071915.4824211013
2026-08-14,1066510.0324211014
2026-08-17,1071307.0824211012
2026-08-18,1077319.4824211013
