,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1002342.6993874576
2026-01-28,1007578.6012250849
2026-01-29,1007578.6012250849
2026-01-30,1007578.6012250849
2026-02-01,1007578.6012250849
2026-02-02,1007578.6012250849
2026-02-03,1009601.6436250848
2026-02-04,1009976.4356250849
2026-02-05,1007748.4856250848
2026-02-06,1005753.2356250848
2026-02-09,1009465.4856250848
2026-02-10,1016076.0356250849
2026-02-11,1015877.1356250849
2026-02-12,1015636.5856250848
2026-02-13,1007415.4856250848
2026-02-16,1017517.1231250848
2026-02-17,1020244.1731250848
2026-02-18,1024045.9231250848
2026-02-19,1022911.1731250848
2026-02-20,1028344.6231250848
2026-02-23,1028139.0231250848
2026-02-24,1027985.5731250849
2026-02-25,1032338.9756250848
2026-02-26,1035048.4256250849
2026-02-27,1033775.1496250848
2026-03-02,1035025.7496250847
2026-03-04,1031852.9496250848
2026-03-05,1036533.9334414012
2026-03-06,1036366.3262414013
2026-03-09,1032195.2262414012
2026-03-10,1043102.2233573255
2026-03-11,1045685.2977573255
2026-03-12,1044198.5977573255
2026-03-13,1037255.0977573255
2026-03-16,1031154.0977573255
2026-03-17,1033924.6977573254
2026-03-18,1033271.6977573254
2026-03-19,1028818.2977573255
2026-03-20,1031346.4977573254
2026-03-23,1028971.2977573255
2026-03-24,1029209.0977573254
2026-03-25,1031357.4977573254
2026-03-27,1031882.2977573255
2026-03-30,1031078.6977573255
2026-04-01,1034170.0977573254
2026-04-02,1033481.2977573255
2026-04-06,1034030.6977573255
2026-04-07,1033177.8977573254
2026-04-08,1033645.2977573255
2026-04-09,1034030.6977573255
2026-04-10,1034768.6977573255
2026-04-13,1033981.4977573254
2026-04-15,1036777.6977573255
2026-04-16,1037810.8977573254
2026-04-17,1037769.8977573254
2026-04-20,1036277.4977573254
2026-04-21,1038504.2405573254
2026-04-22,1038504.2405573254
2026-04-23,1038504.2405573254
2026-04-24,1038504.2405573254
2026-04-27,1038504.2405573254
2026-04-28,1038504.2405573254
2026-04-29,1038504.2405573254
2026-04-30,1038504.2405573254
2026-05-04,1043371.5862073253
2026-05-05,1043157.6862073254
2026-05-06,1044989.2292573254
2026-05-07,1044221.2292573254
2026-05-08,1044009.2292573254
2026-05-11,1044417.2292573254
2026-05-12,1041959.2292573254
2026-05-13,1040407.2292573254
2026-05-14,1046518.9136987601
2026-05-15,1044483.3936987601
2026-05-18,1042937.23369876
2026-05-19,1044911.7491987601
2026-05-20,1047499.99919876
2026-05-21,1051297.88919876
2026-05-22,1053286.46919876
2026-05-25,1059943.53919876
2026-05-26,1068074.765874456
2026-05-27,1074789.665874456
2026-05-29,1065993.8485744558
2026-06-01,1058791.5985744558
2026-06-02,1060675.8985744559
2026-06-03,1057951.5013904166
2026-06-04,1059749.9513904164
2026-06-05,1053571.8953904165
2026-06-08,1029687.8953904165
2026-06-09,1040247.1453904166
2026-06-10,1028038.1453904166
2026-06-11,1024523.3453904166
2026-06-12,1032640.8453904166
2026-06-15,1031583.8453904166
2026-06-16,1031510.8453904166
2026-06-17,1042530.8453904166
2026-06-18,1044318.3453904166
2026-06-19,1050281.8453904167
2026-06-22,1050773.7495904167
2026-06-23,1050475.5495904167
2026-06-24,1037997.6495904166
2026-06-25,1034471.5495904166
2026-06-29,1040006.9495904166
2026-06-30,1039826.3659904166
2026-07-01,1033415.4159904167
2026-07-02,1032009.6159904166
2026-07-03,1026435.5033904166
2026-07-06,1026045.5033904166
2026-07-07,1023145.5033904166
2026-07-08,1021635.5033904166
2026-07-09,1021175.5033904166
2026-07-10,1024517.0420904167
2026-07-13,1023315.6420904166
2026-07-14,1020277.7420904166
2026-07-15,1018792.1389904165
2026-07-16,1017540.3389904166
2026-07-17,1015178.8389904166
2026-07-20,1015493.6499904166
2026-07-21,1020287.9395904166
2026-07-22,1019806.8995904166
2026-07-23,1016421.4495904166
2026-07-24,1010615.3495904166
2026-07-27,1012001.8069904167
2026-07-28,1015986.8049904166
2026-07-29,1022139.4577904167
2026-07-30,1022537.4577904167
2026-07-31,1034265.2377904166
2026-08-03,1044627.1155904166
2026-08-04,1047559.6245904166
2026-08-05,1047970.0245904166
2026-08-06,1046984.6245904166
2026-08-07,1046582.2745904166
2026-08-10,1048522.4745904165
2026-08-11,1047531.9245904165
2026-08-12,1050939.6245904164
2026-08-13,1052145.5245904166
2026-08-14,1046777.1745904165
2026-08-17,1050575.7245904165
2026-08-18,1050926.1245904164
