,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1004393.6942
2026-01-28,1009439.2942000001
2026-01-29,1012204.2116
2026-01-30,1012204.2116
2026-02-01,1012204.2116
2026-02-02,1012204.2116
2026-02-03,1015745.1656000002
2026-02-04,1020552.4076
2026-02-05,1022205.4827200002
2026-02-06,1021112.1927200002
2026-02-09,1032903.0127200002
2026-02-10,1040245.6527200001
2026-02-11,1046697.1477200001
2026-02-12,1048635.66772
2026-02-13,1033455.15772
2026-02-16,1042611.2077200001
2026-02-17,1052727.0277200001
2026-02-18,1057458.5446354009
2026-02-19,1049864.9946354008
2026-02-20,1058818.1946354008
2026-02-23,1059390.709755932
2026-02-24,1052569.559755932
2026-02-25,1062230.334755932
2026-02-26,1069379.384755932
2026-02-27,1065908.408755932
2026-03-02,1060053.308755932
2026-03-04,1050633.308755932
2026-03-05,1062856.6553898202
2026-03-06,1068444.2946898201
2026-03-09,1055657.99468982
2026-03-10,1073897.5246898201
2026-03-11,1071339.31668982
2026-03-12,1072516.81668982
2026-03-13,1065016.9987898201
2026-03-16,1055929.9987898201
2026-03-17,1068429.9467898202
2026-03-18,1062153.74678982
2026-03-19,1047975.5467898202
2026-03-20,1036790.2947898202
2026-03-23,1030579.6947898202
2026-03-24,1031014.6947898202
2026-03-25,1034944.6947898202
2026-03-27,1035904.6947898202
2026-03-30,1034434.6947898202
2026-04-01,1040089.6947898202
2026-04-02,1038829.6947898202
2026-04-06,1039834.6947898202
2026-04-07,1038274.6947898202
2026-04-08,1039129.6947898202
2026-04-09,1039834.6947898202
2026-04-10,1041184.6947898202
2026-04-13,1039744.6947898202
2026-04-15,1044859.6947898202
2026-04-16,1046749.6947898202
2026-04-17,1046674.6947898202
2026-04-20,1043944.6947898202
2026-04-21,1048018.0047898202
2026-04-22,1048018.0047898202
2026-04-23,1048018.0047898202
2026-04-24,1048018.0047898202
2026-04-27,1048018.0047898202
2026-04-28,1048018.0047898202
2026-04-29,1048018.0047898202
2026-04-30,1048018.0047898202
2026-05-04,1048018.0047898202
2026-05-05,1048018.0047898202
2026-05-06,1048197.1407898202
2026-05-07,1056648.9957898203
2026-05-08,1056045.7957898201
2026-05-11,1056241.0957898202
2026-05-12,1045225.4957898202
2026-05-13,1050403.3849898202
2026-05-14,1065081.507762044
2026-05-15,1050258.908762044
2026-05-18,1034775.078762044
2026-05-19,1032288.516262044
2026-05-20,1041268.7162620439
2026-05-21,1048182.556262044
2026-05-22,1051828.546262044
2026-05-25,1067146.7886620439
2026-05-26,1081296.2103453726
2026-05-27,1083675.5103453726
2026-05-29,1075134.4732453725
2026-06-01,1062824.4232453727
2026-06-02,1063795.5232453726
2026-06-03,1062152.5748658935
2026-06-04,1069262.6248658933
2026-06-05,1066822.9248658936
2026-06-08,1041472.9248658934
2026-06-09,1064767.9748658934
2026-06-10,1049062.9748658934
2026-06-11,1046059.1748658933
2026-06-12,1060304.6748658933
2026-06-15,1063188.7308658934
2026-06-16,1063221.7308658934
2026-06-17,1076949.7308658934
2026-06-18,1082072.142592342
2026-06-19,1087464.9425923422
2026-06-22,1093206.8787923423
2026-06-23,1093660.0269923422
2026-06-24,1074048.6269923423
2026-06-25,1071645.1269923423
2026-06-29,1081417.915342342
2026-06-30,1080446.7153423424
2026-07-01,1075986.165342342
2026-07-02,1074270.665342342
2026-07-03,1067460.1216423423
2026-07-06,1074282.1216423423
2026-07-07,1074609.1216423423
2026-07-08,1073404.6216423423
2026-07-09,1066629.7729849746
2026-07-10,1083745.8557568989
2026-07-13,1083496.0557568988
2026-07-14,1085757.1557568987
2026-07-15,1079754.7817412019
2026-07-16,1084286.4532412018
2026-07-17,1078851.0532412017
2026-07-20,1082127.3662412018
2026-07-21,1087187.6662412018
2026-07-22,1083788.7162412019
2026-07-23,1073467.566241202
2026-07-24,1075094.8662412018
2026-07-27,1093562.3624909755
2026-07-28,1099652.4913909754
2026-07-29,1104431.3413909755
2026-07-30,1106261.5413909755
2026-07-31,1115698.7913909752
2026-08-03,1117966.9413909754
2026-08-04,1129030.3113909753
2026-08-05,1127257.8113909753
2026-08-06,1128989.0113909752
2026-08-07,1127730.1613909754
2026-08-10,1132391.7613909752
2026-08-11,1127316.7113909754
2026-08-12,1132120.2113909754
2026-08-13,1139206.473345867
2026-08-14,1135996.423345867
2026-08-17,1137931.3733458668
2026-08-18,1139453.373345867
