,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1004685.3987749151
2026-01-28,1015157.2024501696
2026-01-29,1015157.2024501696
2026-01-30,1015157.2024501696
2026-02-01,1015157.2024501696
2026-02-02,1015157.2024501696
2026-02-03,1021704.9256001696
2026-02-04,1025272.8756001696
2026-02-05,1022743.2156001696
2026-02-06,1022414.5178001695
2026-02-09,1031038.3758001695
2026-02-10,1039885.3758001697
2026-02-11,1043139.3258001695
2026-02-12,1042169.4258001695
2026-02-13,1031641.8258001695
2026-02-16,1045627.8508001695
2026-02-17,1054682.9508001695
2026-02-18,1063531.1508001694
2026-02-19,1050318.5008001695
2026-02-20,1057344.1508001694
2026-02-23,1060000.7508001695
2026-02-24,1058323.4508001695
2026-02-25,1072592.0283001694
2026-02-26,1077148.5783001694
2026-02-27,1068860.5283001694
2026-03-02,1068321.4783001693
2026-03-04,1054049.5783001694
2026-03-05,1063578.9749340576
2026-03-06,1063258.4349340575
2026-03-09,1054908.6349340577
2026-03-10,1069648.2911840577
2026-03-11,1070661.3031840576
2026-03-12,1069742.1031840574
2026-03-13,1053018.2531840575
2026-03-16,1046476.1531840576
2026-03-17,1050997.3031840576
2026-03-18,1052489.0531840576
2026-03-19,1047072.8531840576
2026-03-20,1044915.5531840576
2026-03-23,1042230.4031840576
2026-03-24,1042230.4031840576
2026-03-25,1042230.4031840576
2026-03-27,1042230.4031840576
2026-03-30,1042230.4031840576
2026-04-01,1042230.4031840576
2026-04-02,1042230.4031840576
2026-04-06,1042230.4031840576
2026-04-07,1042230.4031840576
2026-04-08,1042230.4031840576
2026-04-09,1042230.4031840576
2026-04-10,1042230.4031840576
2026-04-13,1042230.4031840576
2026-04-15,1045886.5694640576
2026-04-16,1045790.1358640577
2026-04-17,1046804.2058640576
2026-04-20,1048517.2958640576
2026-04-21,1051791.2058640576
2026-04-22,1058360.1358640576
2026-04-23,1041454.9858640577
2026-04-24,1037227.3358640576
2026-04-27,1044641.7858640576
2026-04-28,1046466.4858640577
2026-04-29,1041197.9858640577
2026-04-30,1041390.7358640577
2026-05-04,1051473.3142140578
2026-05-05,1050953.2642140575
2026-05-06,1056051.6291640576
2026-05-07,1057147.6291640576
2026-05-08,1055674.7291640576
2026-05-11,1052445.3791640576
2026-05-12,1039426.9791640576
2026-05-13,1035238.2291640576
2026-05-14,1044705.6541586055
2026-05-15,1041902.1041586056
2026-05-18,1043029.4541586055
2026-05-19,1048142.8666586056
2026-05-20,1053675.0166586055
2026-05-21,1062530.4066586057
2026-05-22,1066897.0566586056
2026-05-25,1080117.8066586056
2026-05-26,1099829.0316749616
2026-05-27,1117933.4816749617
2026-05-29,1110453.0932907823
2026-06-01,1104636.7432907822
2026-06-02,1106106.7432907822
2026-06-03,1102414.1803787297
2026-06-04,1104391.2303787298
2026-06-05,1092789.9413787297
2026-06-08,1059978.3413787298
2026-06-09,1076747.2913787297
2026-06-10,1052991.4413787297
2026-06-11,1048423.4413787297
2026-06-12,1064295.9413787297
2026-06-15,1063709.9413787297
2026-06-16,1063210.9413787297
2026-06-17,1082350.9413787297
2026-06-18,1085618.4413787297
2026-06-19,1092106.4413787297
2026-06-22,1097012.8775787298
2026-06-23,1093079.1775787296
2026-06-24,1076786.7775787297
2026-06-25,1071540.6775787296
2026-06-29,1076652.0775787297
2026-06-30,1076731.8859787297
2026-07-01,1066559.3359787297
2026-07-02,1056486.7359787296
2026-07-03,1049205.9273787297
2026-07-06,1048718.4273787297
2026-07-07,1045093.4273787297
2026-07-08,1043205.9273787297
2026-07-09,1042630.9273787297
2026-07-10,1047211.1149787296
2026-07-13,1045346.4149787297
2026-07-14,1038969.7149787297
2026-07-15,1036370.7972787297
2026-07-16,1034075.1972787298
2026-07-17,1031939.6972787298
2026-07-20,1032367.4282787298
2026-07-21,1040859.8082787298
2026-07-22,1042986.5782787298
2026-07-23,1036612.2282787298
2026-07-24,1026438.0282787299
2026-07-27,1028255.1496787299
2026-07-28,1031619.3996787299
2026-07-29,1038931.8996787299
2026-07-30,1041624.6996787298
2026-07-31,1061944.7896787296
2026-08-03,1077141.1754787297
2026-08-04,1082772.2344787298
2026-08-05,1083420.2344787298
2026-08-06,1082147.1344787297
2026-08-07,1081644.9844787298
2026-08-10,1086070.3844787297
2026-08-11,1083511.5344787296
2026-08-12,1088584.5344787296
2026-08-13,1093741.3344787299
2026-08-14,1088258.9844787298
2026-08-17,1093189.1344787297
2026-08-18,1099217.3344787299
