,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,996055.9750000001
2026-01-21,993280.9750000001
2026-01-22,993280.9750000001
2026-01-23,993280.9750000001
2026-01-27,997966.3737749152
2026-01-28,1008438.1774501697
2026-01-29,1008438.1774501697
2026-01-30,1008438.1774501697
2026-02-01,1008438.1774501697
2026-02-02,1008438.1774501697
2026-02-03,1010972.6192501696
2026-02-04,1016237.3792501697
2026-02-05,1013617.2792501696
2026-02-06,1010711.7792501696
2026-02-09,1020321.0792501697
2026-02-10,1029043.9792501697
2026-02-11,1028968.7792501696
2026-02-12,1028397.4792501696
2026-02-13,1010856.2792501696
2026-02-16,1022259.9792501697
2026-02-17,1027763.2792501696
2026-02-18,1036434.7792501696
2026-02-19,1028493.4792501696
2026-02-20,1040608.3792501696
2026-02-23,1043465.1792501697
2026-02-24,1042921.6792501697
2026-02-25,1057484.2434860095
2026-02-26,1062480.5434860096
2026-02-27,1051296.8634860092
2026-03-02,1048309.6634860093
2026-03-04,1031766.6634860093
2026-03-05,1041154.1739186423
2026-03-06,1040840.6217186423
2026-03-09,1024982.5377186423
2026-03-10,1039613.9377186425
2026-03-11,1040064.2715186423
2026-03-12,1036966.4715186424
2026-03-13,1029877.0715186424
2026-03-16,1023438.6715186423
2026-03-17,1027930.2715186423
2026-03-18,1029412.2715186423
2026-03-19,1024031.4715186424
2026-03-20,1021888.2715186423
2026-03-23,1019220.6715186423
2026-03-24,1019220.6715186423
2026-03-25,1019220.6715186423
2026-03-27,1019220.6715186423
2026-03-30,1019220.6715186423
2026-04-01,1019220.6715186423
2026-04-02,1019220.6715186423
2026-04-06,1019220.6715186423
2026-04-07,1019220.6715186423
2026-04-08,1019220.6715186423
2026-04-09,1019220.6715186423
2026-04-10,1019220.6715186423
2026-04-13,1019220.6715186423
2026-04-15,1019220.6715186423
2026-04-16,1019220.6715186423
2026-04-17,1019220.6715186423
2026-04-20,1019220.6715186423
2026-04-21,1019220.6715186423
2026-04-22,1019220.6715186423
2026-04-23,1019220.6715186423
2026-04-24,1019220.6715186423
2026-04-27,1019220.6715186423
2026-04-28,1019220.6715186423
2026-04-29,1019220.6715186423
2026-04-30,1019220.6715186423
2026-05-04,1032527.3124186425
2026-05-05,1033240.2124186424
2026-05-06,1039872.4191186425
2026-05-07,1042148.5257186424
2026-05-08,1041894.1257186424
2026-05-11,1042383.7257186424
2026-05-12,1039434.1257186424
2026-05-13,1037571.7257186424
2026-05-14,1045892.1568242951
2026-05-15,1042534.396824295
2026-05-18,1040091.1168242951
2026-05-19,1044143.336324295
2026-05-20,1048616.386324295
2026-05-21,1054413.7963242952
2026-05-22,1058014.136324295
2026-05-25,1069753.4463242951
2026-05-26,1084564.993007337
2026-05-27,1095745.0930073368
2026-05-29,1084785.743007337
2026-06-01,1079052.393007337
2026-06-02,1080429.893007337
2026-06-03,1076801.5966278578
2026-06-04,1078611.3466278575
2026-06-05,1067154.5866278578
2026-06-08,1035106.1866278579
2026-06-09,1051510.4366278579
2026-06-10,1031914.3366278578
2026-06-11,1028737.3366278578
2026-06-12,1038851.8366278578
2026-06-15,1037336.8366278578
2026-06-16,1037369.8366278578
2026-06-17,1051097.8366278578
2026-06-18,1053418.3366278578
2026-06-19,1061084.8366278578
2026-06-22,1062201.3958278578
2026-06-23,1064404.6958278578
2026-06-24,1047179.7958278578
2026-06-25,1042677.6958278578
2026-06-29,1052202.595827858
2026-06-30,1052563.7846278579
2026-07-01,1043304.1846278579
2026-07-02,1041671.4846278578
2026-07-03,1034615.2070278578
2026-07-06,1034147.2070278578
2026-07-07,1030667.2070278578
2026-07-08,1028855.2070278578
2026-07-09,1028303.2070278578
2026-07-10,1031984.0315278578
2026-07-13,1025221.8315278578
2026-07-14,1018923.3315278578
2026-07-15,1016390.5830278578
2026-07-16,1014149.5830278578
2026-07-17,1012141.0830278578
2026-07-20,1012549.0210278579
2026-07-21,1020853.9010278579
2026-07-22,1022920.7810278578
2026-07-23,1016731.6810278578
2026-07-24,1006712.4810278579
2026-07-27,1008528.7925278579
2026-07-28,1011745.1925278578
2026-07-29,1018885.4925278579
2026-07-30,1021526.9925278579
2026-07-31,1039751.1600278579
2026-08-03,1059301.8255278578
2026-08-04,1064972.7005278578
2026-08-05,1062266.2005278578
2026-08-06,1060889.9005278577
2026-08-07,1055562.8005278578
2026-08-10,1059099.4005278577
2026-08-11,1055521.9005278577
2026-08-12,1062008.5005278578
2026-08-13,1063149.2005278578
2026-08-14,1051860.9005278577
2026-08-17,1057562.3005278578
2026-08-18,1058022.8005278578
