,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1004759.5798384754
2026-02-04,1005413.4298384755
2026-02-05,1000651.3798384755
2026-02-06,992721.5298384754
2026-02-09,1003311.5298384754
2026-02-10,1013563.6298384755
2026-02-11,1014601.7798384754
2026-02-12,1013269.0798384754
2026-02-13,1003301.9798384754
2026-02-16,1015013.3493384755
2026-02-17,1022938.1493384755
2026-02-18,1031080.2859384755
2026-02-19,1017153.3359384754
2026-02-20,1027707.3859384755
2026-02-23,1031454.9859384755
2026-02-24,1028433.9859384755
2026-02-25,1046880.5572730489
2026-02-26,1051853.507273049
2026-02-27,1047243.257273049
2026-03-02,1041401.8072730489
2026-03-04,1032167.507273049
2026-03-05,1044167.7105056819
2026-03-06,1046506.5083056819
2026-03-09,1038570.8083056819
2026-03-10,1058015.141905682
2026-03-11,1061312.497305682
2026-03-12,1059267.1473056818
2026-03-13,1049940.997305682
2026-03-16,1041031.097305682
2026-03-17,1053357.072305682
2026-03-18,1047160.822305682
2026-03-19,1033180.922305682
2026-03-20,1030829.022305682
2026-03-23,1026299.3723056819
2026-03-24,1026728.5723056819
2026-03-25,1030606.172305682
2026-03-27,1031553.3723056819
2026-03-30,1030102.972305682
2026-04-01,1035682.5723056819
2026-04-02,1034439.3723056819
2026-04-06,1035430.972305682
2026-04-07,1033891.772305682
2026-04-08,1034735.3723056819
2026-04-09,1035430.972305682
2026-04-10,1036762.972305682
2026-04-13,1035342.172305682
2026-04-15,1040388.972305682
2026-04-16,1042253.772305682
2026-04-17,1042179.772305682
2026-04-20,1039486.172305682
2026-04-21,1043505.1715056818
2026-04-22,1043505.1715056818
2026-04-23,1043505.1715056818
2026-04-24,1043505.1715056818
2026-04-27,1043505.1715056818
2026-04-28,1043505.1715056818
2026-04-29,1043505.1715056818
2026-04-30,1043505.1715056818
2026-05-04,1053292.1998556817
2026-05-05,1052862.0998556819
2026-05-06,1056431.3148056818
2026-05-07,1064930.7648056818
2026-05-08,1064313.7648056818
2026-05-11,1064526.7648056818
2026-05-12,1053314.2648056818
2026-05-13,1054993.2648056818
2026-05-14,1063916.5814668008
2026-05-15,1056549.3814668008
2026-05-18,1051617.2814668007
2026-05-19,1051986.3184668007
2026-05-20,1053661.1184668008
2026-05-21,1059587.4484668006
2026-05-22,1063229.5484668007
2026-05-25,1075184.8484668008
2026-05-26,1090216.5984834437
2026-05-27,1101575.7984834437
2026-05-29,1088373.5113834436
2026-06-01,1078666.2113834438
2026-06-02,1080657.3113834437
2026-06-03,1076391.2150039645
2026-06-04,1077598.1150039644
2026-06-05,1070262.6150039644
2026-06-08,1042696.3150039645
2026-06-09,1059166.3150039646
2026-06-10,1038284.0150039645
2026-06-11,1033979.4150039644
2026-06-12,1044281.9150039644
2026-06-15,1042857.9150039644
2026-06-16,1042816.9150039644
2026-06-17,1056801.9150039644
2026-06-18,1059109.4150039644
2026-06-19,1066776.4150039644
2026-06-22,1067932.3496039645
2026-06-23,1070096.2496039644
2026-06-24,1052687.5496039647
2026-06-25,1048030.2496039645
2026-06-29,1059199.3827039646
2026-06-30,1058634.8223039645
2026-07-01,1054576.3723039646
2026-07-02,1049175.1723039646
2026-07-03,1031052.8592039645
2026-07-06,1037639.3592039645
2026-07-07,1037708.5592039644
2026-07-08,1036410.5592039644
2026-07-09,1030683.0008039644
2026-07-10,1040843.0779022451
2026-07-13,1039529.177902245
2026-07-14,1036181.477902245
2026-07-15,1030067.344802245
2026-07-16,1027544.572702245
2026-07-17,1031922.5095022451
2026-07-20,1037083.9509910312
2026-07-21,1045315.9615910312
2026-07-22,1042802.1315910311
2026-07-23,1028185.4315910311
2026-07-24,1017774.6315910312
2026-07-27,1029632.7224210312
2026-07-28,1036333.4729310313
2026-07-29,1042315.2329310313
2026-07-30,1043619.0329310312
2026-07-31,1059493.3229310312
2026-08-03,1058189.2229310311
2026-08-04,1063014.497931031
2026-08-05,1064946.997931031
2026-08-06,1064671.497931031
2026-08-07,1061095.497931031
2026-08-10,1064729.997931031
2026-08-11,1062553.997931031
2026-08-12,1067125.497931031
2026-08-13,1070170.997931031
2026-08-14,1062555.497931031
2026-08-17,1067099.997931031
2026-08-18,1067283.497931031
