,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000270.751
2026-01-28,1010595.751
2026-01-29,1016082.751
2026-01-30,1006760.751
2026-02-01,990063.751
2026-02-02,990063.751
2026-02-03,994032.28
2026-02-04,994763.5920000002
2026-02-05,990388.2420000001
2026-02-06,986481.392
2026-02-09,993762.842
2026-02-10,1006751.9920000001
2026-02-11,1006360.092
2026-02-12,1005887.942
2026-02-13,989728.642
2026-02-16,1009570.0115
2026-02-17,1014926.2615000001
2026-02-18,1022400.8115000001
2026-02-19,1020168.8615
2026-02-20,1030850.9115
2026-02-23,1030455.7115000001
2026-02-24,1030154.0615
2026-02-25,1038713.198
2026-02-26,1044034.6479999999
2026-02-27,1041527.0119999999
2026-03-02,1043977.4119999999
2026-03-04,1037730.6119999998
2026-03-05,1047070.8730338879
2026-03-06,1046720.720833888
2026-03-09,1038591.420833888
2026-03-10,1058029.754433888
2026-03-11,1061254.3598338878
2026-03-12,1059102.259833888
2026-03-13,1049822.3598338878
2026-03-16,1040887.9598338879
2026-03-17,1046247.959833888
2026-03-18,1045187.959833888
2026-03-19,1036719.559833888
2026-03-20,1041111.1598338879
2026-03-23,1036610.7598338879
2026-03-24,1037039.9598338879
2026-03-25,1040917.559833888
2026-03-27,1041864.7598338879
2026-03-30,1040414.359833888
2026-04-01,1045993.9598338879
2026-04-02,1044750.7598338879
2026-04-06,1045742.359833888
2026-04-07,1044203.1598338879
2026-04-08,1045046.7598338879
2026-04-09,1045742.359833888
2026-04-10,1047074.359833888
2026-04-13,1045653.559833888
2026-04-15,1050700.359833888
2026-04-16,1052565.159833888
2026-04-17,1052491.159833888
2026-04-20,1049797.559833888
2026-04-21,1053816.559033888
2026-04-22,1053816.559033888
2026-04-23,1053816.559033888
2026-04-24,1053816.559033888
2026-04-27,1053816.559033888
2026-04-28,1053816.559033888
2026-04-29,1053816.559033888
2026-04-30,1053816.559033888
2026-05-04,1053816.559033888
2026-05-05,1063213.0695427898
2026-05-06,1068473.4195427897
2026-05-07,1073027.1695427897
2026-05-08,1073805.1380160842
2026-05-11,1074315.1380160842
2026-05-12,1071242.6380160842
2026-05-13,1069302.6380160842
2026-05-14,1074932.6380160842
2026-05-15,1074252.6380160842
2026-05-18,1073517.6380160842
2026-05-19,1077886.7305160842
2026-05-20,1081497.4805160842
2026-05-21,1088320.0205160843
2026-05-22,1092059.1205160844
2026-05-25,1091750.9705160842
2026-05-26,1096383.7705160843
2026-05-27,1107992.8705160844
2026-05-29,1094595.6334160843
2026-06-01,1084816.9834160842
2026-06-02,1086795.5834160843
2026-06-03,1082640.5834160843
2026-06-04,1080455.8334160843
2026-06-05,1069677.7734160842
2026-06-08,1043526.2734160842
2026-06-09,1055169.9234160844
2026-06-10,1035617.3234160843
2026-06-11,1034849.7234160844
2026-06-12,1039549.7234160844
2026-06-15,1041824.7234160844
2026-06-16,1039974.7234160844
2026-06-17,1051412.7794160843
2026-06-18,1054695.2794160843
2026-06-19,1066586.1114160842
2026-06-22,1068795.0460160845
2026-06-23,1073402.4460160844
2026-06-24,1065484.2460160844
2026-06-25,1061083.4460160844
2026-06-29,1073178.1460160844
2026-06-30,1073842.2708160845
2026-07-01,1065681.1708160844
2026-07-02,1065960.4708160844
2026-07-03,1065368.2670160844
2026-07-06,1064880.7670160844
2026-07-07,1061255.7670160844
2026-07-08,1059368.2670160844
2026-07-09,1058793.2670160844
2026-07-10,1062343.2670160844
2026-07-13,1061405.7670160844
2026-07-14,1061618.2670160844
2026-07-15,1058504.6438160844
2026-07-16,1054416.4438160844
2026-07-17,1050191.4438160844
2026-07-20,1050516.0688160844
2026-07-21,1053852.0188160844
2026-07-22,1056585.7788160844
2026-07-23,1056829.3288160842
2026-07-24,1050242.4288160843
2026-07-27,1053495.2288160843
2026-07-28,1053936.8788160845
2026-07-29,1058872.0460160845
2026-07-30,1062898.2460160842
2026-07-31,1080596.7660160842
2026-08-03,1085872.0160160842
2026-08-04,1093581.2410160843
2026-08-05,1093350.8410160842
2026-08-06,1092071.6410160842
2026-08-07,1090262.5910160842
2026-08-10,1092712.2910160841
2026-08-11,1090515.3410160842
2026-08-12,1095917.8410160842
2026-08-13,1097297.8410160842
2026-08-14,1089397.0910160842
2026-08-17,1094736.7410160843
2026-08-18,1096282.1410160842
