,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1003998.5704
2026-02-04,1004757.4344
2026-02-05,1000368.8344
2026-02-06,996436.9844000001
2026-02-09,1003759.4844000001
2026-02-10,1016833.4344
2026-02-11,1016453.7344000001
2026-02-12,1015966.0344
2026-02-13,999648.3844000001
2026-02-16,1019588.0538999999
2026-02-17,1024994.6539
2026-02-18,1032535.8539
2026-02-19,1030299.1039
2026-02-20,1041082.0038999999
2026-02-23,1040674.2039
2026-02-24,1040371.9539
2026-02-25,1049009.0619
2026-02-26,1054383.2119
2026-02-27,1051858.3199
2026-03-02,1054334.1198999998
2026-03-04,1048037.9199
2026-03-05,1057454.123733888
2026-03-06,1057122.752633888
2026-03-09,1048916.652633888
2026-03-10,1068525.434433888
2026-03-11,1071806.868133888
2026-03-12,1069659.668133888
2026-03-13,1060307.768133888
2026-03-16,1051316.868133888
2026-03-17,1056722.668133888
2026-03-18,1055658.668133888
2026-03-19,1047121.568133888
2026-03-20,1051538.268133888
2026-03-23,1047001.768133888
2026-03-24,1047433.868133888
2026-03-25,1051337.668133888
2026-03-27,1052291.268133888
2026-03-30,1050831.068133888
2026-04-01,1056448.3681338879
2026-04-02,1055196.768133888
2026-04-06,1056195.068133888
2026-04-07,1054645.468133888
2026-04-08,1055494.768133888
2026-04-09,1056195.068133888
2026-04-10,1057536.068133888
2026-04-13,1056105.668133888
2026-04-15,1061186.568133888
2026-04-16,1063063.968133888
2026-04-17,1062989.468133888
2026-04-20,1060277.668133888
2026-04-21,1064323.822733888
2026-04-22,1064323.822733888
2026-04-23,1064323.822733888
2026-04-24,1064323.822733888
2026-04-27,1064323.822733888
2026-04-28,1064323.822733888
2026-04-29,1064323.822733888
2026-04-30,1064323.822733888
2026-05-04,1064323.822733888
2026-05-05,1064323.822733888
2026-05-06,1064510.422733888
2026-05-07,1063550.422733888
2026-05-08,1063285.422733888
2026-05-11,1063795.422733888
2026-05-12,1060722.922733888
2026-05-13,1058782.922733888
2026-05-14,1064412.922733888
2026-05-15,1063732.922733888
2026-05-18,1062997.922733888
2026-05-19,1067321.5747338878
2026-05-20,1070905.3747338878
2026-05-21,1077688.7447338877
2026-05-22,1081396.144733888
2026-05-25,1081096.3447338878
2026-05-26,1085688.544733888
2026-05-27,1097216.3447338878
2026-05-29,1083888.557633888
2026-06-01,1074146.1576338878
2026-06-02,1076132.2576338877
2026-06-03,1072003.257633888
2026-06-04,1069852.4576338879
2026-06-05,1059190.340633888
2026-06-08,1033220.3406338879
2026-06-09,1044779.040633888
2026-06-10,1025383.540633888
2026-06-11,1024615.9406338879
2026-06-12,1029315.9406338879
2026-06-15,1031590.9406338879
2026-06-16,1029740.9406338879
2026-06-17,1036165.9406338879
2026-06-18,1035840.9406338879
2026-06-19,1035853.4406338879
2026-06-22,1038022.873633888
2026-06-23,1042449.873633888
2026-06-24,1034638.873633888
2026-06-25,1030254.873633888
2026-06-29,1042148.373633888
2026-06-30,1042782.1280338881
2026-07-01,1034719.5280338881
2026-07-02,1035028.0280338881
2026-07-03,1034459.329033888
2026-07-06,1033971.829033888
2026-07-07,1030346.829033888
2026-07-08,1028459.329033888
2026-07-09,1027884.329033888
2026-07-10,1031434.329033888
2026-07-13,1030496.829033888
2026-07-14,1030709.329033888
2026-07-15,1030009.329033888
2026-07-16,1029584.329033888
2026-07-17,1025359.329033888
2026-07-20,1025688.7620338879
2026-07-21,1028976.6420338879
2026-07-22,1031646.3120338878
2026-07-23,1031836.6620338879
2026-07-24,1025403.8620338879
2026-07-27,1028574.8620338879
2026-07-28,1029014.6120338879
2026-07-29,1033851.8720338879
2026-07-30,1037759.6720338879
2026-07-31,1055116.3620338878
2026-08-03,1060314.6120338878
2026-08-04,1068135.937033888
2026-08-05,1067956.437033888
2026-08-06,1066748.637033888
2026-08-07,1064903.187033888
2026-08-10,1067384.387033888
2026-08-11,1065208.137033888
2026-08-12,1070602.7370338878
2026-08-13,1071968.937033888
2026-08-14,1064175.887033888
2026-08-17,1069514.7370338878
2026-08-18,1070881.637033888
