,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1004393.6942
2026-01-28,1009439.2942000001
2026-01-29,1012204.2116
2026-01-30,1012204.2116
2026-02-01,1012204.2116
2026-02-02,1012204.2116
2026-02-03,1021101.7701000001
2026-02-04,1019363.3201000001
2026-02-05,1013787.4801
2026-02-06,1010374.4601000001
2026-02-09,1023710.1801000001
2026-02-10,1036693.3901000001
2026-02-11,1039408.6451
2026-02-12,1037541.1451
2026-02-13,1027886.3451
2026-02-16,1044812.1645999999
2026-02-17,1050075.3646
2026-02-18,1058195.4623
2026-02-19,1046071.9623
2026-02-20,1056992.3623
2026-02-23,1062571.8774205311
2026-02-24,1056254.577420531
2026-02-25,1071254.354420531
2026-02-26,1075216.8924205313
2026-02-27,1063507.492420531
2026-03-02,1055902.592420531
2026-03-04,1043315.5924205311
2026-03-05,1055189.896254419
2026-03-06,1052168.2962544193
2026-03-09,1039726.7962544193
2026-03-10,1058295.8512544194
2026-03-11,1061580.9628544194
2026-03-12,1059415.1628544193
2026-03-13,1049980.8628544193
2026-03-16,1040944.5628544192
2026-03-17,1053333.0878544194
2026-03-18,1047176.5878544193
2026-03-19,1033135.5878544193
2026-03-20,1022071.1738544193
2026-03-23,1015928.5738544193
2026-03-24,1016354.8738544192
2026-03-25,1020206.2738544192
2026-03-27,1021147.0738544193
2026-03-30,1019706.4738544193
2026-04-01,1025248.3738544192
2026-04-02,1024013.5738544193
2026-04-06,1024998.4738544193
2026-04-07,1023469.6738544193
2026-04-08,1024307.5738544193
2026-04-09,1024998.4738544193
2026-04-10,1026321.4738544193
2026-04-13,1024910.2738544192
2026-04-15,1029922.9738544193
2026-04-16,1031775.1738544193
2026-04-17,1031701.6738544193
2026-04-20,1029026.2738544192
2026-04-21,1033018.1176544192
2026-04-22,1033018.1176544192
2026-04-23,1033018.1176544192
2026-04-24,1033018.1176544192
2026-04-27,1033018.1176544192
2026-04-28,1033018.1176544192
2026-04-29,1033018.1176544192
2026-04-30,1033018.1176544192
2026-05-04,1033018.1176544192
2026-05-05,1033018.1176544192
2026-05-06,1033197.2536544192
2026-05-07,1041563.1136544192
2026-05-08,1040963.1136544192
2026-05-11,1041161.1136544192
2026-05-12,1030219.5136544192
2026-05-13,1031910.3136544193
2026-05-14,1037639.1136544192
2026-05-15,1032700.6476044192
2026-05-18,1021995.7476044192
2026-05-19,1020663.7546044192
2026-05-20,1021275.8546044192
2026-05-21,1027770.6346044191
2026-05-22,1031314.4346044192
2026-05-25,1031033.5346044193
2026-05-26,1035425.9346044192
2026-05-27,1046444.9346044192
2026-05-29,1033742.9673044193
2026-06-01,1024508.5673044192
2026-06-02,1026400.3673044192
2026-06-03,1023559.5273044193
2026-06-04,1024805.8273044191
2026-06-05,1016732.5273044193
2026-06-08,994783.3273044194
2026-06-09,1015316.7273044193
2026-06-10,994410.1273044193
2026-06-11,994974.8273044192
2026-06-12,1003469.3273044192
2026-06-15,1009894.2473044192
2026-06-16,1008118.2473044192
2026-06-17,1014286.2473044192
2026-06-18,1013974.2473044192
2026-06-19,1013986.2473044192
2026-06-22,1016096.5541044192
2026-06-23,1020472.7541044191
2026-06-24,1012899.1541044192
2026-06-25,1008678.7541044191
2026-06-29,1020237.3541044191
2026-06-30,1020868.7561044192
2026-07-01,1018574.5861044192
2026-07-02,1020895.6601044192
2026-07-03,1023520.9607044191
2026-07-06,1029155.9607044191
2026-07-07,1025385.7607044191
2026-07-08,1022272.3607044191
2026-07-09,1013702.0587044192
2026-07-10,1020817.5587044192
2026-07-13,1018882.6279044192
2026-07-14,1028896.6279044192
2026-07-15,1018189.7124044192
2026-07-16,1016384.4294044191
2026-07-17,1007059.6294044191
2026-07-20,1018874.5512724193
2026-07-21,1024541.0312724193
2026-07-22,1014905.9912724192
2026-07-23,1009524.0512724193
2026-07-24,999073.4954929964
2026-07-27,999777.1008140694
2026-07-28,997583.0008140694
2026-07-29,1002332.2464140694
2026-07-30,1004324.6464140695
2026-07-31,1012893.8098540693
2026-08-03,1023647.0298540692
2026-08-04,1031718.7618540693
2026-08-05,1037140.2915340692
2026-08-06,1037388.8915340693
2026-08-07,1035923.3915340693
2026-08-10,1039300.5915340693
2026-08-11,1038204.4915340692
2026-08-12,1043177.0915340693
2026-08-13,1046043.4844617534
2026-08-14,1040677.1844617533
2026-08-17,1043128.6844617533
2026-08-18,1039965.4844617534
