,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000662.89075
2026-01-23,999213.84075
2026-01-27,1002025.3917500001
2026-01-28,1012151.8917500001
2026-01-29,1019074.3426000001
2026-01-30,1010408.9996000001
2026-02-01,978900.2996
2026-02-02,977391.6996
2026-02-03,982975.19975
2026-02-04,980996.44975
2026-02-05,975092.2497500001
2026-02-06,971113.69975
2026-02-09,979988.39975
2026-02-10,986878.9997500001
2026-02-11,987946.19975
2026-02-12,984819.7497500001
2026-02-13,976004.19975
2026-02-16,992716.71375
2026-02-17,997725.8137500001
2026-02-18,1010716.5687500001
2026-02-19,993073.26875
2026-02-20,1005183.86875
2026-02-23,1013520.4687500001
2026-02-24,1010940.51875
2026-02-25,1019785.38375
2026-02-26,1017446.48375
2026-02-27,1011759.4337500001
2026-03-02,1006647.73375
2026-03-04,997103.9337500001
2026-03-05,1007514.907981378
2026-03-06,1005628.7579813779
2026-03-09,992907.1579813779
2026-03-10,1002451.4059813779
2026-03-11,997940.4683813779
2026-03-12,996270.9183813779
2026-03-13,980932.830381378
2026-03-16,969733.9303813779
2026-03-17,976606.030381378
2026-03-18,979154.230381378
2026-03-19,967986.4303813779
2026-03-20,972780.880381378
2026-03-23,958665.3307071466
2026-03-24,959071.3307071466
2026-03-25,962739.3307071466
2026-03-27,963635.3307071466
2026-03-30,962263.3307071466
2026-04-01,967541.3307071466
2026-04-02,966365.3307071466
2026-04-06,967303.3307071466
2026-04-07,965847.3307071466
2026-04-08,974835.9307071465
2026-04-09,980277.7307071466
2026-04-10,982751.5307071465
2026-04-13,980564.4731071466
2026-04-15,991261.3763248879
2026-04-16,992025.7763248879
2026-04-17,991880.1763248879
2026-04-20,989550.5763248878
2026-04-21,991907.5323248878
2026-04-22,990109.9323248878
2026-04-23,990109.9323248878
2026-04-24,990109.9323248878
2026-04-27,990109.9323248878
2026-04-28,990109.9323248878
2026-04-29,990109.9323248878
2026-04-30,990109.9323248878
2026-05-04,990109.9323248878
2026-05-05,998925.5676386938
2026-05-06,1003857.339638694
2026-05-07,1008147.0396386939
2026-05-08,1008881.7336972757
2026-05-11,1009350.9336972757
2026-05-12,1006524.2336972757
2026-05-13,1004739.4336972757
2026-05-14,1009919.0336972757
2026-05-15,1006235.7394972758
2026-05-18,1000159.3894972758
2026-05-19,1004228.2899972757
2026-05-20,1007579.4399972758
2026-05-21,1013896.6399972758
2026-05-22,1017368.5399972757
2026-05-25,1017078.3899972757
2026-05-26,1021383.5899972757
2026-05-27,1032140.6899972757
2026-05-29,1019723.2726972757
2026-06-01,1010641.4226972756
2026-06-02,1012458.2226972757
2026-06-03,1008602.8226972758
2026-06-04,1006552.0726972758
2026-06-05,996507.1566972757
2026-06-08,972203.8566972758
2026-06-09,983003.3066972757
2026-06-10,962217.8911972757
2026-06-11,961499.0911972757
2026-06-12,966037.7411972757
2026-06-15,966508.9411972756
2026-06-16,963049.9911972757
2026-06-17,969739.48599301
2026-06-18,972755.48599301
2026-06-19,983682.2099930099
2026-06-22,985723.51519301
2026-06-23,990003.81519301
2026-06-24,982694.41519301
2026-06-25,978641.81519301
2026-06-29,989815.21519301
2026-06-30,990440.74679301
2026-07-01,982910.2967930101
2026-07-02,983193.89679301
2026-07-03,982666.18119301
2026-07-06,982217.68119301
2026-07-07,980603.12929301
2026-07-08,968087.3398468145
2026-07-09,967558.3398468145
2026-07-10,970824.3398468145
2026-07-13,969961.8398468145
2026-07-14,970157.3398468145
2026-07-15,967290.2658468145
2026-07-16,963525.2658468145
2026-07-17,959638.2658468145
2026-07-20,959938.1228468146
2026-07-21,962995.4628468147
2026-07-22,965472.5628468147
2026-07-23,965682.1128468146
2026-07-24,959666.9128468146
2026-07-27,962640.5128468147
2026-07-28,963013.3628468146
2026-07-29,967516.1012468147
2026-07-30,971170.3012468147
2026-07-31,988258.4640468147
2026-08-03,997202.4140468147
2026-08-04,1002090.6640468147
2026-08-05,1002652.3640468146
2026-08-06,1006886.2640468145
2026-08-07,1001028.8140468146
2026-08-10,1006739.3140468146
2026-08-11,1005571.4640468147
2026-08-12,1008611.2640468145
2026-08-13,1010989.6640468147
2026-08-14,1001556.7140468147
2026-08-17,1002853.9640468145
2026-08-18,1007351.0640468146
