,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000270.751
2026-01-28,1010595.751
2026-01-29,1016266.7227000002
2026-01-30,1006390.3227000001
2026-02-01,980516.0227000001
2026-02-02,980516.0227000001
2026-02-03,984437.73135
2026-02-04,985186.4853500002
2026-02-05,980888.4353500002
2026-02-06,977032.9853500001
2026-02-09,984209.5853500001
2026-02-10,997025.3853500001
2026-02-11,996655.93535
2026-02-12,996174.7353500001
2026-02-13,980173.5353500001
2026-02-16,999714.74935
2026-02-17,1005015.1493500002
2026-02-18,1016475.84935
2026-02-19,1007503.2993500001
2026-02-20,1020991.84935
2026-02-23,1025629.0493500001
2026-02-24,1023912.1493500001
2026-02-25,1032119.03885
2026-02-26,1031619.18885
2026-02-27,1026905.22685
2026-03-02,1023707.5768500001
2026-03-04,1017538.27685
2026-03-05,1026738.094482633
2026-03-06,1027426.529082633
2026-03-09,1010269.729082633
2026-03-10,1025287.021682633
2026-03-11,1033373.4772826331
2026-03-12,1025413.027282633
2026-03-13,1006453.9772826331
2026-03-16,998651.877282633
2026-03-17,1007709.7272826331
2026-03-18,1008637.2772826331
2026-03-19,997059.377282633
2026-03-20,1000248.7772826331
2026-03-23,990552.727282633
2026-03-24,990967.427282633
2026-03-25,994714.027282633
2026-03-27,995629.227282633
2026-03-30,994227.8272826329
2026-04-01,999618.927282633
2026-04-02,998417.727282633
2026-04-06,999375.8272826329
2026-04-07,997888.627282633
2026-04-08,998703.727282633
2026-04-09,999375.8272826329
2026-04-10,1000662.8272826329
2026-04-13,999290.027282633
2026-04-15,1004166.3272826329
2026-04-16,1005968.127282633
2026-04-17,1005896.627282633
2026-04-20,1003294.027282633
2026-04-21,1007177.2494826328
2026-04-22,1007177.2494826328
2026-04-23,1007177.2494826328
2026-04-24,1007177.2494826328
2026-04-27,1007177.2494826328
2026-04-28,1007177.2494826328
2026-04-29,1007177.2494826328
2026-04-30,1007177.2494826328
2026-05-04,1007177.2494826328
2026-05-05,1016163.7304420553
2026-05-06,1021195.2164420553
2026-05-07,1025546.7664420553
2026-05-08,1026289.823563788
2026-05-11,1026779.423563788
2026-05-12,1023829.823563788
2026-05-13,1021967.423563788
2026-05-14,1027372.223563788
2026-05-15,1023603.068563788
2026-05-18,1017393.718563788
2026-05-19,1021528.325563788
2026-05-20,1024959.225563788
2026-05-21,1031454.0055637879
2026-05-22,1034997.8055637879
2026-05-25,1034716.905563788
2026-05-26,1039109.3055637879
2026-05-27,1050128.305563788
2026-05-29,1037356.528363788
2026-06-01,1027989.4283637879
2026-06-02,1029899.628363788
2026-06-03,1025944.828363788
2026-06-04,1023893.9283637879
2026-06-05,1013711.626363788
2026-06-08,988838.2263637881
2026-06-09,999897.9263637881
2026-06-10,981343.726363788
2026-06-11,980600.526363788
2026-06-12,985112.526363788
2026-06-15,987296.526363788
2026-06-16,985520.526363788
2026-06-17,996430.606363788
2026-06-18,999531.106363788
2026-06-19,1010779.366363788
2026-06-22,1012879.797763788
2026-06-23,1017210.897763788
2026-06-24,1009664.097763788
2026-06-25,1005447.897763788
2026-06-29,1016956.197763788
2026-06-30,1017575.9325637881
2026-07-01,1009791.3825637881
2026-07-02,1010064.082563788
2026-07-03,1009500.5883637881
2026-07-06,1009032.5883637881
2026-07-07,1005552.5883637881
2026-07-08,1003740.5883637881
2026-07-09,1003188.5883637881
2026-07-10,1006596.5883637881
2026-07-13,1005696.5883637881
2026-07-14,1005900.5883637881
2026-07-15,1002941.9979637881
2026-07-16,999063.5979637881
2026-07-17,995007.5979637881
2026-07-20,995321.6419637881
2026-07-21,998499.5519637881
2026-07-22,1001117.031963788
2026-07-23,1001324.231963788
2026-07-24,995075.331963788
2026-07-27,998152.9319637881
2026-07-28,998618.5319637881
2026-07-29,1003341.684763788
2026-07-30,1007200.084763788
2026-07-31,1024001.3447637879
2026-08-03,1029059.7447637881
2026-08-04,1036508.876763788
2026-08-05,1036330.776763788
2026-08-06,1035140.576763788
2026-08-07,1033390.3767637879
2026-08-10,1035775.676763788
2026-08-11,1033686.376763788
2026-08-12,1038858.676763788
2026-08-13,1040189.276763788
2026-08-14,1032657.376763788
2026-08-17,1037783.576763788
2026-08-18,1039138.476763788
