,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1009134.8715317594
2026-01-28,1024776.9395364813
2026-01-29,1027541.8569364812
2026-01-30,1027541.8569364812
2026-02-01,1027541.8569364812
2026-02-02,1027541.8569364812
2026-02-03,1032786.3465364812
2026-02-04,1034884.3225364811
2026-02-05,1036032.0825364811
2026-02-06,1037860.7625364813
2026-02-09,1040147.0825364811
2026-02-10,1050988.842536481
2026-02-11,1056555.0225364813
2026-02-12,1056812.222536481
2026-02-13,1048606.822536481
2026-02-16,1055815.0225364813
2026-02-17,1055889.0225364813
2026-02-18,1062342.4825364812
2026-02-19,1060234.282536481
2026-02-20,1068274.282536481
2026-02-23,1073923.082536481
2026-02-24,1073258.082536481
2026-02-25,1076090.082536481
2026-02-26,1071055.282536481
2026-02-27,1068131.754536481
2026-03-02,1060493.5545364812
2026-03-04,1057301.5545364812
2026-03-05,1060788.501170369
2026-03-06,1059021.6090922798
2026-03-09,1043484.1090922797
2026-03-10,1061072.4240922797
2026-03-11,1072964.5160922797
2026-03-12,1069117.5160922797
2026-03-13,1057841.7317265482
2026-03-16,1051123.2317265482
2026-03-17,1063829.8797265482
2026-03-18,1059847.8797265482
2026-03-19,1047323.6797265484
2026-03-20,1042205.8797265483
2026-03-23,1032366.6797265483
2026-03-24,1032366.6797265483
2026-03-25,1032366.6797265483
2026-03-27,1032366.6797265483
2026-03-30,1032366.6797265483
2026-04-01,1032366.6797265483
2026-04-02,1032366.6797265483
2026-04-06,1032366.6797265483
2026-04-07,1032366.6797265483
2026-04-08,1032366.6797265483
2026-04-09,1032366.6797265483
2026-04-10,1032366.6797265483
2026-04-13,1032366.6797265483
2026-04-15,1032366.6797265483
2026-04-16,1032366.6797265483
2026-04-17,1032366.6797265483
2026-04-20,1032366.6797265483
2026-04-21,1032366.6797265483
2026-04-22,1032366.6797265483
2026-04-23,1032366.6797265483
2026-04-24,1032366.6797265483
2026-04-27,1032366.6797265483
2026-04-28,1032366.6797265483
2026-04-29,1032366.6797265483
2026-04-30,1032366.6797265483
2026-05-04,1032366.6797265483
2026-05-05,1032366.6797265483
2026-05-06,1032366.6797265483
2026-05-07,1032366.6797265483
2026-05-08,1032366.6797265483
2026-05-11,1032366.6797265483
2026-05-12,1032366.6797265483
2026-05-13,1035026.781023623
2026-05-14,1046976.3381922045
2026-05-15,1034221.5881922045
2026-05-18,1027787.4881922045
2026-05-19,1031518.8381922045
2026-05-20,1043336.0381922045
2026-05-21,1051610.5381922047
2026-05-22,1055385.6881922046
2026-05-25,1070593.9791922043
2026-05-26,1084385.8542085604
2026-05-27,1089046.6542085605
2026-05-29,1080231.5042085606
2026-06-01,1071433.1542085605
2026-06-02,1073468.1542085605
2026-06-03,1072009.1298290812
2026-06-04,1087680.502729081
2026-06-05,1082571.6027290812
2026-06-08,1044267.3027290812
2026-06-09,1068857.752729081
2026-06-10,1051759.1527290812
2026-06-11,1050135.8527290812
2026-06-12,1067241.8527290812
2026-06-15,1071534.036729081
2026-06-16,1070457.036729081
2026-06-17,1086910.4402069803
2026-06-18,1089542.9402069803
2026-06-19,1100538.2938839823
2026-06-22,1103096.2938839823
2026-06-23,1104540.4328529765
2026-06-24,1095049.9328529765
2026-06-25,1104439.1218929766
2026-06-29,1103675.6783729764
2026-06-30,1102386.9783729764
2026-07-01,1107974.2356061242
2026-07-02,1104967.7356061242
2026-07-03,1087448.1356061243
2026-07-06,1086433.1356061243
2026-07-07,1082054.1356061243
2026-07-08,1079966.1356061243
2026-07-09,1075792.4562536515
2026-07-10,1091098.0381438402
2026-07-13,1094957.93814384
2026-07-14,1095290.73814384
2026-07-15,1085249.73814384
2026-07-16,1077514.5381438402
2026-07-17,1087796.8006938403
2026-07-20,1093576.28364384
2026-07-21,1103142.69064384
2026-07-22,1079760.69064384
2026-07-23,1071214.39064384
2026-07-24,1072152.9906438398
2026-07-27,1091270.055295126
2026-07-28,1094258.905775126
2026-07-29,1094407.205775126
2026-07-30,1094907.0411315034
2026-07-31,1103971.8911315035
2026-08-03,1113546.5911315035
2026-08-04,1111076.0911315035
2026-08-05,1118263.9600698997
2026-08-06,1118666.2600698997
2026-08-07,1116145.4600698997
2026-08-10,1125642.9040007675
2026-08-11,1115489.2040007676
2026-08-12,1113977.9040007675
2026-08-13,1118207.0986988572
2026-08-14,1111777.0986988572
2026-08-17,1107640.5986988572
2026-08-18,1117441.8986988573
