,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1009134.8715317594
2026-01-28,1024776.9395364813
2026-01-29,1027541.8569364812
2026-01-30,1027541.8569364812
2026-02-01,1027541.8569364812
2026-02-02,1027541.8569364812
2026-02-03,1032786.3465364812
2026-02-04,1034884.3225364811
2026-02-05,1036032.0825364811
2026-02-06,1037860.7625364813
2026-02-09,1040147.0825364811
2026-02-10,1053011.8145364812
2026-02-11,1060583.494536481
2026-02-12,1060221.194536481
2026-02-13,1050335.7945364811
2026-02-16,1056231.494536481
2026-02-17,1059014.494536481
2026-02-18,1068736.644536481
2026-02-19,1061282.044536481
2026-02-20,1070992.444536481
2026-02-23,1078765.744536481
2026-02-24,1076478.444536481
2026-02-25,1084788.628536481
2026-02-26,1079689.728536481
2026-02-27,1076741.300536481
2026-03-02,1069040.600536481
2026-03-04,1065848.600536481
2026-03-05,1069361.089970369
2026-03-06,1067620.4216922794
2026-03-09,1052007.6216922796
2026-03-10,1069682.0391922796
2026-03-11,1081685.2027922794
2026-03-12,1077802.7027922794
2026-03-13,1066386.718426548
2026-03-16,1059552.718426548
2026-03-17,1072330.5664265482
2026-03-18,1068348.766426548
2026-03-19,1055718.0664265482
2026-03-20,1050651.0664265482
2026-03-23,1040671.666426548
2026-03-24,1040671.666426548
2026-03-25,1040671.666426548
2026-03-27,1040671.666426548
2026-03-30,1040671.666426548
2026-04-01,1040671.666426548
2026-04-02,1040671.666426548
2026-04-06,1040671.666426548
2026-04-07,1040671.666426548
2026-04-08,1040671.666426548
2026-04-09,1040671.666426548
2026-04-10,1040671.666426548
2026-04-13,1040671.666426548
2026-04-15,1040671.666426548
2026-04-16,1040671.666426548
2026-04-17,1040671.666426548
2026-04-20,1040671.666426548
2026-04-21,1040671.666426548
2026-04-22,1040671.666426548
2026-04-23,1040671.666426548
2026-04-24,1040671.666426548
2026-04-27,1040671.666426548
2026-04-28,1040671.666426548
2026-04-29,1040671.666426548
2026-04-30,1040671.666426548
2026-05-04,1040671.666426548
2026-05-05,1040671.666426548
2026-05-06,1040671.666426548
2026-05-07,1040671.666426548
2026-05-08,1040671.666426548
2026-05-11,1040671.666426548
2026-05-12,1040671.666426548
2026-05-13,1043361.2737562695
2026-05-14,1055398.0675914795
2026-05-15,1042538.1575914796
2026-05-18,1036057.6775914796
2026-05-19,1039814.9675914795
2026-05-20,1051728.8675914798
2026-05-21,1060038.5075914795
2026-05-22,1063840.1975914796
2026-05-25,1079154.5761914793
2026-05-26,1093037.2812079503
2026-05-27,1097692.0812079504
2026-05-29,1088863.5312079503
2026-06-01,1080027.7812079503
2026-06-02,1082052.7812079503
2026-06-03,1080596.6268284712
2026-06-04,1096325.2554284711
2026-06-05,1091177.5554284712
2026-06-08,1052737.455428471
2026-06-09,1077440.3554284712
2026-06-10,1060260.705428471
2026-06-11,1058648.155428471
2026-06-12,1075787.905428471
2026-06-15,1080116.0294284709
2026-06-16,1079039.0294284709
2026-06-17,1095492.4329063701
2026-06-18,1098124.9329063701
2026-06-19,1109141.5659061556
2026-06-22,1111722.5659061556
2026-06-23,1113191.4669067992
2026-06-24,1103700.9669067992
2026-06-25,1113167.0140267992
2026-06-29,1112410.707316799
2026-06-30,1111117.907316799
2026-07-01,1122841.104351555
2026-07-02,1120983.104351555
2026-07-03,1107235.2347515547
2026-07-06,1106213.2347515547
2026-07-07,1101804.0347515547
2026-07-08,1099701.6347515546
2026-07-09,1095485.1395039768
2026-07-10,1110961.4567491198
2026-07-13,1114857.05674912
2026-07-14,1115071.4567491198
2026-07-15,1104944.6567491197
2026-07-16,1097055.1567491195
2026-07-17,1107732.65309912
2026-07-20,1113609.1142491195
2026-07-21,1123332.5168491194
2026-07-22,1099714.0168491194
2026-07-23,1091059.6168491193
2026-07-24,1091960.3168491195
2026-07-27,1111417.3645904148
2026-07-28,1114428.5904004148
2026-07-29,1114581.1904004146
2026-07-30,1116401.5904004148
2026-07-31,1129830.3254004146
2026-08-03,1135212.2204004147
2026-08-04,1134214.4204004146
2026-08-05,1137434.8660947317
2026-08-06,1136085.5660947314
2026-08-07,1133592.8660947317
2026-08-10,1134703.3660947317
2026-08-11,1124301.0660947317
2026-08-12,1122773.8660947317
2026-08-13,1127063.3944212222
2026-08-14,1120507.8944212222
2026-08-17,1116318.4944212222
2026-08-18,1126339.5944212223
