,equity
2026-01-16,998872.265
2026-01-19,999412.265
2026-01-20,998587.265
2026-01-21,997397.265
2026-01-22,992402.265
2026-01-23,992402.265
2026-01-27,997087.6637749152
2026-01-28,1007559.4674501696
2026-01-29,1007559.4674501696
2026-01-30,1007559.4674501696
2026-02-01,1007559.4674501696
2026-02-02,1007559.4674501696
2026-02-03,1007877.2678501696
2026-02-04,1008849.7638501697
2026-02-05,1009375.7638501697
2026-02-06,1010807.7638501697
2026-02-09,1008974.9638501697
2026-02-10,1015512.1638501696
2026-02-11,1016002.5638501697
2026-02-12,1016254.9638501697
2026-02-13,1008255.3638501697
2026-02-16,1015278.5638501697
2026-02-17,1015350.9638501697
2026-02-18,1021587.0588501696
2026-02-19,1019623.3588501697
2026-02-20,1027423.1588501696
2026-02-23,1032862.3588501697
2026-02-24,1032232.0588501696
2026-02-25,1034993.6088501697
2026-02-26,1030160.1588501697
2026-02-27,1027340.8208501696
2026-03-02,1019967.7708501696
2026-03-04,1016859.7708501696
2026-03-05,1020199.7956828026
2026-03-06,1016985.4564828025
2026-03-09,1004686.8564828025
2026-03-10,1012288.6564828025
2026-03-11,1021662.4904828025
2026-03-12,1012980.6904828025
2026-03-13,1002576.4904828025
2026-03-16,1001568.8904828024
2026-03-17,1005315.6904828025
2026-03-18,1007218.0904828025
2026-03-19,1003970.0904828025
2026-03-20,1002972.4904828025
2026-03-23,997729.2904828024
2026-03-24,997729.2904828024
2026-03-25,997729.2904828024
2026-03-27,997729.2904828024
2026-03-30,997729.2904828024
2026-04-01,997729.2904828024
2026-04-02,997729.2904828024
2026-04-06,997729.2904828024
2026-04-07,997729.2904828024
2026-04-08,997729.2904828024
2026-04-09,997729.2904828024
2026-04-10,997729.2904828024
2026-04-13,997729.2904828024
2026-04-15,997729.2904828024
2026-04-16,997729.2904828024
2026-04-17,997729.2904828024
2026-04-20,997729.2904828024
2026-04-21,997729.2904828024
2026-04-22,997729.2904828024
2026-04-23,997729.2904828024
2026-04-24,997729.2904828024
2026-04-27,997729.2904828024
2026-04-28,997729.2904828024
2026-04-29,997729.2904828024
2026-04-30,997729.2904828024
2026-05-04,997729.2904828024
2026-05-05,997729.2904828024
2026-05-06,997729.2904828024
2026-05-07,997729.2904828024
2026-05-08,997729.2904828024
2026-05-11,997729.2904828024
2026-05-12,997729.2904828024
2026-05-13,997729.2904828024
2026-05-14,1000515.4893664753
2026-05-15,997930.6093664751
2026-05-18,996270.0693664752
2026-05-19,996098.2893664752
2026-05-20,997038.9893664753
2026-05-21,996294.6093664751
2026-05-22,996286.4293664752
2026-05-25,1007787.5093664752
2026-05-26,1017662.1327154568
2026-05-27,1017662.1327154568
2026-05-29,1017662.1327154568
2026-06-01,1017662.1327154568
2026-06-02,1017662.1327154568
2026-06-03,1017486.2028685508
2026-06-04,1026393.7578685507
2026-06-05,1022926.7578685507
2026-06-08,1005001.2578685507
2026-06-09,1009863.2578685507
2026-06-10,1008173.2578685507
2026-06-11,1004767.2578685507
2026-06-12,1010162.2578685507
2026-06-15,1006600.2578685507
2026-06-16,1008342.2578685507
2026-06-17,1015622.2578685507
2026-06-18,1018157.2578685507
2026-06-19,1026324.8878685507
2026-06-22,1028645.8878685507
2026-06-23,1032832.3878685507
2026-06-24,1019807.3878685507
2026-06-25,1018951.3878685507
2026-06-29,1023436.64397757
2026-06-30,1024717.84397757
2026-07-01,1026302.0185930307
2026-07-02,1028502.6185930308
2026-07-03,1013346.4285930308
2026-07-06,1012408.4285930308
2026-07-07,1008361.6285930307
2026-07-08,1006432.0285930308
2026-07-09,1003721.7453930308
2026-07-10,1011330.1159125755
2026-07-13,1014375.9159125756
2026-07-14,1019171.1159125755
2026-07-15,1010730.9159125756
2026-07-16,1003064.3159125756
2026-07-17,1010991.9461625756
2026-07-20,1010868.8554125754
2026-07-21,1012612.1654125755
2026-07-22,1000402.8654125754
2026-07-23,993714.6654125754
2026-07-24,990292.5654125754
2026-07-27,992206.5654125754
2026-07-28,988206.9654125754
2026-07-29,987553.5654125754
2026-07-30,986223.7477346349
2026-07-31,995777.8477346349
2026-08-03,1001549.4477346349
2026-08-04,999669.4477346349
2026-08-05,1002217.4477346349
2026-08-06,1002351.4477346349
2026-08-07,1002002.0477346348
2026-08-10,1008515.2007684562
2026-08-11,1007508.7007684562
2026-08-12,1007739.7007684562
2026-08-13,1008449.2007684562
2026-08-14,1005759.7007684562
2026-08-17,1005297.7007684562
2026-08-18,1011254.2007684562
