,equity
2026-01-16,998872.265
2026-01-19,999412.265
2026-01-20,998587.265
2026-01-21,997397.265
2026-01-22,992402.265
2026-01-23,992402.265
2026-01-27,997087.6637749152
2026-01-28,1007559.4674501696
2026-01-29,1007559.4674501696
2026-01-30,1007559.4674501696
2026-02-01,1007559.4674501696
2026-02-02,1007559.4674501696
2026-02-03,1007877.2678501696
2026-02-04,1008849.7638501697
2026-02-05,1009375.7638501697
2026-02-06,1010807.7638501697
2026-02-09,1008974.9638501697
2026-02-10,1015512.1638501696
2026-02-11,1016002.5638501697
2026-02-12,1016254.9638501697
2026-02-13,1008255.3638501697
2026-02-16,1015278.5638501697
2026-02-17,1015350.9638501697
2026-02-18,1021587.0588501696
2026-02-19,1019623.3588501697
2026-02-20,1027423.1588501696
2026-02-23,1032862.3588501697
2026-02-24,1032232.0588501696
2026-02-25,1034993.6088501697
2026-02-26,1030160.1588501697
2026-02-27,1027340.8208501696
2026-03-02,1019967.7708501696
2026-03-04,1016859.7708501696
2026-03-05,1020199.7956828026
2026-03-06,1016985.4564828025
2026-03-09,1004686.8564828025
2026-03-10,1012288.6564828025
2026-03-11,1021662.4904828025
2026-03-12,1012980.6904828025
2026-03-13,1002576.4904828025
2026-03-16,1001568.8904828024
2026-03-17,1005315.6904828025
2026-03-18,1007218.0904828025
2026-03-19,1003970.0904828025
2026-03-20,1002972.4904828025
2026-03-23,997729.2904828024
2026-03-24,997729.2904828024
2026-03-25,997729.2904828024
2026-03-27,997729.2904828024
2026-03-30,997729.2904828024
2026-04-01,997729.2904828024
2026-04-02,997729.2904828024
2026-04-06,997729.2904828024
2026-04-07,997729.2904828024
2026-04-08,997729.2904828024
2026-04-09,997729.2904828024
2026-04-10,997729.2904828024
2026-04-13,997729.2904828024
2026-04-15,997729.2904828024
2026-04-16,997729.2904828024
2026-04-17,997729.2904828024
2026-04-20,997729.2904828024
2026-04-21,997729.2904828024
2026-04-22,997729.2904828024
2026-04-23,997729.2904828024
2026-04-24,997729.2904828024
2026-04-27,997729.2904828024
2026-04-28,997729.2904828024
2026-04-29,997729.2904828024
2026-04-30,997729.2904828024
2026-05-04,997729.2904828024
2026-05-05,997729.2904828024
2026-05-06,997729.2904828024
2026-05-07,997729.2904828024
2026-05-08,997729.2904828024
2026-05-11,997729.2904828024
2026-05-12,997729.2904828024
2026-05-13,997729.2904828024
2026-05-14,1000515.4893664753
2026-05-15,997930.6093664751
2026-05-18,996270.0693664752
2026-05-19,996098.2893664752
2026-05-20,997038.9893664753
2026-05-21,996294.6093664751
2026-05-22,996286.4293664752
2026-05-25,1007787.5093664752
2026-05-26,1017662.1327154568
2026-05-27,1017662.1327154568
2026-05-29,1017662.1327154568
2026-06-01,1017662.1327154568
2026-06-02,1017662.1327154568
2026-06-03,1017486.2028685508
2026-06-04,1026393.7578685507
2026-06-05,1022926.7578685507
2026-06-08,1005001.2578685507
2026-06-09,1009863.2578685507
2026-06-10,1008173.2578685507
2026-06-11,1004767.2578685507
2026-06-12,1010162.2578685507
2026-06-15,1006600.2578685507
2026-06-16,1008342.2578685507
2026-06-17,1015622.2578685507
2026-06-18,1018157.2578685507
2026-06-19,1026324.8878685507
2026-06-22,1028645.8878685507
2026-06-23,1036364.2750413992
2026-06-24,1020914.0750413992
2026-06-25,1020452.8750413992
2026-06-29,1028676.7055922449
2026-06-30,1028318.2055922449
2026-07-01,1029287.5302077057
2026-07-02,1029703.8302077055
2026-07-03,1022170.0402077056
2026-07-06,1022604.4402077056
2026-07-07,1019516.4402077056
2026-07-08,1021279.1786891603
2026-07-09,1018565.2578891603
2026-07-10,1026190.9154480731
2026-07-13,1029262.115448073
2026-07-14,1034023.5154480729
2026-07-15,1025552.2154480731
2026-07-16,1017811.4154480731
2026-07-17,1025916.8261480731
2026-07-20,1025760.894048073
2026-07-21,1027509.274048073
2026-07-22,1015257.6740480729
2026-07-23,1008480.3740480728
2026-07-24,1004954.5740480729
2026-07-27,1006926.5740480729
2026-07-28,1002805.774048073
2026-07-29,1002132.5740480729
2026-07-30,1000778.0183754122
2026-07-31,1010603.8183754121
2026-08-03,1016436.6183754122
2026-08-04,1014516.6183754122
2026-08-05,1017092.6183754122
2026-08-06,1017208.6183754122
2026-08-07,1016849.8183754121
2026-08-10,1023455.2853933945
2026-08-11,1022418.2853933945
2026-08-12,1022656.2853933945
2026-08-13,1023387.2853933945
2026-08-14,1020616.2853933945
2026-08-17,1020140.2853933945
2026-08-18,1026277.2853933945
