,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,996895.6
2026-01-27,996934.6
2026-01-28,1000241.7999999999
2026-01-29,1001950.0
2026-01-30,1002285.3999999999
2026-02-01,991810.0
2026-02-02,990055.0
2026-02-03,990055.0
2026-02-04,1001297.8
2026-02-05,1004319.17
2026-02-06,999941.68
2026-02-09,1013488.97
2026-02-10,1025838.8400000001
2026-02-11,1032699.52
2026-02-12,1030679.35
2026-02-13,1015714.5900000001
2026-02-16,1019227.86
2026-02-17,1026378.8400000001
2026-02-18,1038124.5800000001
2026-02-19,1017617.28
2026-02-20,1027865.47
2026-02-23,1033485.46
2026-02-24,1034629.8400000001
2026-02-25,1049808.11
2026-02-26,1058493.85
2026-02-27,1051803.42
2026-03-02,1041784.9100000001
2026-03-04,1011608.0100000002
2026-03-05,1028686.4800000002
2026-03-06,1027114.8
2026-03-09,1011561.1500000001
2026-03-10,1019567.4500000001
2026-03-11,1009162.6000000001
2026-03-12,1007540.4500000001
2026-03-13,994545.0000000001
2026-03-16,990759.5000000001
2026-03-17,1002319.3000000002
2026-03-18,994199.7000000002
2026-03-19,977130.1000000001
2026-03-20,971128.1000000001
2026-03-23,962857.0000000001
2026-03-24,962554.7000000002
2026-03-25,969963.8000000002
2026-03-27,970384.0000000001
2026-03-30,965237.6000000001
2026-04-01,964769.2000000002
2026-04-02,963946.0000000001
2026-04-06,964602.6000000001
2026-04-07,963583.4000000001
2026-04-08,964142.0000000001
2026-04-09,964602.6000000001
2026-04-10,965484.6000000001
2026-04-13,964543.8000000002
2026-04-15,967885.6000000001
2026-04-16,969120.4000000001
2026-04-17,969071.4000000001
2026-04-20,967287.8000000002
2026-04-21,969630.0000000001
2026-04-22,972521.0000000001
2026-04-23,973912.6000000001
2026-04-24,971795.8000000002
2026-04-27,972080.0000000001
2026-04-28,972658.2000000002
2026-04-29,970129.8
2026-04-30,968070.55
2026-05-04,964912.4000000001
2026-05-05,970557.6500000001
2026-05-06,984952.25
2026-05-07,993345.2500000001
2026-05-08,994520.9500000001
2026-05-11,991761.3000000002
2026-05-12,971486.4500000002
2026-05-13,973153.6500000001
2026-05-14,990936.3000000002
2026-05-15,983012.5000000001
2026-05-18,975319.9000000001
2026-05-19,973195.8500000002
2026-05-20,985797.3500000002
2026-05-21,993154.6500000003
2026-05-22,997865.2500000002
2026-05-25,1001114.6000000002
2026-05-26,1005626.7000000002
2026-05-27,1017899.7000000002
2026-05-29,1015953.3000000002
2026-06-01,1005525.5500000002
2026-06-02,1006645.4000000001
2026-06-03,1008033.2500000002
2026-06-04,1010208.4500000002
2026-06-05,1011129.8500000002
2026-06-08,998906.9500000002
2026-06-09,1018812.0500000002
2026-06-10,1008251.9000000001
2026-06-11,1008010.7500000002
2026-06-12,1017921.6000000002
2026-06-15,1026982.0000000002
2026-06-16,1026219.2500000002
2026-06-17,1034278.1500000001
2026-06-18,1034422.0000000002
2026-06-19,1048242.9000000001
2026-06-22,1050890.0500000003
2026-06-23,1045031.3000000002
2026-06-24,1035407.6000000002
2026-06-25,1030639.8000000002
2026-06-29,1026925.1500000001
2026-06-30,1029257.2000000002
2026-07-01,1027275.7500000002
2026-07-02,1024430.4500000002
2026-07-03,1016485.5500000002
2026-07-06,1018336.0500000002
2026-07-07,1017762.9500000002
2026-07-08,1011418.6500000001
2026-07-09,1010505.2500000002
2026-07-10,1020866.3000000003
2026-07-13,1022169.2500000002
2026-07-14,1024525.6000000001
2026-07-15,1017905.2500000002
2026-07-16,1015853.2500000002
2026-07-17,1021714.9500000002
2026-07-20,1025334.5000000002
2026-07-21,1026511.6500000001
2026-07-22,1018524.5500000003
2026-07-23,1004873.9000000001
2026-07-24,1004095.1500000001
2026-07-27,1008831.9000000003
2026-07-28,1001663.1500000001
2026-07-29,1005033.5000000002
2026-07-30,1002722.0000000002
2026-07-31,1007251.6500000003
2026-08-03,1017247.5000000002
2026-08-04,1032258.8000000002
2026-08-05,1035337.1500000003
2026-08-06,1033847.3500000002
2026-08-07,1034964.8500000002
2026-08-10,1027715.4500000002
2026-08-11,1028665.6500000003
2026-08-12,1031384.5500000002
2026-08-13,1028805.6000000002
2026-08-14,1025058.3500000002
2026-08-17,1027849.8500000002
2026-08-18,1028580.4500000003
