,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1004685.3987749151
2026-01-28,1015157.2024501696
2026-01-29,1015157.2024501696
2026-01-30,1015157.2024501696
2026-02-01,1015157.2024501696
2026-02-02,1015157.2024501696
2026-02-03,1020156.1839080689
2026-02-04,1019652.1839080689
2026-02-05,1016297.783908069
2026-02-06,1014101.383908069
2026-02-09,1023225.583908069
2026-02-10,1033471.783908069
2026-02-11,1039190.3839080689
2026-02-12,1040409.583908069
2026-02-13,1033716.8839080689
2026-02-16,1037436.2839080689
2026-02-17,1044916.7320324737
2026-02-18,1049322.2760324737
2026-02-19,1029432.3760324735
2026-02-20,1038600.9760324736
2026-02-23,1047328.5586395694
2026-02-24,1043235.6586395693
2026-02-25,1057047.0131658716
2026-02-26,1063944.0131658716
2026-02-27,1053562.8131658717
2026-03-02,1038040.8131658717
2026-03-04,1025490.6131658715
2026-03-05,1037292.6235985046
2026-03-06,1034327.8235985045
2026-03-09,1021832.6235985046
2026-03-10,1040082.5835985048
2026-03-11,1043258.2031985046
2026-03-12,1041179.5031985044
2026-03-13,1031787.6031985045
2026-03-16,1022856.2031985045
2026-03-17,1035153.0051985045
2026-03-18,1029122.7051985045
2026-03-19,1015195.3051985045
2026-03-20,1012715.1051985046
2026-03-23,1008183.6051985046
2026-03-24,1008601.2051985046
2026-03-25,1012374.0051985045
2026-03-27,1013295.6051985046
2026-03-30,1011884.4051985046
2026-04-01,1017313.2051985046
2026-04-02,1016103.6051985046
2026-04-06,1017068.4051985046
2026-04-07,1015570.8051985046
2026-04-08,1016391.6051985046
2026-04-09,1017068.4051985046
2026-04-10,1018364.4051985046
2026-04-13,1016982.0051985045
2026-04-15,1021892.4051985046
2026-04-16,1023706.8051985046
2026-04-17,1023634.8051985046
2026-04-20,1021014.0051985045
2026-04-21,1024924.3827985046
2026-04-22,1024924.3827985046
2026-04-23,1024924.3827985046
2026-04-24,1024924.3827985046
2026-04-27,1024924.3827985046
2026-04-28,1024924.3827985046
2026-04-29,1024924.3827985046
2026-04-30,1024924.3827985046
2026-05-04,1024924.3827985046
2026-05-05,1024924.3827985046
2026-05-06,1023577.0389046115
2026-05-07,1035518.2389046114
2026-05-08,1038968.4785862911
2026-05-11,1039458.078586291
2026-05-12,1034821.8610546801
2026-05-13,1038461.2631599165
2026-05-14,1050698.6631599166
2026-05-15,1040978.4631599166
2026-05-18,1036690.8631599166
2026-05-19,1040686.8631599166
2026-05-20,1051038.0631599165
2026-05-21,1059621.2157547493
2026-05-22,1061123.6157547492
2026-05-25,1062483.2157547493
2026-05-26,1065598.4157547492
2026-05-27,1068147.2157547493
2026-05-29,1062009.2157547493
2026-06-01,1054604.015754749
2026-06-02,1055324.015754749
2026-06-03,1059430.3191078436
2026-06-04,1066509.5691078436
2026-06-05,1066893.5691078436
2026-06-08,1045439.3691078434
2026-06-09,1073458.2015078433
2026-06-10,1058155.2515078434
2026-06-11,1056422.9015078433
2026-06-12,1070454.1515078433
2026-06-15,1073468.019507843
2026-06-16,1073434.019507843
2026-06-17,1086882.019507843
2026-06-18,1089105.019507843
2026-06-19,1096488.019507843
2026-06-22,1096182.019507843
2026-06-23,1091801.019507843
2026-06-24,1078894.019507843
2026-06-25,1084495.7778678432
2026-06-29,1086759.622787843
2026-06-30,1084564.481987843
2026-07-01,1078917.8819878432
2026-07-02,1070883.4734978431
2026-07-03,1056739.1634978428
2026-07-06,1056271.1634978428
2026-07-07,1052791.1634978428
2026-07-08,1050979.1634978428
2026-07-09,1048905.8407355808
2026-07-10,1059281.2871360055
2026-07-13,1058448.4871360054
2026-07-14,1043347.1871360056
2026-07-15,1038010.8655710277
2026-07-16,1027770.2655710278
2026-07-17,1037706.4232210277
2026-07-20,1038929.2521598139
2026-07-21,1044606.8417598137
2026-07-22,1040276.0417598137
2026-07-23,1038377.6417598138
2026-07-24,1038372.9417598138
2026-07-27,1056172.6080154981
2026-07-28,1046295.498075498
2026-07-29,1040039.9658908664
2026-07-30,1035863.1658908664
2026-07-31,1054937.1608908663
2026-08-03,1066294.0758908663
2026-08-04,1079766.8758908664
2026-08-05,1080238.8758908664
2026-08-06,1080288.8758908664
2026-08-07,1075942.4758908662
2026-08-10,1078383.3758908664
2026-08-11,1075440.8758908664
2026-08-12,1081073.8758908664
2026-08-13,1085098.9865179537
2026-08-14,1077684.4865179537
2026-08-17,1079142.7865179537
2026-08-18,1082377.3865179536
