,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1004685.3987749151
2026-01-28,1015157.2024501696
2026-01-29,1015157.2024501696
2026-01-30,1015157.2024501696
2026-02-01,1015157.2024501696
2026-02-02,1015157.2024501696
2026-02-03,1014172.9705001696
2026-02-04,1011680.2205001696
2026-02-05,1007581.6205001696
2026-02-06,1007728.8705001696
2026-02-09,1011210.4205001696
2026-02-10,1013490.1205001696
2026-02-11,1012204.2705001696
2026-02-12,1014031.2205001696
2026-02-13,1009051.2705001696
2026-02-16,1014049.8205001695
2026-02-17,1017948.0705001696
2026-02-18,1021288.4205001695
2026-02-19,1012580.1705001696
2026-02-20,1016985.6705001695
2026-02-23,1019084.6705001696
2026-02-24,1017061.4705001696
2026-02-25,1021306.8205001696
2026-02-26,1024664.5705001696
2026-02-27,1020939.5205001696
2026-03-02,1023456.8705001696
2026-03-04,1017068.9705001696
2026-03-05,1026468.1881328026
2026-03-06,1026125.0237328026
2026-03-09,1017715.9237328026
2026-03-10,1036870.5127328027
2026-03-11,1039905.8115328026
2026-03-12,1037835.8615328025
2026-03-13,1028471.0115328026
2026-03-16,1019552.4115328025
2026-03-17,1025001.5615328025
2026-03-18,1024028.3115328025
2026-03-19,1015494.6115328025
2026-03-20,1019702.8115328025
2026-03-23,1015176.1615328025
2026-03-24,1015596.6615328025
2026-03-25,1019395.6615328025
2026-03-27,1020323.6615328025
2026-03-30,1018902.6615328025
2026-04-01,1024369.1615328025
2026-04-02,1023151.1615328025
2026-04-06,1024122.6615328025
2026-04-07,1022614.6615328025
2026-04-08,1023441.1615328025
2026-04-09,1024122.6615328025
2026-04-10,1025427.6615328025
2026-04-13,1024035.6615328025
2026-04-15,1028980.1615328025
2026-04-16,1030807.1615328025
2026-04-17,1030734.6615328025
2026-04-20,1028095.6615328025
2026-04-21,1032033.1945328024
2026-04-22,1032033.1945328024
2026-04-23,1032033.1945328024
2026-04-24,1032033.1945328024
2026-04-27,1032033.1945328024
2026-04-28,1032033.1945328024
2026-04-29,1032033.1945328024
2026-04-30,1032033.1945328024
2026-05-04,1032033.1945328024
2026-05-05,1032033.1945328024
2026-05-06,1032212.3305328025
2026-05-07,1031290.7305328024
2026-05-08,1031036.3305328025
2026-05-11,1031525.9305328025
2026-05-12,1028576.3305328025
2026-05-13,1026713.9305328025
2026-05-14,1032118.7305328024
2026-05-15,1031465.9305328025
2026-05-18,1030760.3305328025
2026-05-19,1030623.5305328025
2026-05-20,1031521.1305328025
2026-05-21,1034333.9305328025
2026-05-22,1034897.9305328025
2026-05-25,1035401.9305328025
2026-05-26,1035977.9305328025
2026-05-27,1039354.7305328024
2026-05-29,1035065.9305328025
2026-06-01,1032821.9305328025
2026-06-02,1034921.9305328025
2026-06-03,1033798.0006858965
2026-06-04,1038746.0006858965
2026-06-05,1039187.0006858965
2026-06-08,1026289.0006858965
2026-06-09,1034343.0006858965
2026-06-10,1029905.0006858965
2026-06-11,1026859.0006858965
2026-06-12,1036766.0006858965
2026-06-15,1035388.0006858965
2026-06-16,1035354.0006858965
2026-06-17,1048802.0006858965
2026-06-18,1051025.0006858965
2026-06-19,1058408.0006858965
2026-06-22,1058102.0006858965
2026-06-23,1053721.0006858965
2026-06-24,1040814.0006858965
2026-06-25,1036943.0006858965
2026-06-29,1039110.0006858965
2026-06-30,1036969.1878858965
2026-07-01,1031325.5878858966
2026-07-02,1024702.1878858965
2026-07-03,1014610.1878858965
2026-07-06,1014142.1878858965
2026-07-07,1010662.1878858965
2026-07-08,1008850.1878858965
2026-07-09,1008298.1878858965
2026-07-10,1012695.7101858965
2026-07-13,1010905.1101858965
2026-07-14,1004780.0101858965
2026-07-15,1004108.0101858965
2026-07-16,1003700.0101858965
2026-07-17,999644.0101858965
2026-07-20,1001383.6937966075
2026-07-21,1003758.4937966075
2026-07-22,1003411.6937966075
2026-07-23,1002792.4937966075
2026-07-24,998351.2937966075
2026-07-27,1000559.2937966075
2026-07-28,995476.0937966076
2026-07-29,995015.2937966075
2026-07-30,993488.8937966075
2026-07-31,1007302.0937966076
2026-08-03,1005264.4937966075
2026-08-04,1015985.2937966075
2026-08-05,1016753.2937966075
2026-08-06,1015601.2937966075
2026-08-07,1015154.8937966075
2026-08-10,1015499.2937966075
2026-08-11,1014281.2937966075
2026-08-12,1017149.2937966075
2026-08-13,1018763.2937966075
2026-08-14,1013693.2937966075
2026-08-17,1016242.0937966076
2026-08-18,1021609.6937966075
