,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1004621.9759078994
2026-02-04,1006724.4259078994
2026-02-05,1004619.8459078993
2026-02-06,1000790.7559078995
2026-02-09,1009828.0459078993
2026-02-10,1017716.3659078993
2026-02-11,1024766.1759078993
2026-02-12,1027035.9259078993
2026-02-13,1019718.9270578993
2026-02-16,1022586.4770578993
2026-02-17,1028075.2128166114
2026-02-18,1034415.4628166114
2026-02-19,1018559.4128166114
2026-02-20,1025394.2128166113
2026-02-23,1016807.6628166114
2026-02-24,1013062.6628166114
2026-02-25,1021200.1423429135
2026-02-26,1025636.3923429135
2026-02-27,1023657.1423429135
2026-03-02,1027865.8923429135
2026-03-04,1024635.3923429135
2026-03-05,1034335.3527755465
2026-03-06,1038938.3694755465
2026-03-09,1035581.2694755464
2026-03-10,1054891.1548755465
2026-03-11,1058076.1819755463
2026-03-12,1056022.6319755465
2026-03-13,1046683.5819755464
2026-03-16,1037770.7819755464
2026-03-17,1050110.0569755463
2026-03-18,1043937.3069755464
2026-03-19,1029955.3069755464
2026-03-20,1027550.1069755465
2026-03-23,1023021.4569755464
2026-03-24,1023447.7569755464
2026-03-25,1027299.1569755464
2026-03-27,1028239.9569755464
2026-03-30,1026799.3569755465
2026-04-01,1032341.2569755464
2026-04-02,1031106.4569755464
2026-04-06,1032091.3569755465
2026-04-07,1030562.5569755464
2026-04-08,1031400.4569755464
2026-04-09,1032091.3569755465
2026-04-10,1033414.3569755465
2026-04-13,1032003.1569755464
2026-04-15,1037015.8569755465
2026-04-16,1038868.0569755464
2026-04-17,1038794.5569755464
2026-04-20,1036119.1569755464
2026-04-21,1040111.0007755463
2026-04-22,1040111.0007755463
2026-04-23,1040111.0007755463
2026-04-24,1040111.0007755463
2026-04-27,1040111.0007755463
2026-04-28,1040111.0007755463
2026-04-29,1040111.0007755463
2026-04-30,1040111.0007755463
2026-05-04,1040111.0007755463
2026-05-05,1040111.0007755463
2026-05-06,1038735.38873547
2026-05-07,1050914.78873547
2026-05-08,1054433.6328556992
2026-05-11,1054923.2328556993
2026-05-12,1051973.6328556992
2026-05-13,1050111.2328556993
2026-05-14,1055516.0328556993
2026-05-15,1054863.2328556993
2026-05-18,1054157.6328556992
2026-05-19,1054020.8328556994
2026-05-20,1054918.4328556992
2026-05-21,1057731.2328556993
2026-05-22,1058295.2328556993
2026-05-25,1058799.2328556993
2026-05-26,1059375.2328556993
2026-05-27,1062752.0328556993
2026-05-29,1058463.2328556993
2026-06-01,1056219.2328556993
2026-06-02,1058319.2328556993
2026-06-03,1063319.59007622
2026-06-04,1071109.64007622
2026-06-05,1072967.84007622
2026-06-08,1056146.7400762201
2026-06-09,1079957.03527622
2026-06-10,1072971.3852762198
2026-06-11,1071112.33527622
2026-06-12,1085364.58527622
2026-06-15,1088255.82927622
2026-06-16,1088288.82927622
2026-06-17,1102016.82927622
2026-06-18,1104337.32927622
2026-06-19,1112003.82927622
2026-06-22,1111658.82927622
2026-06-23,1107187.32927622
2026-06-24,1093928.82927622
2026-06-25,1099655.5892762197
2026-06-29,1101834.3092762197
2026-06-30,1099607.6536762198
2026-07-01,1093911.7036762196
2026-07-02,1085704.5833162197
2026-07-03,1071209.2433162197
2026-07-06,1070741.2433162197
2026-07-07,1067261.2433162197
2026-07-08,1065449.2433162197
2026-07-09,1064897.2433162197
2026-07-10,1072044.813874438
2026-07-13,1067873.813874438
2026-07-14,1056296.5138744377
2026-07-15,1051337.0390380432
2026-07-16,1048727.5390380432
2026-07-17,1049237.3724380434
2026-07-20,1051578.3724380434
2026-07-21,1054003.422238043
2026-07-22,1053919.422238043
2026-07-23,1052155.422238043
2026-07-24,1051447.422238043
2026-07-27,1058179.4409827508
2026-07-28,1050461.8137427508
2026-07-29,1051764.6637427509
2026-07-30,1047512.4637427508
2026-07-31,1058543.9587427508
2026-08-03,1067141.0737427508
2026-08-04,1078581.8737427508
2026-08-05,1082652.8737427508
2026-08-06,1091359.3737427508
2026-08-07,1092305.6812427505
2026-08-10,1093784.0812427506
2026-08-11,1093664.0812427506
2026-08-12,1096280.0812427506
2026-08-13,1099535.5254982389
2026-08-14,1096838.5254982389
2026-08-17,1096581.425498239
2026-08-18,1096890.925498239
