,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1004621.9759078994
2026-02-04,1006724.4259078994
2026-02-05,1004619.8459078993
2026-02-06,1000790.7559078995
2026-02-09,1009828.0459078993
2026-02-10,1017716.3659078993
2026-02-11,1024766.1759078993
2026-02-12,1027035.9259078993
2026-02-13,1019718.9270578993
2026-02-16,1022586.4770578993
2026-02-17,1027241.4770578993
2026-02-18,1037646.2347703904
2026-02-19,1017862.8347703905
2026-02-20,1024697.6347703903
2026-02-23,1016111.0847703904
2026-02-24,1012366.0847703904
2026-02-25,1020503.5642966926
2026-02-26,1024939.8142966926
2026-02-27,1022960.5642966926
2026-03-02,1027169.3142966926
2026-03-04,1023938.8142966926
2026-03-05,1033638.7747293256
2026-03-06,1038241.7914293257
2026-03-09,1034884.6914293256
2026-03-10,1054194.5768293256
2026-03-11,1057379.6039293255
2026-03-12,1055326.0539293257
2026-03-13,1045987.0039293255
2026-03-16,1037074.2039293254
2026-03-17,1049413.4789293255
2026-03-18,1043240.7289293255
2026-03-19,1029258.7289293255
2026-03-20,1026853.5289293255
2026-03-23,1022324.8789293255
2026-03-24,1022751.1789293254
2026-03-25,1026602.5789293254
2026-03-27,1027543.3789293255
2026-03-30,1026102.7789293255
2026-04-01,1031644.6789293254
2026-04-02,1030409.8789293255
2026-04-06,1031394.7789293255
2026-04-07,1029865.9789293255
2026-04-08,1030703.8789293255
2026-04-09,1031394.7789293255
2026-04-10,1032717.7789293255
2026-04-13,1031306.5789293254
2026-04-15,1036319.2789293255
2026-04-16,1038171.4789293255
2026-04-17,1038097.9789293255
2026-04-20,1035422.5789293254
2026-04-21,1039414.4227293254
2026-04-22,1039414.4227293254
2026-04-23,1039414.4227293254
2026-04-24,1039414.4227293254
2026-04-27,1039414.4227293254
2026-04-28,1039414.4227293254
2026-04-29,1039414.4227293254
2026-04-30,1039414.4227293254
2026-05-04,1049149.1140293255
2026-05-05,1050440.9956293255
2026-05-06,1059579.9055430659
2026-05-07,1074844.4607430657
2026-05-08,1078421.3093018446
2026-05-11,1078931.3093018446
2026-05-12,1075858.8093018446
2026-05-13,1077460.2255018447
2026-05-14,1092262.4827183725
2026-05-15,1081493.2027183725
2026-05-18,1076022.2127183727
2026-05-19,1074717.7827183725
2026-05-20,1084231.3327183726
2026-05-21,1089150.1027183724
2026-05-22,1091738.3727183724
2026-05-25,1106395.0041183722
2026-05-26,1117775.0024687885
2026-05-27,1121292.5024687885
2026-05-29,1116825.0024687885
2026-06-01,1114487.5024687885
2026-06-02,1116675.0024687885
2026-06-03,1121970.3771567363
2026-06-04,1130107.1271567363
2026-06-05,1132065.7271567362
2026-06-08,1114534.5271567362
2026-06-09,1139529.778356736
2026-06-10,1132226.928356736
2026-06-11,1130324.978356736
2026-06-12,1145202.228356736
2026-06-15,1148291.864356736
2026-06-16,1148317.864356736
2026-06-17,1162582.864356736
2026-06-18,1164987.864356736
2026-06-19,1172938.364356736
2026-06-22,1172583.864356736
2026-06-23,1167937.364356736
2026-06-24,1154170.364356736
2026-06-25,1160268.226076736
2026-06-29,1164099.537116736
2026-06-30,1160762.1387167359
2026-07-01,1167098.853116736
2026-07-02,1156725.053116736
2026-07-03,1137950.809916736
2026-07-06,1137463.309916736
2026-07-07,1133838.309916736
2026-07-08,1131950.809916736
2026-07-09,1131375.809916736
2026-07-10,1139347.8992143164
2026-07-13,1137249.9992143163
2026-07-14,1118555.5992143163
2026-07-15,1110571.952646167
2026-07-16,1107880.552646167
2026-07-17,1109117.102546167
2026-07-20,1112960.604546167
2026-07-21,1119333.0076461672
2026-07-22,1107259.807646167
2026-07-23,1098351.807646167
2026-07-24,1093390.401646167
2026-07-27,1094467.237646167
2026-07-28,1085659.737646167
2026-07-29,1084861.037646167
2026-07-30,1086756.2376461672
2026-07-31,1105809.002646167
2026-08-03,1111913.1076461668
2026-08-04,1115647.1076461668
2026-08-05,1117437.1076461668
2026-08-06,1111342.907646167
2026-08-07,1109464.6076461668
2026-08-10,1108485.907646167
2026-08-11,1107132.907646167
2026-08-12,1111032.307646167
2026-08-13,1112049.6645300563
2026-08-14,1104026.6645300563
2026-08-17,1104159.2645300562
2026-08-18,1112986.1645300563
