,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1004787.2000000001
2026-02-04,1005862.4
2026-02-05,1008632.5446000001
2026-02-06,1009224.8546000001
2026-02-09,1019190.8946000001
2026-02-10,1022174.3646000001
2026-02-11,1026552.3746
2026-02-12,1024252.2246
2026-02-13,1018071.1757499999
2026-02-16,1025890.97575
2026-02-17,1029541.3257500001
2026-02-18,1037202.75195
2026-02-19,1036187.75195
2026-02-20,1038745.55195
2026-02-23,1029669.5163505059
2026-02-24,1024969.5163505059
2026-02-25,1024969.5163505059
2026-02-26,1024969.5163505059
2026-02-27,1024969.5163505059
2026-03-02,1024969.5163505059
2026-03-04,1024969.5163505059
2026-03-05,1024969.5163505059
2026-03-06,1027377.702600506
2026-03-09,1015911.102600506
2026-03-10,1026845.0428555073
2026-03-11,1028003.4428555074
2026-03-12,1030183.9428555074
2026-03-13,1027900.5809055072
2026-03-16,1024964.6809055072
2026-03-17,1031696.9599055072
2026-03-18,1026681.8599055072
2026-03-19,1021374.7599055071
2026-03-20,1014833.9599055072
2026-03-23,1014833.9599055072
2026-03-24,1014833.9599055072
2026-03-25,1014833.9599055072
2026-03-27,1014833.9599055072
2026-03-30,1014833.9599055072
2026-04-01,1014833.9599055072
2026-04-02,1014833.9599055072
2026-04-06,1014833.9599055072
2026-04-07,1014833.9599055072
2026-04-08,1014833.9599055072
2026-04-09,1014833.9599055072
2026-04-10,1014833.9599055072
2026-04-13,1014833.9599055072
2026-04-15,1014833.9599055072
2026-04-16,1014833.9599055072
2026-04-17,1014833.9599055072
2026-04-20,1014833.9599055072
2026-04-21,1014833.9599055072
2026-04-22,1014833.9599055072
2026-04-23,1014833.9599055072
2026-04-24,1014833.9599055072
2026-04-27,1014833.9599055072
2026-04-28,1014833.9599055072
2026-04-29,1014833.9599055072
2026-04-30,1014833.9599055072
2026-05-04,1014833.9599055072
2026-05-05,1014833.9599055072
2026-05-06,1014833.9599055072
2026-05-07,1014833.9599055072
2026-05-08,1014833.9599055072
2026-05-11,1014833.9599055072
2026-05-12,1014833.9599055072
2026-05-13,1018183.4767055071
2026-05-14,1026843.0100334841
2026-05-15,1014736.1800334841
2026-05-18,1001825.3800334842
2026-05-19,998744.9800334842
2026-05-20,1008050.1800334841
2026-05-21,1013685.7800334842
2026-05-22,1016330.1800334841
2026-05-25,1030303.229633484
2026-05-26,1041211.4296495531
2026-05-27,1045713.8296495532
2026-05-29,1038040.7524495531
2026-06-01,1031333.1524495531
2026-06-02,1034648.3524495531
2026-06-03,1033750.6066026471
2026-06-04,1041962.8066026471
2026-06-05,1038077.6186026472
2026-06-08,1010975.2186026471
2026-06-09,1029541.4186026473
2026-06-10,1020734.8186026472
2026-06-11,1017987.0186026471
2026-06-12,1033421.0186026471
2026-06-15,1037055.0666026471
2026-06-16,1036429.0666026471
2026-06-17,1051933.066602647
2026-06-18,1054052.066602647
2026-06-19,1061439.066602647
2026-06-22,1062830.625802647
2026-06-23,1068916.226802647
2026-06-24,1048271.3268026471
2026-06-25,1052171.1722026472
2026-06-29,1068651.671202647
2026-06-30,1067458.5712026472
2026-07-01,1061667.371202647
2026-07-02,1060172.171202647
2026-07-03,1053434.670402647
2026-07-06,1060046.670402647
2026-07-07,1059185.470402647
2026-07-08,1057372.470402647
2026-07-09,1051678.470402647
2026-07-10,1062874.7020402956
2026-07-13,1059745.7544402955
2026-07-14,1072324.3544402956
2026-07-15,1062349.3544402956
2026-07-16,1065539.7150402954
2026-07-17,1061973.1517402953
2026-07-20,1065671.6707402954
2026-07-21,1076383.9478402955
2026-07-22,1059946.9078402952
2026-07-23,1052284.7578402953
2026-07-24,1052246.6578402952
2026-07-27,1061304.5082802954
2026-07-28,1072575.7456602952
2026-07-29,1080709.9200602954
2026-07-30,1077548.2200602954
2026-07-31,1078429.2200602954
2026-08-03,1093561.4563602954
2026-08-04,1088026.8063602953
2026-08-05,1083790.0063602952
2026-08-06,1084014.7063602954
2026-08-07,1085092.7563602952
2026-08-10,1084251.7563602952
2026-08-11,1081266.1063602953
2026-08-12,1081232.4063602954
2026-08-13,1080986.0063602952
2026-08-14,1079310.1232602953
2026-08-17,1078260.6732602953
2026-08-18,1075725.8732602953
