,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1004685.3987749151
2026-01-28,1015157.2024501696
2026-01-29,1015157.2024501696
2026-01-30,1015157.2024501696
2026-02-01,1015157.2024501696
2026-02-02,1015157.2024501696
2026-02-03,1021704.9256001696
2026-02-04,1025272.8756001696
2026-02-05,1022743.2156001696
2026-02-06,1022414.5178001695
2026-02-09,1031038.3758001695
2026-02-10,1039885.3758001697
2026-02-11,1043139.3258001695
2026-02-12,1042169.4258001695
2026-02-13,1031641.8258001695
2026-02-16,1045627.8508001695
2026-02-17,1054682.9508001695
2026-02-18,1063531.1508001694
2026-02-19,1050318.5008001695
2026-02-20,1057344.1508001694
2026-02-23,1060000.7508001695
2026-02-24,1058323.4508001695
2026-02-25,1072592.0283001694
2026-02-26,1077148.5783001694
2026-02-27,1068860.5283001694
2026-03-02,1068321.4783001693
2026-03-04,1054049.5783001694
2026-03-05,1063578.9749340576
2026-03-06,1063258.4349340575
2026-03-09,1054908.6349340577
2026-03-10,1074705.8649340577
2026-03-11,1078016.3769340576
2026-03-12,1075872.4269340576
2026-03-13,1066406.0769340575
2026-03-16,1057328.9769340577
2026-03-17,1062810.1269340576
2026-03-18,1061751.8769340576
2026-03-19,1053110.6769340576
2026-03-20,1057538.3769340576
2026-03-23,1052948.2269340577
2026-03-24,1053383.2269340577
2026-03-25,1057313.2269340577
2026-03-27,1058273.2269340577
2026-03-30,1056803.2269340577
2026-04-01,1062458.2269340577
2026-04-02,1061198.2269340577
2026-04-06,1062203.2269340577
2026-04-07,1060643.2269340577
2026-04-08,1061498.2269340577
2026-04-09,1062203.2269340577
2026-04-10,1063553.2269340577
2026-04-13,1062113.2269340577
2026-04-15,1067228.2269340577
2026-04-16,1069118.2269340577
2026-04-17,1069043.2269340577
2026-04-20,1066313.2269340577
2026-04-21,1070386.5369340575
2026-04-22,1070386.5369340575
2026-04-23,1070386.5369340575
2026-04-24,1070386.5369340575
2026-04-27,1070386.5369340575
2026-04-28,1070386.5369340575
2026-04-29,1077945.9361840575
2026-04-30,1075225.6861840575
2026-05-04,1081559.6497840574
2026-05-05,1082726.7997840573
2026-05-06,1088082.9589840574
2026-05-07,1092914.4589840574
2026-05-08,1091303.9589840574
2026-05-11,1088333.2089840574
2026-05-12,1078094.4589840574
2026-05-13,1076446.9589840574
2026-05-14,1091816.8662005854
2026-05-15,1088841.4862005853
2026-05-18,1078981.1962005855
2026-05-19,1082034.9917005852
2026-05-20,1089517.6417005854
2026-05-21,1095688.5117005853
2026-05-22,1102707.9817005852
2026-05-25,1120213.9117005852
2026-05-26,1136166.6100510017
2026-05-27,1150158.6100510017
2026-05-29,1134760.6130510017
2026-06-01,1121218.1630510017
2026-06-02,1126344.9130510017
2026-06-03,1124528.4630510018
2026-06-04,1125552.3630510017
2026-06-05,1117070.9630510015
2026-06-08,1094022.4630510018
2026-06-09,1115081.5630510016
2026-06-10,1093061.3130510016
2026-06-11,1096866.3653010016
2026-06-12,1101566.3653010016
2026-06-15,1103841.3653010016
2026-06-16,1101991.3653010016
2026-06-17,1108416.3653010016
2026-06-18,1108091.3653010016
2026-06-19,1108103.8653010016
2026-06-22,1110372.0523010017
2026-06-23,1115250.0523010017
2026-06-24,1107171.0523010017
2026-06-25,1102745.0523010017
2026-06-29,1115141.5523010017
2026-06-30,1115859.3819010016
2026-07-01,1107550.9819010017
2026-07-02,1107822.4819010017
2026-07-03,1107219.3209010016
2026-07-06,1106731.8209010016
2026-07-07,1103106.8209010016
2026-07-08,1101219.3209010016
2026-07-09,1100644.3209010016
2026-07-10,1105278.7289010016
2026-07-13,1103365.2289010016
2026-07-14,1096641.7289010016
2026-07-15,1093937.8459010017
2026-07-16,1091538.8459010017
2026-07-17,1089518.8459010017
2026-07-20,1089939.4559010016
2026-07-21,1098189.7854010018
2026-07-22,1096977.4754010017
2026-07-23,1090364.4754010017
2026-07-24,1079625.1754010017
2026-07-27,1081554.3232010019
2026-07-28,1085191.2232010018
2026-07-29,1092927.1232010017
2026-07-30,1095920.5232010018
2026-07-31,1117163.0032010018
2026-08-03,1133107.5598010016
2026-08-04,1138415.2228010017
2026-08-05,1138972.2228010017
2026-08-06,1137625.2228010017
2026-08-07,1137014.7228010017
2026-08-10,1141629.7228010017
2026-08-11,1138894.4228010015
2026-08-12,1144164.3228010016
2026-08-13,1149540.5228010016
2026-08-14,1143825.0228010016
2026-08-17,1148901.6228010016
2026-08-18,1155261.3228010016
