,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1000000.0
2026-02-04,1000000.0
2026-02-05,1000000.0
2026-02-06,1000000.0
2026-02-09,1000000.0
2026-02-10,1000000.0
2026-02-11,1000000.0
2026-02-12,1000000.0
2026-02-13,1000000.0
2026-02-16,1000000.0
2026-02-17,1000000.0
2026-02-18,1000000.0
2026-02-19,1000000.0
2026-02-20,1000000.0
2026-02-23,1000000.0
2026-02-24,1000000.0
2026-02-25,1000000.0
2026-02-26,1000000.0
2026-02-27,1000000.0
2026-03-02,1000000.0
2026-03-04,1000000.0
2026-03-05,1000000.0
2026-03-06,1000000.0
2026-03-09,1000000.0
2026-03-10,1000000.0
2026-03-11,1000000.0
2026-03-12,1000000.0
2026-03-13,1000000.0
2026-03-16,1000000.0
2026-03-17,1000000.0
2026-03-18,1000000.0
2026-03-19,1000000.0
2026-03-20,1000000.0
2026-03-23,1000000.0
2026-03-24,1000000.0
2026-03-25,1000000.0
2026-03-27,1000000.0
2026-03-30,1000000.0
2026-04-01,1000000.0
2026-04-02,1000000.0
2026-04-06,1000000.0
2026-04-07,1000000.0
2026-04-08,1000000.0
2026-04-09,1000000.0
2026-04-10,1000000.0
2026-04-13,1000000.0
2026-04-15,1000000.0
2026-04-16,1000000.0
2026-04-17,1000000.0
2026-04-20,1000000.0
2026-04-21,1000000.0
2026-04-22,1000000.0
2026-04-23,1000000.0
2026-04-24,1000000.0
2026-04-27,1000000.0
2026-04-28,1000000.0
2026-04-29,1000000.0
2026-04-30,1000000.0
2026-05-04,1000000.0
2026-05-05,1000000.0
2026-05-06,1000171.672
2026-05-07,999288.472
2026-05-08,999044.672
2026-05-11,999513.872
2026-05-12,996687.172
2026-05-13,994902.372
2026-05-14,1002874.9831058823
2026-05-15,999658.1831058823
2026-05-18,997317.3831058822
2026-05-19,1001201.1006058822
2026-05-20,1005487.5506058823
2026-05-21,1011052.0506058823
2026-05-22,1014512.3506058824
2026-05-25,1025748.3006058823
2026-05-26,1039943.0672882355
2026-05-27,1050703.1672882354
2026-05-29,1038222.6400882355
2026-06-01,1029026.7900882356
2026-06-02,1030866.9900882356
2026-06-03,1026818.7602413297
2026-06-04,1027919.4102413296
2026-06-05,1020863.6102413296
2026-06-08,994610.7102413296
2026-06-09,1010251.8602413296
2026-06-10,990386.5602413296
2026-06-11,986222.3602413296
2026-06-12,995941.3602413296
2026-06-15,994472.3602413296
2026-06-16,994512.3602413296
2026-06-17,1007703.3602413296
2026-06-18,1009939.3602413296
2026-06-19,1017321.8602413296
2026-06-22,1018388.6670413297
2026-06-23,1020496.3670413296
2026-06-24,1003940.7670413296
2026-06-25,999624.3670413296
2026-06-29,1008749.9670413296
2026-06-30,1009097.1674413297
2026-07-01,1000213.3174413296
2026-07-02,998644.3174413296
2026-07-03,991854.8970413295
2026-07-06,991406.3970413295
2026-07-07,988071.3970413295
2026-07-08,986334.8970413295
2026-07-09,985805.8970413295
2026-07-10,989071.8970413295
2026-07-13,988209.3970413295
2026-07-14,988404.8970413295
2026-07-15,987760.8970413295
2026-07-16,987369.8970413295
2026-07-17,983482.8970413295
2026-07-20,983777.3450413295
2026-07-21,986296.9345413295
2026-07-22,981837.8845413295
2026-07-23,981569.7845413295
2026-07-24,977537.6845413295
2026-07-27,978984.9828413295
2026-07-28,981939.3383413296
2026-07-29,987357.3383413296
2026-07-30,980333.7383413295
2026-07-31,995700.9383413296
2026-08-03,1008741.9434413295
2026-08-04,1009802.2434413295
2026-08-05,1008501.2434413295
2026-08-06,1006486.4434413294
2026-08-07,1007715.4434413294
2026-08-10,1006927.4434413294
2026-08-11,1005748.4434413294
2026-08-12,1009289.0434413294
2026-08-13,1009233.2434413295
2026-08-14,1004173.4434413294
2026-08-17,1007372.6434413295
2026-08-18,1013719.7434413295
