,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1006859.5795360146
2026-02-04,1017040.1295360146
2026-02-05,1016819.8495360146
2026-02-06,1015098.5867360146
2026-02-09,1027205.1147360145
2026-02-10,1032236.7647360147
2026-02-11,1042980.2315801497
2026-02-12,1041752.1815801498
2026-02-13,1029942.4515801498
2026-02-16,1031556.2115801498
2026-02-17,1040864.3815801498
2026-02-18,1049622.9415801498
2026-02-19,1035747.7615801498
2026-02-20,1040964.9415801497
2026-02-23,1042017.9315801498
2026-02-24,1041959.5415801498
2026-02-25,1053810.1505801498
2026-02-26,1062521.3305801498
2026-02-27,1057345.3305801498
2026-03-02,1048336.1605801499
2026-03-04,1022496.3205801498
2026-03-05,1032131.2882127827
2026-03-06,1036694.0549127827
2026-03-09,1033362.2549127827
2026-03-10,1052648.7403127828
2026-03-11,1055027.2147127828
2026-03-12,1052141.8147127829
2026-03-13,1037271.3147127826
2026-03-16,1027551.3147127827
2026-03-17,1032148.4147127827
2026-03-18,1032164.2147127828
2026-03-19,1017352.7147127826
2026-03-20,1021681.6147127827
2026-03-23,1017170.5147127827
2026-03-24,1017596.8147127826
2026-03-25,1021448.2147127826
2026-03-27,1022389.0147127827
2026-03-30,1020948.4147127827
2026-04-01,1026490.3147127826
2026-04-02,1025255.5147127827
2026-04-06,1026240.4147127827
2026-04-07,1024711.6147127827
2026-04-08,1025549.5147127827
2026-04-09,1026240.4147127827
2026-04-10,1027563.4147127827
2026-04-13,1026152.2147127826
2026-04-15,1031164.9147127827
2026-04-16,1033017.1147127827
2026-04-17,1032943.6147127827
2026-04-20,1030268.2147127826
2026-04-21,1034019.1589127827
2026-04-22,1036202.1589127827
2026-04-23,1037252.9589127826
2026-04-24,1035654.5589127826
2026-04-27,1035869.1589127827
2026-04-28,1036305.7589127827
2026-04-29,1041697.5171627826
2026-04-30,1038530.0671627827
2026-05-04,1043625.6714127826
2026-05-05,1048609.3214127827
2026-05-06,1057490.6956127826
2026-05-07,1064419.6956127826
2026-05-08,1065518.9956127824
2026-05-11,1066195.9456127826
2026-05-12,1056432.1956127826
2026-05-13,1056625.3956127826
2026-05-14,1075968.6233849488
2026-05-15,1073836.223384949
2026-05-18,1063760.223384949
2026-05-19,1064878.1733849489
2026-05-20,1071419.823384949
2026-05-21,1074911.773384949
2026-05-22,1071800.1733849489
2026-05-25,1090973.3733849488
2026-05-26,1103936.2067266994
2026-05-27,1112366.3067266992
2026-05-29,1099768.3696266995
2026-06-01,1087663.9696266993
2026-06-02,1094465.6196266992
2026-06-03,1094771.1696266993
2026-06-04,1101062.7196266993
2026-06-05,1104050.9196266993
2026-06-08,1086634.9196266993
2026-06-09,1100738.4696266993
2026-06-10,1090912.7196266993
2026-06-11,1093451.1153266993
2026-06-12,1100386.8653266993
2026-06-15,1104102.6653266994
2026-06-16,1100236.7153266994
2026-06-17,1105906.4153266994
2026-06-18,1105502.5653266995
2026-06-19,1112333.1653266994
2026-06-22,1115110.6153266993
2026-06-23,1115140.6653266994
2026-06-24,1110364.6653266994
2026-06-25,1104501.0653266995
2026-06-29,1111727.2153266994
2026-06-30,1112873.3113266993
2026-07-01,1104007.5113266995
2026-07-02,1102139.6113266996
2026-07-03,1099391.0113266995
2026-07-06,1097685.2113266995
2026-07-07,1089242.8113266996
2026-07-08,1086592.7113266995
2026-07-09,1089570.3113266996
2026-07-10,1097018.3642266993
2026-07-13,1097051.4642266994
2026-07-14,1090609.9642266994
2026-07-15,1089314.7642266997
2026-07-16,1089196.6642266996
2026-07-17,1082386.2642266997
2026-07-20,1085409.3762266997
2026-07-21,1091361.9861266997
2026-07-22,1089217.7661266997
2026-07-23,1088636.7661266997
2026-07-24,1084954.9661266997
2026-07-27,1098735.1661266997
2026-07-28,1103413.9661266997
2026-07-29,1109478.5661266996
2026-07-30,1111934.1661266997
2026-07-31,1135171.7261266997
2026-08-03,1139443.5261266998
2026-08-04,1149974.8261266996
2026-08-05,1149286.4261266997
2026-08-06,1144717.6261266996
2026-08-07,1149662.2261266997
2026-08-10,1148822.4261266997
2026-08-11,1147014.6261266996
2026-08-12,1149565.0261266998
2026-08-13,1148910.5261266998
2026-08-14,1136506.5261266998
2026-08-17,1142299.1261266996
2026-08-18,1151287.7261266997
