,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1009070.3942000001
2026-01-23,1004334.1942
2026-01-27,1004393.6942
2026-01-28,1009439.2942000001
2026-01-29,1012204.2116
2026-01-30,1012204.2116
2026-02-01,1012204.2116
2026-02-02,1012204.2116
2026-02-03,1022665.4386828553
2026-02-04,1028612.6886828553
2026-02-05,1025463.7986828553
2026-02-06,1019982.4786828555
2026-02-09,1037984.1486828554
2026-02-10,1049899.0586828552
2026-02-11,1059704.1874079877
2026-02-12,1062047.6879079875
2026-02-13,1047760.9713579875
2026-02-16,1054094.9713579875
2026-02-17,1067132.5198579875
2026-02-18,1082882.7079622815
2026-02-19,1061134.1579622815
2026-02-20,1071444.3079622814
2026-02-23,1062415.6579622815
2026-02-24,1059689.6579622815
2026-02-25,1071618.4149885837
2026-02-26,1074842.3989885836
2026-02-27,1065395.7989885835
2026-03-02,1061135.1989885836
2026-03-04,1057869.1989885836
2026-03-05,1067739.5456224717
2026-03-06,1076009.2703224719
2026-03-09,1067206.370322472
2026-03-10,1091508.1703224718
2026-03-11,1091449.6890224717
2026-03-12,1091584.1890224717
2026-03-13,1086407.4882224717
2026-03-16,1079855.4882224717
2026-03-17,1097783.2822224717
2026-03-18,1095569.6822224716
2026-03-19,1076926.0822224715
2026-03-20,1061107.7822224717
2026-03-23,1055709.2822224717
2026-03-24,1055709.2822224717
2026-03-25,1055709.2822224717
2026-03-27,1055709.2822224717
2026-03-30,1055709.2822224717
2026-04-01,1055709.2822224717
2026-04-02,1055709.2822224717
2026-04-06,1055709.2822224717
2026-04-07,1055709.2822224717
2026-04-08,1055709.2822224717
2026-04-09,1055709.2822224717
2026-04-10,1055709.2822224717
2026-04-13,1055709.2822224717
2026-04-15,1055709.2822224717
2026-04-16,1055709.2822224717
2026-04-17,1055709.2822224717
2026-04-20,1055709.2822224717
2026-04-21,1055709.2822224717
2026-04-22,1055709.2822224717
2026-04-23,1055709.2822224717
2026-04-24,1055709.2822224717
2026-04-27,1055709.2822224717
2026-04-28,1055709.2822224717
2026-04-29,1063165.3050724717
2026-04-30,1060482.2550724717
2026-05-04,1066710.0075224717
2026-05-05,1069612.4477224718
2026-05-06,1080578.706040029
2026-05-07,1101845.2854400286
2026-05-08,1104163.6384373573
2026-05-11,1101240.4884373574
2026-05-12,1091099.7384373574
2026-05-13,1093041.9908373572
2026-05-14,1114606.214164875
2026-05-15,1104188.794164875
2026-05-18,1091423.5341648753
2026-05-19,1093552.0716648751
2026-05-20,1108711.771664875
2026-05-21,1116090.1516648752
2026-05-22,1123137.6316648752
2026-05-25,1144370.444464875
2026-05-26,1159742.1044823215
2026-05-27,1164510.1044823215
2026-05-29,1153641.4975823215
2026-06-01,1137021.1475823214
2026-06-02,1141103.4975823215
2026-06-03,1140505.5181376957
2026-06-04,1147651.9181376956
2026-06-05,1145216.5181376957
2026-06-08,1118743.4181376956
2026-06-09,1142297.3181376958
2026-06-10,1125955.3681376958
2026-06-11,1125858.9495876958
2026-06-12,1136576.4495876958
2026-06-15,1134878.4495876958
2026-06-16,1134971.4495876958
2026-06-17,1149516.4495876958
2026-06-18,1152018.9495876958
2026-06-19,1160252.9495876958
2026-06-22,1161459.2643876958
2026-06-23,1168908.6777876958
2026-06-24,1147700.8777876957
2026-06-25,1153492.0911076958
2026-06-29,1169629.8983976957
2026-06-30,1168567.4983976958
2026-07-01,1164004.1483976957
2026-07-02,1162044.7483976958
2026-07-03,1154593.1999976956
2026-07-06,1161989.6999976956
2026-07-07,1162481.8999976958
2026-07-08,1161251.3999976958
2026-07-09,1155274.3999976958
2026-07-10,1170203.481768173
2026-07-13,1165799.381768173
2026-07-14,1160570.181768173
2026-07-15,1147631.0933553916
2026-07-16,1151958.6847553917
2026-07-17,1153718.3678553917
2026-07-20,1161118.9678553918
2026-07-21,1170900.0221553918
2026-07-22,1165558.5221553915
2026-07-23,1153236.0221553915
2026-07-24,1144689.7221553912
2026-07-27,1154410.9410599377
2026-07-28,1155046.6429199378
2026-07-29,1158548.1461199378
2026-07-30,1164436.9461199376
2026-07-31,1176734.7911199376
2026-08-03,1181502.3761199375
2026-08-04,1195979.4501199375
2026-08-05,1197938.5501199376
2026-08-06,1200778.8501199377
2026-08-07,1197838.0501199376
2026-08-10,1205644.2501199376
2026-08-11,1200919.5501199376
2026-08-12,1204096.5501199376
2026-08-13,1210758.2181199377
2026-08-14,1205175.9910199377
2026-08-17,1207971.0910199378
2026-08-18,1201259.1910199379
