,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1000000.0
2026-02-04,1000000.0
2026-02-05,1000000.0
2026-02-06,1000000.0
2026-02-09,1000000.0
2026-02-10,1000000.0
2026-02-11,1000000.0
2026-02-12,1000000.0
2026-02-13,1000000.0
2026-02-16,1000000.0
2026-02-17,1000000.0
2026-02-18,1000000.0
2026-02-19,1000000.0
2026-02-20,1000000.0
2026-02-23,1000000.0
2026-02-24,1000000.0
2026-02-25,1000000.0
2026-02-26,1000000.0
2026-02-27,1000000.0
2026-03-02,1000000.0
2026-03-04,1000000.0
2026-03-05,1000700.1950313778
2026-03-06,999437.6950313778
2026-03-09,1000800.1950313778
2026-03-10,1006031.7912313779
2026-03-11,1005721.6912313779
2026-03-12,1003985.2912313779
2026-03-13,1001201.3912313778
2026-03-16,996968.4912313778
2026-03-17,997870.8912313778
2026-03-18,995473.8912313778
2026-03-19,992442.3912313778
2026-03-20,998632.2912313779
2026-03-23,996841.5912313778
2026-03-24,997250.4912313778
2026-03-25,1000944.6912313779
2026-03-27,1001847.0912313778
2026-03-30,1000465.2912313779
2026-04-01,1005780.9912313778
2026-04-02,1004596.5912313778
2026-04-06,1005541.2912313779
2026-04-07,1004074.8912313778
2026-04-08,1004878.5912313778
2026-04-09,1005541.2912313779
2026-04-10,1006810.2912313779
2026-04-13,1005456.6912313779
2026-04-15,1010264.7912313779
2026-04-16,1012041.3912313778
2026-04-17,1011970.8912313778
2026-04-20,1009404.6912313779
2026-04-21,1013233.6026313778
2026-04-22,1013233.6026313778
2026-04-23,1013233.6026313778
2026-04-24,1013233.6026313778
2026-04-27,1013233.6026313778
2026-04-28,1013233.6026313778
2026-04-29,1013233.6026313778
2026-04-30,1013233.6026313778
2026-05-04,1013233.6026313778
2026-05-05,1013233.6026313778
2026-05-06,1013412.7386313778
2026-05-07,1012491.1386313778
2026-05-08,1012236.7386313778
2026-05-11,1012726.3386313778
2026-05-12,1009776.7386313778
2026-05-13,1007914.3386313778
2026-05-14,1013319.1386313778
2026-05-15,1012666.3386313778
2026-05-18,1011960.7386313778
2026-05-19,1011823.9386313778
2026-05-20,1012721.5386313777
2026-05-21,1017061.3986313778
2026-05-22,1019466.7986313778
2026-05-25,1018185.1986313778
2026-05-26,1019542.3986313778
2026-05-27,1031456.5986313778
2026-05-29,1021004.9313313777
2026-06-01,1017893.6313313778
2026-06-02,1021420.4313313777
2026-06-03,1018553.3313313778
2026-06-04,1017242.6313313777
2026-06-05,1008920.0723313778
2026-06-08,990163.9723313778
2026-06-09,995902.3723313778
2026-06-10,985028.8723313778
2026-06-11,984325.0723313778
2026-06-12,988837.0723313778
2026-06-15,991021.0723313778
2026-06-16,989245.0723313778
2026-06-17,995413.0723313778
2026-06-18,995101.0723313778
2026-06-19,995113.0723313778
2026-06-22,997193.7529313777
2026-06-23,1001434.6529313778
2026-06-24,993941.4529313778
2026-06-25,989733.6529313778
2026-06-29,1001141.3529313777
2026-06-30,1001745.9025313777
2026-07-01,994010.6025313777
2026-07-02,994297.9025313777
2026-07-03,993746.1607313777
2026-07-06,993278.1607313777
2026-07-07,989798.1607313777
2026-07-08,987986.1607313777
2026-07-09,987434.1607313777
2026-07-10,990842.1607313777
2026-07-13,989942.1607313777
2026-07-14,990146.1607313777
2026-07-15,989474.1607313777
2026-07-16,989066.1607313777
2026-07-17,985010.1607313777
2026-07-20,985326.6087313776
2026-07-21,988477.6487313777
2026-07-22,991019.8387313777
2026-07-23,991178.4387313777
2026-07-24,985083.2387313778
2026-07-27,988087.8387313777
2026-07-28,988143.2039813777
2026-07-29,994899.5039813777
2026-07-30,997431.2539813777
2026-07-31,1014109.4339813776
2026-08-03,1014291.4839813777
2026-08-04,1022631.0159813777
2026-08-05,1020109.0159813777
2026-08-06,1016772.7159813776
2026-08-07,1017280.6159813777
2026-08-10,1013295.7159813776
2026-08-11,1010659.7159813776
2026-08-12,1016673.3159813776
2026-08-13,1016652.5159813777
2026-08-14,1010039.7159813776
2026-08-17,1015250.1159813777
2026-08-18,1018346.1159813777
