,equity
2026-01-16,1000000.0
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1006859.5795360146
2026-02-04,1017040.1295360146
2026-02-05,1016819.8495360146
2026-02-06,1017160.0801360146
2026-02-09,1028683.8881360146
2026-02-10,1032471.1881360146
2026-02-11,1040770.3758279711
2026-02-12,1039886.2258279712
2026-02-13,1030591.8758279711
2026-02-16,1031555.9758279712
2026-02-17,1040693.5258279713
2026-02-18,1046512.0758279711
2026-02-19,1036447.4758279712
2026-02-20,1041640.7258279712
2026-02-23,1041567.5258279713
2026-02-24,1039774.0258279713
2026-02-25,1051664.0083279712
2026-02-26,1057269.808327971
2026-02-27,1050740.608327971
2026-03-02,1051865.2083279712
2026-03-04,1040772.0083279712
2026-03-05,1050511.6121618592
2026-03-06,1055075.3410618592
2026-03-09,1051808.4410618593
2026-03-10,1071450.0710618594
2026-03-11,1074750.4047618592
2026-03-12,1072610.3047618591
2026-03-13,1063243.0047618593
2026-03-16,1054235.2047618593
2026-03-17,1059647.4047618592
2026-03-18,1058566.4047618592
2026-03-19,1050007.8047618591
2026-03-20,1054468.4047618592
2026-03-23,1049919.2047618593
2026-03-24,1050354.2047618593
2026-03-25,1054284.2047618593
2026-03-27,1055244.2047618593
2026-03-30,1053774.2047618593
2026-04-01,1059429.2047618593
2026-04-02,1058169.2047618593
2026-04-06,1059174.2047618593
2026-04-07,1057614.2047618593
2026-04-08,1058469.2047618593
2026-04-09,1059174.2047618593
2026-04-10,1060524.2047618593
2026-04-13,1059084.2047618593
2026-04-15,1064199.2047618593
2026-04-16,1066089.2047618593
2026-04-17,1066014.2047618593
2026-04-20,1063284.2047618593
2026-04-21,1067357.514761859
2026-04-22,1067357.514761859
2026-04-23,1067357.514761859
2026-04-24,1067357.514761859
2026-04-27,1067357.514761859
2026-04-28,1067357.514761859
2026-04-29,1074891.0699118592
2026-04-30,1072180.119911859
2026-05-04,1078474.4464618592
2026-05-05,1079638.396461859
2026-05-06,1084970.6668118592
2026-05-07,1089782.366811859
2026-05-08,1088176.466811859
2026-05-11,1085217.616811859
2026-05-12,1075003.366811859
2026-05-13,1073354.866811859
2026-05-14,1088695.0618061775
2026-05-15,1085724.2018061776
2026-05-18,1075892.9718061776
2026-05-19,1078938.1043061777
2026-05-20,1086401.0543061774
2026-05-21,1092558.5343061776
2026-05-22,1099553.5243061776
2026-05-25,1117019.8343061777
2026-05-26,1132933.1893232223
2026-05-27,1146874.2893232224
2026-05-29,1131512.4923232223
2026-06-01,1117986.5423232224
2026-06-02,1123102.5923232222
2026-06-03,1121288.6423232222
2026-06-04,1122316.8423232222
2026-06-05,1113878.6423232222
2026-06-08,1090891.1423232222
2026-06-09,1111887.7423232223
2026-06-10,1089936.8923232222
2026-06-11,1093726.1768732222
2026-06-12,1098426.1768732222
2026-06-15,1100701.1768732222
2026-06-16,1098851.1768732222
2026-06-17,1105276.1768732222
2026-06-18,1104951.1768732222
2026-06-19,1104963.6768732222
2026-06-22,1107231.8638732224
2026-06-23,1112109.8638732224
2026-06-24,1104030.8638732224
2026-06-25,1099604.8638732224
2026-06-29,1112001.3638732224
2026-06-30,1112721.9098732222
2026-07-01,1104413.6598732222
2026-07-02,1104697.1598732222
2026-07-03,1104102.0988732222
2026-07-06,1103614.5988732222
2026-07-07,1099989.5988732222
2026-07-08,1098102.0988732222
2026-07-09,1097527.0988732222
2026-07-10,1102161.506873222
2026-07-13,1100248.006873222
2026-07-14,1093524.506873222
2026-07-15,1092824.506873222
2026-07-16,1092399.506873222
2026-07-17,1088174.506873222
2026-07-20,1088490.7178732222
2026-07-21,1091258.7277732221
2026-07-22,1090543.9077732223
2026-07-23,1090847.5577732222
2026-07-24,1084105.9577732224
2026-07-27,1086018.1088732225
2026-07-28,1089555.6588732225
2026-07-29,1097229.6588732223
2026-07-30,1100097.7588732224
2026-07-31,1121266.6088732225
2026-08-03,1137276.3055732222
2026-08-04,1142553.2605732223
2026-08-05,1143144.7605732223
2026-08-06,1141797.1605732222
2026-08-07,1141204.0105732223
2026-08-10,1145865.4105732222
2026-08-11,1143133.0605732223
2026-08-12,1148385.0605732223
2026-08-13,1153832.8605732224
2026-08-14,1148137.5105732223
2026-08-17,1153205.6605732224
2026-08-18,1159595.3605732224
