,equity
2026-01-19,1000000.0
2026-01-20,1000000.0
2026-01-21,1000000.0
2026-01-22,1000000.0
2026-01-23,1000000.0
2026-01-27,1000000.0
2026-01-28,1000000.0
2026-01-29,1000000.0
2026-01-30,1000000.0
2026-02-01,1000000.0
2026-02-02,1000000.0
2026-02-03,1007992.5876360146
2026-02-04,1017095.4376360145
2026-02-05,1014570.2476360146
2026-02-06,1013080.7044360145
2026-02-09,1027456.3124360144
2026-02-10,1035281.2124360144
2026-02-11,1042458.3001279711
2026-02-12,1042578.6501279711
2026-02-13,1033323.5001279712
2026-02-16,1043193.6196279712
2026-02-17,1052331.1696279712
2026-02-18,1058149.719627971
2026-02-19,1048085.1196279712
2026-02-20,1053278.3696279712
2026-02-23,1053205.1696279712
2026-02-24,1051411.6696279712
2026-02-25,1063301.652127971
2026-02-26,1068907.4521279712
2026-02-27,1062378.252127971
2026-03-02,1063502.8521279711
2026-03-04,1052409.6521279712
2026-03-05,1062174.7987618593
2026-03-06,1066756.8087618593
2026-03-09,1063491.1087618591
2026-03-10,1083279.1869618595
2026-03-11,1086673.3489618592
2026-03-12,1084540.3489618592
2026-03-13,1075157.6489618593
2026-03-16,1066132.948961859
2026-03-17,1071551.5489618592
2026-03-18,1070453.5489618592
2026-03-19,1061873.448961859
2026-03-20,1066377.9489618593
2026-03-23,1061816.0489618592
2026-03-24,1062253.948961859
2026-03-25,1066210.1489618593
2026-03-27,1067176.5489618592
2026-03-30,1065696.7489618594
2026-04-01,1071389.448961859
2026-04-02,1070121.0489618592
2026-04-06,1071132.7489618594
2026-04-07,1069562.3489618592
2026-04-08,1070423.0489618592
2026-04-09,1071132.7489618594
2026-04-10,1072491.7489618594
2026-04-13,1071042.1489618593
2026-04-15,1076191.2489618594
2026-04-16,1078093.8489618592
2026-04-17,1078018.3489618592
2026-04-20,1075270.1489618593
2026-04-21,1079370.6143618592
2026-04-22,1079370.6143618592
2026-04-23,1079370.6143618592
2026-04-24,1079370.6143618592
2026-04-27,1079370.6143618592
2026-04-28,1079370.6143618592
2026-04-29,1086994.623861859
2026-04-30,1084251.123861859
2026-05-04,1090605.6745118592
2026-05-05,1091784.2745118593
2026-05-06,1097180.4865618593
2026-05-07,1102023.0865618591
2026-05-08,1100390.4865618593
2026-05-11,1097410.3865618594
2026-05-12,1086987.4865618593
2026-05-13,1085264.8865618594
2026-05-14,1100944.492667225
2026-05-15,1097921.132667225
2026-05-18,1087952.7026672252
2026-05-19,1091028.317167225
2026-05-20,1098604.917167225
2026-05-21,1104922.8771672251
2026-05-22,1112023.767167225
2026-05-25,1129698.277167225
2026-05-26,1145812.0488511277
2026-05-27,1160047.5488511277
2026-05-29,1144388.5018511277
2026-06-01,1130694.6518511279
2026-06-02,1135930.6518511279
2026-06-03,1134070.5518511278
2026-06-04,1135163.3018511278
2026-06-05,1126627.201851128
2026-06-08,1103244.8018511278
2026-06-09,1124594.0518511278
2026-06-10,1102293.4518511277
2026-06-11,1106152.9233511277
2026-06-12,1111040.9233511277
2026-06-15,1113406.9233511277
2026-06-16,1111482.9233511277
2026-06-17,1118164.9233511277
2026-06-18,1117826.9233511277
2026-06-19,1117839.9233511277
2026-06-22,1120147.4857511278
2026-06-23,1124986.085751128
2026-06-24,1116723.2857511279
2026-06-25,1112142.085751128
2026-06-29,1124772.8857511277
2026-06-30,1125472.449751128
2026-07-01,1116959.349751128
2026-07-02,1117246.5497511278
2026-07-03,1116627.4625511277
2026-07-06,1116120.4625511277
2026-07-07,1112350.4625511277
2026-07-08,1110387.4625511277
2026-07-09,1109789.4625511277
2026-07-10,1114579.4256511277
2026-07-13,1112616.2256511278
2026-07-14,1105814.5256511278
2026-07-15,1105086.5256511278
2026-07-16,1104644.5256511278
2026-07-17,1100250.5256511278
2026-07-20,1100586.3326511278
2026-07-21,1103414.576851128
2026-07-22,1102741.2568511278
2026-07-23,1102988.2068511278
2026-07-24,1096167.106851128
2026-07-27,1098082.0645511278
2026-07-28,1101746.714551128
2026-07-29,1109565.114551128
2026-07-30,1112497.0145511278
2026-07-31,1133984.5945511279
2026-08-03,1150225.971451128
2026-08-04,1155902.6684511278
2026-08-05,1156575.6684511278
2026-08-06,1155230.9684511279
2026-08-07,1154671.818451128
2026-08-10,1159424.2184511279
2026-08-11,1156688.568451128
2026-08-12,1162043.1684511278
2026-08-13,1167575.568451128
2026-08-14,1161805.6184511278
2026-08-17,1167002.7684511277
2026-08-18,1173398.8684511278
